ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,22.125,NWE,@,BUF,W 23-21,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
2,2013,2013-09-12,2,22.129,NWE,,NYJ,W 13-10,,,,,,,0.0%,,,,,,,,
3,2013,2013-09-22,3,22.139,NWE,,TAM,W 23-3,*,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
4,2013,2013-09-29,4,22.146,NWE,@,ATL,W 30-23,,3,1,24,24.00,0,33.3%,8.00,0,0,,0,0.0,0,0
5,2013,2013-10-06,5,22.153,NWE,@,CIN,L 6-13,,,,,,,0.0%,,,,,,,,
6,2013,2013-11-18,10,22.196,NWE,@,CAR,L 20-24,,,,,,,0.0%,,,,,,,,
7,2013,2013-12-01,12,22.209,NWE,@,HOU,W 34-31,,1,1,6,6.00,0,100.0%,6.00,6,149,24.83,0,0.0,0,0
8,2013,2013-12-08,13,22.216,NWE,,CLE,W 27-26,*,5,3,49,16.33,0,60.0%,9.80,2,46,23.00,0,0.0,1,0
9,2013,2013-12-15,14,22.223,NWE,@,MIA,L 20-24,*,7,4,42,10.50,0,57.1%,6.00,1,19,19.00,0,0.0,0,0
10,2014,2014-12-28,16,23.236,NWE,,BUF,L 9-17,,,,,,,0.0%,,,,,,,,
