ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,23.000,CHI,,TAM,W 21-9,,0,0,,0,,,,
2,1994,1994-09-12,2,23.008,CHI,@,PHI,L 22-30,,0,0,,0,,,,
3,1994,1994-09-18,3,23.014,CHI,,MIN,L 14-42,,1,0,0.00,0,0.0,0,0,0
4,1994,1994-09-25,4,23.021,CHI,@,NYJ,W 19-7,,0,0,,0,,,,
5,1994,1994-10-02,5,23.028,CHI,,BUF,W 20-13,,0,0,,0,,,,
6,1994,1994-10-09,6,23.035,CHI,,NOR,W 17-7,,0,0,,0,,,,
7,1994,1994-10-23,7,23.049,CHI,@,DET,L 16-21,,0,0,,0,,,,
8,1994,1994-10-31,8,23.057,CHI,,GNB,L 6-33,,0,0,,0,,,,
9,1994,1994-11-06,9,23.063,CHI,@,TAM,W 20-6,,0,0,,0,,,,
10,1994,1994-11-13,10,23.070,CHI,@,MIA,W 17-14,,0,0,,0,,,,
11,1994,1994-11-20,11,23.077,CHI,,DET,W 20-10,,0,0,,0,,,,
12,1994,1994-11-27,12,23.084,CHI,@,ARI,W 19-16,,0,0,,0,,,,
13,1994,1994-12-01,13,23.088,CHI,@,MIN,L 27-33,,0,0,,0,,,,
14,1994,1994-12-11,14,23.098,CHI,@,GNB,L 3-40,,0,0,,0,,,,
15,1994,1994-12-18,15,23.105,CHI,,RAM,W 27-13,,0,0,,0,,,,
16,1994,1994-12-24,16,23.111,CHI,,NWE,L 3-13,,0,0,,0,,,,
17,1995,1995-09-03,1,23.364,CHI,,MIN,W 31-14,,,,,,,,,
18,1995,1995-09-11,2,24.007,CHI,,GNB,L 24-27,,,,,,,,,
19,1995,1995-09-17,3,24.013,CHI,@,TAM,W 25-6,,0,0,,0,2.0,0,0,0
20,1995,1995-09-24,4,24.020,CHI,@,STL,L 28-34,,,,,,,,,
21,1995,1995-10-08,5,24.034,CHI,,CAR,W 31-27,,,,,,,,,
22,1995,1995-10-15,6,24.041,CHI,@,JAX,W 30-27,,,,,,,,,
23,1995,1995-10-22,7,24.048,CHI,,HOU,W 35-32,,,,,,,,,
24,1995,1995-10-30,8,24.056,CHI,@,MIN,W 14-6,,0,0,,0,1.0,0,0,0
25,1995,1995-11-05,9,24.062,CHI,,PIT,L 34-37,,0,0,,0,1.0,0,0,0
26,1995,1995-11-12,10,24.069,CHI,@,GNB,L 28-35,,,,,,,,,
27,1995,1995-11-19,11,24.076,CHI,,DET,L 17-24,,,,,,,,,
28,1995,1995-11-26,12,24.083,CHI,@,NYG,W 27-24,,,,,,,,,
29,1995,1995-12-04,13,24.091,CHI,@,DET,L 7-27,,,,,,,,,
30,1995,1995-12-10,14,24.097,CHI,@,CIN,L 10-16,,,,,,,,,
31,1995,1995-12-17,15,24.104,CHI,,TAM,W 31-10,,,,,,,,,
32,1995,1995-12-24,16,24.111,CHI,,PHI,W 20-14,,,,,,,,,
33,1996,1996-09-02,1,24.364,CHI,,DAL,W 22-6,,,,,,,,,
34,1996,1996-09-08,2,25.004,CHI,@,WAS,L 3-10,,,,,,,,,
35,1996,1996-09-15,3,25.011,CHI,,MIN,L 14-20,,,,,,,,,
36,1996,1996-09-22,4,25.018,CHI,@,DET,L 16-35,,,,,,,,,
37,1996,1996-09-29,5,25.025,CHI,,OAK,W 19-17,,,,,,,,,
38,1996,1996-10-06,6,25.032,CHI,,GNB,L 6-37,,,,,,,,,
39,1996,1996-10-13,7,25.039,CHI,@,NOR,L 24-27,,,,,,,,,
40,1996,1996-10-28,8,25.054,CHI,@,MIN,W 15-13,,0,0,,0,1.0,0,0,0
41,1996,1996-11-03,9,25.060,CHI,,TAM,W 13-10,,,,,,,,,
42,1996,1996-11-10,10,25.067,CHI,@,DEN,L 12-17,,,,,,,,,
43,1996,1996-11-17,11,25.074,CHI,@,KAN,L 10-14,,0,0,,0,1.0,0,0,0
44,1996,1996-11-24,12,25.081,CHI,,DET,W 31-14,,,,,,,,,
45,1996,1996-12-01,13,25.088,CHI,@,GNB,L 17-28,,,,,,,,,
46,1996,1996-12-08,14,25.095,CHI,,STL,W 35-9,,,,,,,,,
47,1996,1996-12-14,15,25.101,CHI,,SDG,W 27-14,,,,,,,,,
48,1996,1996-12-22,16,25.109,CHI,@,TAM,L 19-34,,,,,,,,,
