ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2000,2000-09-03,1,21.289,IND,@,KAN,W 27-14,,2,33,16.50,0,4,80,20.00,0
2,2000,2000-09-10,2,21.296,IND,,OAK,L 31-38,,2,35,17.50,0,3,28,9.33,0
3,2000,2000-09-25,3,21.311,IND,,JAX,W 43-14,,2,42,21.00,0,0,0,,0
4,2000,2000-10-01,4,21.317,IND,@,BUF,W 18-16,,,,,,,,,
5,2000,2000-10-08,5,21.324,IND,@,NWE,L 16-24,,2,45,22.50,0,0,0,,0
6,2000,2000-10-15,6,21.331,IND,@,SEA,W 37-24,,2,37,18.50,0,0,0,,0
7,2000,2000-10-22,7,21.338,IND,,NWE,W 30-23,,2,46,23.00,0,0,0,,0
