ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.120,SFO,,STL,W 28-25,,4,17,4.25,0,2,2,21,10.50,0,100.0%,10.50,,0,0,0.0,,
2,2005,2005-09-18,2,22.127,SFO,@,PHI,L 3-42,,4,15,3.75,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,,
3,2005,2005-09-25,3,22.134,SFO,,DAL,L 31-34,,7,42,6.00,0,2,1,5,5.00,0,50.0%,2.50,,0,0,0.0,,
4,2005,2005-10-02,4,22.141,SFO,@,ARI,L 14-31,,2,4,2.00,0,2,2,-12,-6.00,0,100.0%,-6.00,,0,0,0.0,,
5,2005,2005-10-09,5,22.148,SFO,,IND,L 3-28,,8,31,3.88,0,3,1,14,14.00,0,33.3%,4.67,,0,0,0.0,,
6,2005,2005-10-23,6,22.162,SFO,@,WAS,L 17-52,,9,89,9.89,1,0,0,0,,0,0.0%,,,1,6,0.0,,
7,2005,2005-10-30,7,22.169,SFO,,TAM,W 15-10,,10,40,4.00,0,1,1,-7,-7.00,0,100.0%,-7.00,,0,0,0.0,,
8,2005,2005-11-06,8,22.176,SFO,,NYG,L 6-24,,7,33,4.71,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0.0,,
9,2005,2005-11-13,9,22.183,SFO,@,CHI,L 9-17,,14,55,3.93,0,0,0,0,,0,0.0%,,,0,0,0.0,,
10,2005,2005-12-04,12,22.204,SFO,,ARI,L 10-17,,6,22,3.67,0,1,1,31,31.00,0,100.0%,31.00,,0,0,0.0,,
11,2005,2005-12-11,13,22.211,SFO,@,SEA,L 3-41,,2,5,2.50,0,3,1,6,6.00,0,33.3%,2.00,,0,0,0.0,,
12,2005,2005-12-18,14,22.218,SFO,@,JAX,L 9-10,*,19,79,4.16,0,4,3,57,19.00,0,75.0%,14.25,,0,0,0.0,,
13,2005,2005-12-24,15,22.224,SFO,@,STL,W 24-20,,10,68,6.80,2,0,0,0,,0,0.0%,,,2,12,0.0,,
14,2005,2006-01-01,16,22.232,SFO,,HOU,W 20-17,,25,108,4.32,0,2,2,13,6.50,0,100.0%,6.50,,0,0,0.0,,
15,2006,2006-09-10,1,23.119,SFO,@,ARI,L 27-34,*,16,87,5.44,2,9,6,83,13.83,0,66.7%,9.22,,2,12,0.0,,
16,2006,2006-09-17,2,23.126,SFO,,STL,W 20-13,*,29,127,4.38,1,4,2,10,5.00,0,50.0%,2.50,,1,6,0.0,,
17,2006,2006-09-24,3,23.133,SFO,,PHI,L 24-38,*,16,52,3.25,0,7,6,22,3.67,0,85.7%,3.14,,0,0,0.0,,
18,2006,2006-10-01,4,23.140,SFO,@,KAN,L 0-41,*,14,65,4.64,0,4,2,14,7.00,0,50.0%,3.50,,0,0,0.0,,
19,2006,2006-10-08,5,23.147,SFO,,OAK,W 34-20,*,27,134,4.96,0,3,3,38,12.67,0,100.0%,12.67,,0,0,0.0,,
20,2006,2006-10-15,6,23.154,SFO,,SDG,L 19-48,*,10,55,5.50,0,7,5,35,7.00,0,71.4%,5.00,,0,0,0.0,,
21,2006,2006-10-29,7,23.168,SFO,@,CHI,L 10-41,*,12,111,9.25,0,4,2,9,4.50,0,50.0%,2.25,,0,0,0.0,,
22,2006,2006-11-05,8,23.175,SFO,,MIN,W 9-3,*,19,41,2.16,0,7,5,36,7.20,0,71.4%,5.14,,0,0,0.0,,
23,2006,2006-11-12,9,23.182,SFO,@,DET,W 19-13,*,22,159,7.23,1,3,2,14,7.00,0,66.7%,4.67,,1,6,0.0,,
24,2006,2006-11-19,10,23.189,SFO,,SEA,W 20-14,*,24,212,8.83,0,4,4,26,6.50,0,100.0%,6.50,,0,0,0.0,,
25,2006,2006-11-26,11,23.196,SFO,@,STL,L 17-20,*,21,134,6.38,1,4,4,31,7.75,0,100.0%,7.75,,1,6,0.0,,
26,2006,2006-12-03,12,23.203,SFO,@,NOR,L 10-34,*,13,40,3.08,0,7,5,28,5.60,0,71.4%,4.00,,0,0,0.0,,
27,2006,2006-12-10,13,23.210,SFO,,GNB,L 19-30,*,18,130,7.22,1,4,3,38,12.67,0,75.0%,9.50,,1,6,0.0,,
28,2006,2006-12-14,14,23.214,SFO,@,SEA,W 24-14,*,29,144,4.97,0,7,4,34,8.50,1,57.1%,4.86,,1,6,0.0,,
29,2006,2006-12-24,15,23.224,SFO,,ARI,L 20-26,*,11,51,4.64,2,7,6,35,5.83,0,85.7%,5.00,,2,12,0.0,,
30,2006,2006-12-31,16,23.231,SFO,@,DEN,W 26-23,*,31,153,4.94,0,5,2,32,16.00,0,40.0%,6.40,,0,0,0.0,,
31,2007,2007-09-10,1,24.119,SFO,,ARI,W 20-17,*,18,55,3.06,1,3,1,21,21.00,0,33.3%,7.00,,1,6,0.0,,
32,2007,2007-09-16,2,24.125,SFO,@,STL,W 17-16,*,20,81,4.05,2,4,2,4,2.00,0,50.0%,1.00,,2,12,0.0,,
33,2007,2007-09-23,3,24.132,SFO,@,PIT,L 16-37,*,14,39,2.79,0,2,2,12,6.00,0,100.0%,6.00,,0,0,0.0,,
34,2007,2007-09-30,4,24.139,SFO,,SEA,L 3-23,*,16,79,4.94,0,5,3,42,14.00,0,60.0%,8.40,,0,0,0.0,,
35,2007,2007-10-07,5,24.146,SFO,,BAL,L 7-9,*,16,52,3.25,0,5,3,23,7.67,0,60.0%,4.60,,0,0,0.0,,
36,2007,2007-10-21,6,24.160,SFO,@,NYG,L 15-33,*,14,88,6.29,0,3,3,23,7.67,0,100.0%,7.67,,0,0,0.0,,
37,2007,2007-10-28,7,24.167,SFO,,NOR,L 10-31,*,12,41,3.42,0,1,1,0,0.00,0,100.0%,0.00,,0,0,0.0,,
38,2007,2007-11-12,9,24.182,SFO,@,SEA,L 0-24,*,13,72,5.54,0,2,2,7,3.50,0,100.0%,3.50,,0,0,0.0,,
39,2007,2007-11-18,10,24.188,SFO,,STL,L 9-13,*,15,32,2.13,0,7,5,31,6.20,0,71.4%,4.43,,0,0,0.0,,
40,2007,2007-11-25,11,24.195,SFO,@,ARI,W 37-31,*,21,116,5.52,2,12,11,98,8.91,0,91.7%,8.17,,2,12,0.0,,
41,2007,2007-12-02,12,24.202,SFO,@,CAR,L 14-31,*,12,58,4.83,0,5,5,53,10.60,0,100.0%,10.60,,0,0,0.0,,
42,2007,2007-12-09,13,24.209,SFO,,MIN,L 7-27,*,16,68,4.25,0,10,8,49,6.13,0,80.0%,4.90,,0,0,0.0,,
43,2007,2007-12-15,14,24.215,SFO,,CIN,W 20-13,*,29,138,4.76,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,,
44,2007,2007-12-23,15,24.223,SFO,,TAM,W 21-19,*,21,89,4.24,0,6,4,43,10.75,1,66.7%,7.17,,1,6,0.0,,
45,2007,2007-12-30,16,24.230,SFO,@,CLE,L 7-20,*,23,94,4.09,0,3,2,21,10.50,0,66.7%,7.00,,0,0,0.0,,
46,2008,2008-09-07,1,25.116,SFO,,ARI,L 13-23,*,14,96,6.86,1,4,4,55,13.75,0,100.0%,13.75,,1,6,0.0,0,0
47,2008,2008-09-14,2,25.123,SFO,@,SEA,W 33-30,*,19,61,3.21,1,5,5,38,7.60,0,100.0%,7.60,,1,6,0.0,0,0
48,2008,2008-09-21,3,25.130,SFO,,DET,W 31-13,*,27,130,4.81,1,4,4,32,8.00,0,100.0%,8.00,,1,6,0.0,0,0
49,2008,2008-09-28,4,25.137,SFO,@,NOR,L 17-31,*,16,82,5.13,0,5,2,31,15.50,0,40.0%,6.20,1,0,2,0.0,1,0
50,2008,2008-10-05,5,25.144,SFO,,NWE,L 21-30,*,12,54,4.50,0,5,4,24,6.00,1,80.0%,4.80,,1,6,0.0,0,0
