ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2018,2018-09-09,1,22.168,IND,,CIN,L 23-34,*
2,2018,2018-09-23,3,22.182,IND,@,PHI,L 16-20,
