ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1999,1999-09-12,1,24.022,CIN,@,TEN,L 35-36,,1,2,50.00,11,0,0,66.7,0,0,5.50,5.50,1,0,0.00,0,0,0,0,,0,0.0%,,0,0
2,1999,1999-09-19,2,24.029,CIN,,SDG,L 7-34,,10,17,58.82,100,0,1,51.1,2,17,5.88,3.24,2,4,2.00,0,0,0,0,,0,0.0%,,0,0
3,1999,1999-10-03,4,24.043,CIN,,STL,L 10-38,,7,18,38.89,77,0,1,29.2,0,0,4.28,1.78,3,12,4.00,1,0,0,0,,0,0.0%,,1,6
4,1999,1999-10-10,5,24.050,CIN,@,CLE,W 18-17,*,25,42,59.52,221,2,0,89.5,4,17,5.26,6.21,3,9,3.00,0,0,0,0,,0,0.0%,,0,0
5,1999,1999-10-17,6,24.057,CIN,,PIT,L 3-17,*,19,38,50.00,207,0,2,44.5,4,30,5.45,3.08,3,7,2.33,0,0,0,0,,0,0.0%,,0,0
6,1999,1999-10-24,7,24.064,CIN,@,IND,L 10-31,*,12,24,50.00,122,0,0,64.9,5,25,5.08,5.08,4,42,10.50,0,0,0,0,,0,0.0%,,0,0
7,1999,1999-10-31,8,24.071,CIN,,JAX,L 10-41,*,6,12,50.00,67,0,2,27.4,4,21,5.58,-1.92,3,40,13.33,0,1,1,6,6.00,0,100.0%,6.00,0,0
8,2000,2000-09-10,1,25.020,CIN,,CLE,L 7-24,*,15,43,34.88,250,1,2,43.8,7,43,5.81,4.19,2,26,13.00,0,0,0,0,,0,0.0%,,0,0
9,2000,2000-09-17,2,25.027,CIN,@,JAX,L 0-13,*,18,41,43.90,183,0,2,36.9,5,21,4.46,2.27,5,34,6.80,0,0,0,0,,0,0.0%,,0,0
10,2000,2000-09-24,3,25.034,CIN,@,BAL,L 0-37,*,1,1,100.00,8,0,0,100.0,2,5,8.00,8.00,0,0,,0,0,0,0,,0,0.0%,,0,0
11,2000,2000-10-01,4,25.041,CIN,,MIA,L 16-31,*,20,38,52.63,178,1,0,74.2,3,19,4.68,5.21,5,43,8.60,0,0,0,0,,0,0.0%,,0,0
12,2000,2000-10-08,5,25.048,CIN,,TEN,L 14-23,*,10,23,43.48,85,0,0,53.7,1,1,3.70,3.70,3,33,11.00,0,0,0,0,,0,0.0%,,0,0
13,2000,2000-10-15,6,25.055,CIN,@,PIT,L 0-15,*,10,20,50.00,97,0,0,64.0,3,20,4.85,4.85,3,24,8.00,0,0,0,0,,0,0.0%,,0,0
14,2000,2000-10-22,7,25.062,CIN,,DEN,W 31-21,*,2,9,22.22,34,0,0,42.8,1,11,3.78,3.78,3,12,4.00,0,0,0,0,,0,0.0%,,0,0
15,2000,2000-10-29,8,25.069,CIN,@,CLE,W 12-3,*,7,20,35.00,84,0,1,27.9,4,23,4.20,1.95,5,12,2.40,0,0,0,0,,0,0.0%,,0,0
16,2000,2000-11-05,9,25.076,CIN,,BAL,L 7-27,*,15,27,55.56,137,0,0,69.5,3,7,5.07,5.07,4,8,2.00,0,0,0,0,,0,0.0%,,0,0
17,2000,2000-11-12,10,25.083,CIN,@,DAL,L 6-23,*,10,25,40.00,68,0,1,31.2,3,12,2.72,0.92,5,25,5.00,0,0,0,0,,0,0.0%,,0,0
18,2000,2000-11-26,12,25.097,CIN,,PIT,L 28-48,*,10,20,50.00,129,1,0,87.3,4,29,6.45,7.45,6,15,2.50,0,0,0,0,,0,0.0%,,0,0
19,2000,2000-12-24,16,25.125,CIN,@,PHI,L 7-16,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,
20,2001,2001-11-25,10,26.096,CIN,@,CLE,L 0-18,,1,2,50.00,2,0,0,56.2,1,3,1.00,1.00,1,0,0.00,0,0,0,0,,0,0.0%,,0,0
21,2001,2001-12-16,13,26.117,CIN,@,NYJ,L 14-15,*,4,6,66.67,35,0,0,81.9,0,0,5.83,5.83,5,20,4.00,0,0,0,0,,0,0.0%,,0,0
22,2002,2002-09-29,4,27.039,CIN,,TAM,L 7-35,*,12,33,36.36,117,0,1,34.5,3,23,3.55,2.18,4,5,1.25,0,0,0,0,,0,0.0%,,0,0
