ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1996,1996-11-03,9,23.253,MIN,,KAN,L 6-21,,,,,,0,,,,,0.0%,,0,0,,0
2,1996,1996-11-10,10,23.260,MIN,@,SEA,L 23-42,,,,,,0,,,,,0.0%,,0,0,,0
3,1996,1996-11-17,11,23.267,MIN,@,OAK,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0
4,1996,1996-11-24,12,23.274,MIN,,DEN,L 17-21,,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0
5,1996,1996-12-01,13,23.281,MIN,,ARI,W 41-17,,,,,,,,,,,0.0%,,0,0,,0
6,1996,1996-12-08,14,23.288,MIN,@,DET,W 24-22,,,,,,,,,,,0.0%,,0,0,,0
7,1996,1996-12-15,15,23.295,MIN,,TAM,W 21-10,,,,,,,,,,,0.0%,,0,0,,0
8,1996,1996-12-22,16,23.302,MIN,@,GNB,L 10-38,,0,0,,0,0,0,0,,0,0.0%,,4,83,20.75,0
9,1997,1997-08-31,1,24.188,MIN,@,BUF,W 34-13,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0
10,1997,1997-09-07,2,24.195,MIN,@,CHI,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0
11,1997,1997-09-14,3,24.202,MIN,,TAM,L 14-28,,,,,,,,,,,0.0%,,0,0,,0
12,1997,1997-09-21,4,24.209,MIN,@,GNB,L 32-38,,0,0,,0,0,0,0,,0,0.0%,,1,10,10.00,0
13,1997,1997-09-28,5,24.216,MIN,,PHI,W 28-19,,,,,,0,,,,,0.0%,,0,0,,0
14,1997,1997-10-05,6,24.223,MIN,@,ARI,W 20-19,,,,,,,,,,,0.0%,,0,0,,0
15,1997,1997-10-12,7,24.230,MIN,,CAR,W 21-14,,,,,,0,,,,,0.0%,,0,0,,0
16,1997,1997-10-26,8,24.244,MIN,@,TAM,W 10-6,,,,,,0,,,,,0.0%,,0,0,,0
17,1997,1997-11-02,9,24.251,MIN,,NWE,W 23-18,,,,,,,,,,,0.0%,,0,0,,0
18,1997,1997-11-09,10,24.258,MIN,,CHI,W 29-22,,,,,,0,,,,,0.0%,,0,0,,0
19,1997,1997-11-16,11,24.265,MIN,@,DET,L 15-38,,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0
20,1997,1997-11-23,12,24.272,MIN,@,NYJ,L 21-23,,,,,,0,,,,,0.0%,,0,0,,0
21,1997,1997-12-01,13,24.280,MIN,,GNB,L 11-27,,,,,,0,,,,,0.0%,,0,0,,0
22,1997,1997-12-07,14,24.286,MIN,@,SFO,L 17-28,,,,,,0,,,,,0.0%,,0,0,,0
23,1997,1997-12-14,15,24.293,MIN,,DET,L 13-14,,,,,,,,,,,0.0%,,0,0,,0
24,1997,1997-12-21,16,24.300,MIN,,IND,W 39-28,,,,,,,,,,,0.0%,,0,0,,0
25,1998,1998-09-20,3,25.208,MIN,,DET,W 29-6,,,,,,,,,,,0.0%,,,,,
26,1998,1998-10-25,7,25.243,MIN,@,DET,W 34-13,,,,,,,,,,,0.0%,,,,,
27,1998,1998-11-01,8,25.250,MIN,@,TAM,L 24-27,,,,,,,,,,,0.0%,,,,,
28,1998,1998-11-08,9,25.257,MIN,,NOR,W 31-24,,,,,,,,,,,0.0%,,,,,
29,1998,1998-11-15,10,25.264,MIN,,CIN,W 24-3,,,,,,,,,,,0.0%,,,,,
30,1998,1998-11-22,11,25.271,MIN,,GNB,W 28-14,,,,,,,,,,,0.0%,,,,,
31,1998,1998-11-26,12,25.275,MIN,@,DAL,W 46-36,,,,,,,,,,,0.0%,,,,,
32,1998,1998-12-06,13,25.285,MIN,,CHI,W 48-22,,,,,,,,,,,0.0%,,,,,
33,1998,1998-12-20,15,25.299,MIN,,JAX,W 50-10,,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0
34,1998,1998-12-26,16,25.305,MIN,@,TEN,W 26-16,,,,,,,,,,,0.0%,,,,,
35,1999,1999-09-12,1,26.200,MIN,@,ATL,W 17-14,,,,,,,,,,,0.0%,,,,,
36,1999,1999-09-19,2,26.207,MIN,,OAK,L 17-22,,,,,,,,,,,0.0%,,,,,
37,1999,1999-09-26,3,26.214,MIN,@,GNB,L 20-23,,,,,,,,,,,0.0%,,,,,
38,1999,1999-10-03,4,26.221,MIN,,TAM,W 21-14,,,,,,,,,,,0.0%,,,,,
39,1999,1999-10-10,5,26.228,MIN,,CHI,L 22-24,,,,,,0,,,,,0.0%,,,,,
40,1999,1999-10-17,6,26.235,MIN,@,DET,L 23-25,,,,,,,,,,,0.0%,,,,,
41,1999,1999-10-24,7,26.242,MIN,,SFO,W 40-16,,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0
42,1999,1999-10-31,8,26.249,MIN,@,DEN,W 23-20,,,,,,0,,,,,0.0%,,,,,
43,1999,1999-11-08,9,26.257,MIN,,DAL,W 27-17,,,,,,,,,,,0.0%,,,,,
44,1999,1999-11-14,10,26.263,MIN,@,CHI,W 27-24,,,,,,,,,,,0.0%,,,,,
45,1999,1999-11-28,11,26.277,MIN,,SDG,W 35-27,,,,,,,,,,,0.0%,,,,,
46,1999,1999-12-06,12,26.285,MIN,@,TAM,L 17-24,,,,,,,,,,,0.0%,,,,,
47,1999,1999-12-12,13,26.291,MIN,@,KAN,L 28-31,,,,,,0,,,,,0.0%,,,,,
48,1999,1999-12-20,14,26.299,MIN,,GNB,W 24-20,,,,,,,,,,,0.0%,,,,,
49,1999,1999-12-26,15,26.305,MIN,@,NYG,W 34-17,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0
50,1999,2000-01-02,16,26.312,MIN,,DET,W 24-17,,,,,,0,,,,,0.0%,,,,,
51,2000,2000-09-03,1,27.192,MIN,,CHI,W 30-27,,,,,,0,,,,,0.0%,,,,,
52,2000,2000-09-10,2,27.199,MIN,,MIA,W 13-7,,,,,,,,,,,0.0%,,,,,
53,2000,2000-09-17,3,27.206,MIN,@,NWE,W 21-13,,,,,,,,,,,0.0%,,,,,
54,2000,2000-10-01,4,27.220,MIN,@,DET,W 31-24,,,,,,0,,,,,0.0%,,,,,
55,2000,2000-10-09,5,27.228,MIN,,TAM,W 30-23,,,,,,0,,,,,0.0%,,,,,
56,2000,2000-10-15,6,27.234,MIN,@,CHI,W 28-16,,,,,,,,,,,0.0%,,,,,
57,2000,2000-10-22,7,27.241,MIN,,BUF,W 31-27,,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0
58,2000,2000-10-29,8,27.248,MIN,@,TAM,L 13-41,,,,,,0,,,,,0.0%,,,,,
59,2000,2000-11-06,9,27.256,MIN,@,GNB,L 20-26,,,,,,,,,,,0.0%,,,,,
60,2000,2000-11-12,10,27.262,MIN,,ARI,W 31-14,,,,,,,,,,,0.0%,,,,,
61,2000,2000-11-19,11,27.269,MIN,,CAR,W 31-17,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0
62,2000,2000-11-23,12,27.273,MIN,@,DAL,W 27-15,,,,,,,,,,,0.0%,,,,,
63,2000,2000-11-30,13,27.280,MIN,,DET,W 24-17,,,,,,0,,,,,0.0%,,,,,
64,2000,2000-12-10,14,27.290,MIN,@,STL,L 29-40,,,,,,0,,,,,0.0%,,,,,
65,2000,2000-12-17,15,27.297,MIN,,GNB,L 28-33,,,,,,,,,,,0.0%,,,,,
66,2000,2000-12-24,16,27.304,MIN,@,IND,L 10-31,,,,,,,,,,,0.0%,,,,,
67,2001,2001-09-09,1,28.197,MIN,,CAR,L 13-24,,0,0,,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0
68,2001,2001-09-23,2,28.211,MIN,@,CHI,L 10-17,,,,,,2,,,,,0.0%,,,,,
69,2001,2001-09-30,3,28.218,MIN,,TAM,W 20-16,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0
70,2001,2001-10-07,4,28.225,MIN,@,NOR,L 15-28,,0,0,,0,2,2,38,19.00,0,100.0%,19.00,0,0,,0
71,2001,2001-10-14,5,28.232,MIN,,DET,W 31-26,,,,,,1,,,,,0.0%,,,,,
72,2001,2001-10-21,6,28.239,MIN,,GNB,W 35-13,,1,15,15.00,0,0,0,0,,0,0.0%,,0,0,,0
73,2001,2001-10-28,7,28.246,MIN,@,TAM,L 14-41,,,,,,,,,,,0.0%,,,,,
74,2001,2001-11-11,8,28.260,MIN,@,PHI,L 17-48,,,,,,,,,,,0.0%,,,,,
75,2001,2001-11-19,9,28.268,MIN,,NYG,W 28-16,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0
76,2001,2001-11-25,10,28.274,MIN,,CHI,L 6-13,,1,2,2.00,0,4,4,38,9.50,0,100.0%,9.50,0,0,,0
77,2001,2001-12-02,11,28.281,MIN,@,PIT,L 16-21,,0,0,,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0
78,2001,2001-12-09,12,28.288,MIN,,TEN,W 42-24,,,,,,0,,,,,0.0%,,,,,
79,2001,2001-12-16,13,28.295,MIN,@,DET,L 24-27,*,,,,,0,,,,,0.0%,,,,,
80,2001,2001-12-23,14,28.302,MIN,,JAX,L 3-33,,0,0,,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0
81,2001,2001-12-30,15,28.309,MIN,@,GNB,L 13-24,,3,24,8.00,0,1,0,0,,0,0.0%,0.00,4,84,21.00,0
82,2001,2002-01-07,16,28.317,MIN,@,BAL,L 3-19,*,5,17,3.40,0,1,1,6,6.00,0,100.0%,6.00,2,25,12.50,0
83,2002,2002-09-08,1,29.196,MIN,@,CHI,L 23-27,,,,,,0,,,,,0.0%,,,,,
84,2002,2002-09-15,2,29.203,MIN,,BUF,L 39-45,,,,,,0,,,,,0.0%,,,,,
85,2002,2002-09-22,3,29.210,MIN,,CAR,L 14-21,,,,,,0,,,,,0.0%,,,,,
86,2002,2002-09-29,4,29.217,MIN,@,SEA,L 23-48,,,,,,,,,,,0.0%,,,,,
87,2002,2002-10-13,5,29.231,MIN,,DET,W 31-24,,,,,,0,,,,,0.0%,,,,,
88,2002,2002-10-20,6,29.238,MIN,@,NYJ,L 7-20,,,,,,,,,,,0.0%,,,,,
89,2002,2002-10-27,7,29.245,MIN,,CHI,W 25-7,,,,,,0,,,,,0.0%,,,,,
90,2002,2002-11-03,8,29.252,MIN,@,TAM,L 24-38,,,,,,,,,,,0.0%,,,,,
91,2002,2002-11-10,9,29.259,MIN,,NYG,L 20-27,,,,,,,,,,,0.0%,,,,,
92,2002,2002-11-17,10,29.266,MIN,,GNB,W 31-21,,,,,,0,,,,,0.0%,,,,,
93,2002,2002-11-24,11,29.273,MIN,@,NWE,L 17-24,,,,,,,,,,,0.0%,,,,,
94,2002,2002-12-01,12,29.280,MIN,,ATL,L 24-30,,,,,,0,,,,,0.0%,,,,,
95,2002,2002-12-08,13,29.287,MIN,@,GNB,L 22-26,,,,,,,,,,,0.0%,,,,,
96,2002,2002-12-15,14,29.294,MIN,@,NOR,W 32-31,,,,,,,,,,,0.0%,,,,,
97,2002,2002-12-21,15,29.300,MIN,,MIA,W 20-17,,,,,,0,,,,,0.0%,,,,,
98,2002,2002-12-29,16,29.308,MIN,@,DET,W 38-36,,,,,,,,,,,0.0%,,,,,
99,2003,2003-09-07,1,30.195,BAL,@,PIT,L 15-34,,,,,,,,,,,0.0%,,,,,
100,2003,2003-09-14,2,30.202,BAL,,CLE,W 33-13,,,,,,0,,,,,0.0%,,,,,
101,2003,2003-10-12,5,30.230,BAL,@,ARI,W 26-18,,,,,,0,,,,,0.0%,,,,,
102,2003,2003-10-19,6,30.237,BAL,@,CIN,L 26-34,,,,,,,,,,,0.0%,,,,,
103,2003,2003-10-26,7,30.244,BAL,,DEN,W 26-6,,,,,,,,,,,0.0%,,,,,
104,2003,2003-11-02,8,30.251,BAL,,JAX,W 24-17,,,,,,,,,,,0.0%,,,,,
105,2003,2003-11-09,9,30.258,BAL,@,STL,L 22-33,,,,,,0,,,,,0.0%,,,,,
106,2003,2003-11-16,10,30.265,BAL,@,MIA,L 6-9,,,,,,,,,,,0.0%,,,,,
107,2003,2003-11-23,11,30.272,BAL,,SEA,W 44-41,,,,,,0,,,,,0.0%,,,,,
108,2003,2003-11-30,12,30.279,BAL,,SFO,W 44-6,,,,,,,,,,,0.0%,,,,,
109,2003,2003-12-07,13,30.286,BAL,,CIN,W 31-13,,,,,,0,,,,,0.0%,,,,,
110,2003,2003-12-14,14,30.293,BAL,@,OAK,L 12-20,,,,,,,,,,,0.0%,,,,,
111,2003,2003-12-21,15,30.300,BAL,@,CLE,W 35-0,,,,,,0,,,,,0.0%,,,,,
112,2003,2003-12-28,16,30.307,BAL,,PIT,W 13-10,,,,,,,,,,,0.0%,,,,,
113,2004,2004-09-19,2,31.208,BAL,,PIT,W 30-13,,,,,,,,,,,0.0%,,,,,
114,2004,2004-09-26,3,31.215,BAL,@,CIN,W 23-9,,,,,,,,,,,0.0%,,,,,
115,2004,2004-10-04,4,31.223,BAL,,KAN,L 24-27,,,,,,,,,,,0.0%,,,,,
116,2004,2004-10-10,5,31.229,BAL,@,WAS,W 17-10,,,,,,0,,,,,0.0%,,,,,
117,2004,2004-10-24,6,31.243,BAL,,BUF,W 20-6,,,,,,0,,,,,0.0%,,,,,
118,2004,2004-10-31,7,31.250,BAL,@,PHI,L 10-15,,,,,,,,,,,0.0%,,,,,
119,2004,2004-11-07,8,31.257,BAL,,CLE,W 27-13,,,,,,0,,,,,0.0%,,,,,
120,2004,2004-11-14,9,31.264,BAL,@,NYJ,W 20-17,,,,,,,,,,,0.0%,,,,,
121,2004,2004-11-21,10,31.271,BAL,,DAL,W 30-10,,,,,,,,,,,0.0%,,,,,
122,2004,2004-11-28,11,31.278,BAL,@,NWE,L 3-24,,,,,,,,,,,0.0%,,,,,
123,2004,2004-12-05,12,31.285,BAL,,CIN,L 26-27,,,,,,0,,,,,0.0%,,,,,
124,2004,2004-12-12,13,31.292,BAL,,NYG,W 37-14,,,,,,0,,,,,0.0%,,,,,
125,2004,2004-12-19,14,31.299,BAL,@,IND,L 10-20,,,,,,0,,,,,0.0%,,,,,
126,2004,2004-12-26,15,31.306,BAL,@,PIT,L 7-20,,,,,,,,,,,0.0%,,,,,
