ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1970,1970-09-20,1,23.005,OAK,@,CIN,L 21-31,,,,,,,,,,,,,,
2,1970,1970-09-27,2,23.012,OAK,@,SDG,T 27-27,,,,,,,,,,,,,,
3,1970,1970-10-03,3,23.018,OAK,@,MIA,L 13-20,,,,,,,,,,,,,,
4,1970,1970-10-11,4,23.026,OAK,,DEN,W 35-23,,,,,,,,,,,,,,
5,1970,1970-10-19,5,23.034,OAK,,WAS,W 34-20,,,,,,,,,,,,,,
6,1970,1970-10-25,6,23.040,OAK,,PIT,W 31-14,,,,,,,,,,,,,,
7,1970,1970-11-01,7,23.047,OAK,@,KAN,T 17-17,,,,,,,,,,,,,,
8,1970,1970-11-08,8,23.054,OAK,,CLE,W 23-20,,,,,,,,,,,,,,
9,1970,1970-11-15,9,23.061,OAK,@,DEN,W 24-19,,,,,,,,,,,,,,
10,1970,1970-11-22,10,23.068,OAK,,SDG,W 20-17,,,,,,,,,,,,,,
11,1970,1970-11-26,11,23.072,OAK,@,DET,L 14-28,,,,,,,,,,,,,,
12,1970,1970-12-06,12,23.082,OAK,@,NYJ,W 14-13,,,,,,,,,,,,,,
13,1970,1970-12-12,13,23.088,OAK,,KAN,W 20-6,,,,,,,,,,,,,,
14,1970,1970-12-20,14,23.096,OAK,,SFO,L 7-38,,,,,,,,,,,,,,
15,1971,1971-09-19,1,24.004,BUF,,DAL,L 37-49,,,,,,,,,,,,,,
16,1971,1971-09-26,2,24.011,BUF,,MIA,L 14-29,2,29,14.50,0,0,0,,0,0,0,,0,0,0
17,1971,1971-10-03,3,24.018,BUF,@,MIN,L 0-19,1,7,7.00,0,0,0,,0,0,0,,0,0,0
18,1971,1971-10-10,4,24.025,BUF,,BAL,L 0-43,2,24,12.00,0,0,0,,0,0,0,,0,0,0
19,1971,1971-10-17,5,24.032,BUF,@,NYJ,L 17-28,,,,,,,,,,,,,,
20,1971,1971-10-23,6,24.038,BUF,@,SDG,L 3-20,,,,,,,,,,,,,,
21,1971,1971-10-31,7,24.046,BUF,,STL,L 23-28,2,42,21.00,1,0,0,,0,0,0,,0,1,6
22,1971,1971-11-07,8,24.053,BUF,@,MIA,L 0-34,1,6,6.00,0,0,0,,0,0,0,,0,0,0
23,1971,1971-11-14,9,24.060,BUF,@,NWE,L 33-38,,,,,,,,,,,,,,
24,1971,1971-11-21,10,24.067,BUF,,NYJ,L 7-20,,,,,,,,,,,,,,
25,1971,1971-11-28,11,24.074,BUF,,NWE,W 27-20,,,,,,,,,,,,,,
26,1971,1971-12-05,12,24.081,BUF,@,BAL,L 0-24,1,22,22.00,0,0,0,,0,0,0,,0,0,0
27,1971,1971-12-12,13,24.088,BUF,,HOU,L 14-20,1,3,3.00,0,0,0,,0,0,0,,0,0,0
28,1971,1971-12-19,14,24.095,BUF,@,KAN,L 9-22,,,,,,,,,,,,,,
29,1972,1972-09-17,1,25.002,BUF,,NYJ,L 24-41,,,,,,,,,,,,,,
30,1972,1972-09-24,2,25.009,BUF,,SFO,W 27-20,,,,,,,,,,,,,,
31,1972,1972-10-01,3,25.016,BUF,,BAL,L 0-17,0,0,,0,0,0,,0,1,0,0.00,0,0,0
32,1972,1972-10-08,4,25.023,BUF,,NWE,W 38-14,0,0,,0,1,9,9.00,0,0,0,,0,0,0
33,1972,1972-10-15,5,25.030,BUF,@,OAK,L 16-28,,,,,,,,,,,,,,
34,1972,1972-10-22,6,25.037,BUF,@,MIA,L 23-24,,,,,,,,,,,,,,
35,1972,1972-10-29,7,25.044,BUF,,PIT,L 21-38,,,,,,,,,,,,,,
36,1972,1972-11-05,8,25.051,BUF,,MIA,L 16-30,0,0,,0,0,0,,0,2,46,23.00,0,0,0
37,1972,1972-11-12,9,25.058,BUF,@,NYJ,L 3-41,,,,,,,,,,,,,,
38,1972,1972-11-19,10,25.065,BUF,@,NWE,W 27-24,,,,,,,,,,,,,,
39,1972,1972-11-26,11,25.072,BUF,@,CLE,L 10-27,1,9,9.00,0,0,0,,0,0,0,,0,0,0
40,1972,1972-12-03,12,25.079,BUF,@,BAL,L 7-35,,,,,,,,,,,,,,
41,1972,1972-12-10,13,25.086,BUF,,DET,T 21-21,0,0,,0,0,0,,0,2,17,8.50,0,0,0
42,1972,1972-12-17,14,25.093,BUF,@,WAS,W 24-17,,,,,,,,,,,,,,
43,1973,1973-09-16,1,26.001,BUF,@,NWE,W 31-13,,,,,,,,,,,,,,
44,1973,1973-09-30,3,26.015,BUF,,NYJ,W 9-7,,,,,,,,,,,,,,
