ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-14,1,23.344,BUF,@,NWE,L 24-25,*,4,2,13,6.50,1,50.0%,3.25,1,6,0.0,0,0
2,2009,2009-09-20,2,23.350,BUF,,TAM,W 33-20,*,1,1,13,13.00,0,100.0%,13.00,0,0,0.0,0,0
3,2009,2009-10-04,4,23.364,BUF,@,MIA,L 10-38,*,,,,,,0.0%,,,,,,
4,2009,2009-10-11,5,24.006,BUF,,CLE,L 3-6,*,4,1,0,0.00,0,25.0%,0.00,0,0,0.0,0,0
5,2009,2009-10-18,6,24.013,BUF,@,NYJ,W 16-13,*,2,2,34,17.00,0,100.0%,17.00,0,0,0.0,0,0
6,2009,2009-11-15,9,24.041,BUF,@,TEN,L 17-41,*,3,3,13,4.33,0,100.0%,4.33,0,0,0.0,0,0
7,2009,2009-11-22,10,24.048,BUF,@,JAX,L 15-18,*,3,1,25,25.00,0,33.3%,8.33,0,0,0.0,0,0
8,2009,2009-11-29,11,24.055,BUF,,MIA,W 31-14,*,4,1,22,22.00,0,25.0%,5.50,0,0,0.0,1,0
9,2009,2009-12-03,12,24.059,BUF,,NYJ,L 13-19,*,,,,,,0.0%,,,,,,
10,2009,2009-12-13,13,24.069,BUF,@,KAN,W 16-10,*,2,2,19,9.50,0,100.0%,9.50,0,0,0.0,1,0
11,2009,2009-12-20,14,24.076,BUF,,NWE,L 10-17,*,5,4,17,4.25,0,80.0%,3.40,0,0,0.0,0,0
12,2009,2009-12-27,15,24.083,BUF,@,ATL,L 3-31,*,1,,,,,0.0%,,,,,,
13,2009,2010-01-03,16,24.090,BUF,,IND,W 30-7,,,0,0,,0,0.0%,,,,,,
14,2010,2010-10-24,6,25.019,BUF,@,BAL,L 34-37,,3,2,16,8.00,0,66.7%,5.33,0,0,0.0,0,0
15,2010,2010-10-31,7,25.026,BUF,@,KAN,L 10-13,,0,0,0,,0,0.0%,,0,0,0.0,0,1
16,2010,2010-11-07,8,25.033,BUF,,CHI,L 19-22,,,,,,,0.0%,,,,,,
17,2010,2010-11-14,9,25.040,BUF,,DET,W 14-12,,,,,,,0.0%,,,,,,
18,2010,2010-11-21,10,25.047,BUF,@,CIN,W 49-31,*,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0
