ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-02,1,22.066,PHI,@,NYG,L 27-28,0,0,,0,2,11,5.50,0,0.0,0,0,0
2,1984,1984-09-09,2,22.073,PHI,,MIN,W 19-17,0,0,,0,2,14,7.00,0,0.0,0,0,0
3,1984,1984-09-16,3,22.080,PHI,@,DAL,L 17-23,0,0,,0,2,16,8.00,0,0.0,0,0,0
4,1984,1984-09-23,4,22.087,PHI,,SFO,L 9-21,0,0,,0,3,19,6.33,0,0.0,0,0,0
5,1984,1984-09-30,5,22.094,PHI,@,WAS,L 0-20,0,0,,0,0,0,,0,,,,
6,1984,1984-10-07,6,22.101,PHI,@,BUF,W 27-17,0,0,,0,2,8,4.00,0,0.0,0,0,0
7,1984,1984-10-14,7,22.108,PHI,,IND,W 16-7,0,0,,0,5,49,9.80,0,0.0,0,0,0
8,1984,1984-10-21,8,22.115,PHI,,NYG,W 24-10,2,38,19.00,0,2,1,0.50,0,0.0,0,0,0
9,1984,1984-10-28,9,22.122,PHI,,STL,L 14-34,4,101,25.25,0,1,7,7.00,0,0.0,0,0,0
10,1984,1984-11-04,10,22.129,PHI,@,DET,T 23-23,1,28,28.00,0,6,34,5.67,0,0.0,0,0,0
11,1984,1984-11-11,11,22.136,PHI,@,MIA,L 23-24,0,0,,0,1,9,9.00,0,0.0,0,0,0
12,1984,1984-11-18,12,22.143,PHI,,WAS,W 16-10,2,31,15.50,0,0,0,,0,0.0,0,0,0
13,1984,1984-11-25,13,22.150,PHI,@,STL,L 16-17,3,29,9.67,0,4,16,4.00,0,0.0,0,0,0
14,1984,1984-12-02,14,22.157,PHI,,DAL,L 10-26,3,40,13.33,0,1,7,7.00,0,0.0,0,0,0
15,1984,1984-12-09,15,22.164,PHI,,NWE,W 27-17,0,0,,0,7,58,8.29,0,0.0,0,0,0
16,1984,1984-12-16,16,22.171,PHI,@,ATL,L 10-26,2,32,16.00,0,2,1,0.50,0,0.0,0,0,0
17,1985,1985-09-08,1,23.072,PHI,@,NYG,L 0-21,1,10,10.00,0,2,31,15.50,0,0.0,0,0,0
18,1985,1985-09-15,2,23.079,PHI,,RAM,L 6-17,0,0,,0,2,21,10.50,0,0.0,0,0,0
19,1985,1985-09-22,3,23.086,PHI,@,WAS,W 19-6,0,0,,0,3,19,6.33,0,0.0,0,0,0
20,1985,1985-09-29,4,23.093,PHI,,NYG,L 10-16,0,0,,0,0,0,,0,,,,
21,1985,1985-10-06,5,23.100,PHI,@,NOR,L 21-23,0,0,,0,4,28,7.00,0,0.0,1,0,0
22,1985,1985-10-13,6,23.107,PHI,,STL,W 30-7,0,0,,0,4,28,7.00,0,0.0,0,0,0
23,1985,1985-10-20,7,23.114,PHI,,DAL,W 16-14,0,0,,0,1,6,6.00,0,0.0,0,0,0
24,1985,1985-10-27,8,23.121,PHI,,BUF,W 21-17,0,0,,0,3,20,6.67,0,0.0,1,13,0
25,1985,1985-11-03,9,23.128,PHI,@,SFO,L 13-24,0,0,,0,0,0,,0,,,,
26,1985,1985-11-10,10,23.135,PHI,,ATL,W 23-17,0,0,,0,6,31,5.17,0,0.0,0,0,0
27,1985,1985-11-17,11,23.142,PHI,@,STL,W 24-14,0,0,,0,3,15,5.00,0,1.0,0,0,0
28,1985,1985-11-24,12,23.149,PHI,@,DAL,L 17-34,0,0,,0,1,4,4.00,0,0.0,0,0,0
29,1985,1985-12-01,13,23.156,PHI,,MIN,L 23-28,2,22,11.00,0,7,56,8.00,0,0.0,0,0,0
30,1985,1985-12-08,14,23.163,PHI,,WAS,L 12-17,0,0,,0,3,70,23.33,0,0.0,0,0,0
31,1985,1985-12-15,15,23.170,PHI,@,SDG,L 14-20,0,0,,0,2,8,4.00,0,0.0,0,0,0
32,1985,1985-12-22,16,23.177,PHI,@,MIN,W 37-35,0,0,,0,2,27,13.50,0,0.0,0,0,0
33,1986,1986-09-07,1,24.071,PHI,@,WAS,L 14-41,0,0,,0,0,0,,0,0.0,1,20,0
34,1986,1986-09-14,2,24.078,PHI,@,CHI,L 10-13,0,0,,0,0,0,,0,,,,
35,1986,1986-09-21,3,24.085,PHI,,DEN,L 7-33,0,0,,0,1,10,10.00,0,1.0,0,0,0
36,1986,1986-09-28,4,24.092,PHI,,RAM,W 34-20,1,18,18.00,0,3,30,10.00,0,0.0,0,0,0
37,1986,1986-10-05,5,24.099,PHI,@,ATL,W 16-0,0,0,,0,1,11,11.00,0,0.0,1,0,0
38,1986,1986-10-12,6,24.106,PHI,@,NYG,L 3-35,0,0,,0,1,58,58.00,0,0.0,0,0,0
39,1986,1986-10-19,7,24.113,PHI,,DAL,L 14-17,0,0,,0,1,2,2.00,0,0.0,0,0,0
40,1986,1986-10-26,8,24.120,PHI,,SDG,W 23-7,0,0,,0,8,28,3.50,0,0.0,0,0,0
41,1986,1986-11-02,9,24.127,PHI,@,STL,L 10-13,0,0,,0,0,0,,0,,,,
42,1986,1986-11-09,10,24.134,PHI,,NYG,L 14-17,0,0,,0,0,0,,0,,,,
43,1986,1986-11-16,11,24.141,PHI,,DET,L 11-13,1,24,24.00,0,0,0,,0,0.0,0,0,0
44,1986,1986-11-23,12,24.148,PHI,@,SEA,L 20-24,0,0,,0,0,0,,0,,,,
45,1986,1986-11-30,13,24.155,PHI,@,RAI,W 33-27,0,0,,0,0,0,,0,0.0,1,0,0
46,1986,1986-12-07,14,24.162,PHI,,STL,T 10-10,0,0,,0,0,0,,0,,,,
47,1986,1986-12-14,15,24.169,PHI,@,DAL,W 23-21,0,0,,0,1,0,0.00,0,0.0,0,0,0
48,1986,1986-12-21,16,24.176,PHI,,WAS,L 14-21,0,0,,0,0,0,,0,,,,
49,1987,1987-09-13,1,25.077,PHI,@,WAS,L 24-34,2,37,18.50,0,0,0,,0,0.0,0,0,0
50,1987,1987-09-20,2,25.084,PHI,,NOR,W 27-17,2,38,19.00,0,0,0,,0,0.0,0,0,0
51,1987,1987-10-25,6,25.119,PHI,,DAL,W 37-20,1,11,11.00,0,0,0,,0,0.0,0,0,0
52,1987,1987-11-01,7,25.126,PHI,@,STL,W 28-23,0,0,,0,0,0,,0,0.0,1,0,0
53,1987,1987-11-08,8,25.133,PHI,,WAS,W 31-27,0,0,,0,,,,,,,,
54,1987,1987-11-15,9,25.140,PHI,,NYG,L 17-20,0,0,,0,,,,,,,,
55,1987,1987-11-22,10,25.147,PHI,,STL,L 19-31,0,0,,0,,,,,,,,
56,1987,1987-11-29,11,25.154,PHI,@,NWE,W 34-31,0,0,,0,,,,,,,,
57,1987,1987-12-06,12,25.161,PHI,@,NYG,L 20-23,0,0,,0,,,,,,,,
58,1987,1987-12-13,13,25.168,PHI,,MIA,L 10-28,0,0,,0,0,0,,0,0.0,1,0,0
59,1987,1987-12-20,14,25.175,PHI,@,NYJ,W 38-27,0,0,,0,,,,,,,,
60,1987,1987-12-27,15,25.182,PHI,,BUF,W 17-7,0,0,,0,,,,,,,,
61,1988,1988-10-23,8,26.117,ATL,,NYG,L 16-23,5,95,19.00,0,0,0,,0,0.0,0,0,0
62,1988,1988-10-30,9,26.124,ATL,@,PHI,W 27-24,1,24,24.00,0,0,0,,0,0.0,0,0,0
63,1988,1988-11-06,10,26.131,ATL,,GNB,W 20-0,1,28,28.00,0,0,0,,0,0.0,0,0,0
64,1988,1988-11-13,11,26.138,ATL,,SDG,L 7-10,2,37,18.50,0,0,0,,0,0.0,0,0,0
65,1988,1988-11-20,12,26.145,ATL,@,RAI,W 12-6,3,62,20.67,0,0,0,,0,0.0,0,0,0
66,1988,1988-11-27,13,26.152,ATL,,TAM,W 17-10,1,22,22.00,0,0,0,,0,0.0,0,0,0
67,1988,1988-12-04,14,26.159,ATL,,SFO,L 3-13,1,19,19.00,0,0,0,,0,0.0,0,0,0
68,1988,1988-12-11,15,26.166,ATL,@,RAM,L 7-22,2,44,22.00,0,0,0,,0,0.0,0,0,0
69,1988,1988-12-18,16,26.173,ATL,@,NOR,L 9-10,0,0,,0,2,10,5.00,0,0.0,0,0,0
70,1989,1989-09-10,1,27.074,ATL,,RAM,L 21-31,,,,,,,,,,,,
71,1989,1989-09-17,2,27.081,ATL,,DAL,W 27-21,,,,,,,,,,,,
72,1989,1989-09-24,3,27.088,ATL,@,IND,L 9-13,0,0,,0,0,0,,0,0.0,1,38,0
73,1989,1989-10-01,4,27.095,ATL,@,GNB,L 21-23,0,0,,0,0,0,,0,0.0,1,0,0
74,1989,1989-10-08,5,27.102,ATL,@,RAM,L 14-26,,,,,,,,,,,,
75,1989,1989-10-15,6,27.109,ATL,,NWE,W 16-15,0,0,,0,0,0,,0,0.0,2,16,0
76,1989,1989-10-22,7,27.116,ATL,@,PHO,L 20-34,,,,,,,,,,,,
77,1989,1989-10-29,8,27.123,ATL,@,NOR,L 13-20,,,,,,,,,,,,
78,1989,1989-11-05,9,27.130,ATL,,BUF,W 30-28,,,,,,,,,,,,
79,1989,1989-11-12,10,27.137,ATL,@,SFO,L 3-45,,,,,,,,,,,,
80,1989,1989-11-19,11,27.144,ATL,,NOR,L 17-26,,,,,,,,,,,,
81,1989,1989-11-26,12,27.151,ATL,@,NYJ,L 7-27,,,,,,,,,,,,
82,1989,1989-12-03,13,27.158,ATL,,SFO,L 10-23,,,,,,,,,,,,
83,1989,1989-12-10,14,27.165,ATL,@,MIN,L 17-43,,,,,,,,,,,,
84,1989,1989-12-17,15,27.172,ATL,,WAS,L 30-31,,,,,,,,,,,,
85,1989,1989-12-24,16,27.179,ATL,,DET,L 24-31,,,,,,,,,,,,
