ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2010,2010-12-05,12,22.263,ARI,,STL,L 6-19,,3,6,50.00,45,0,0,75.0,1,10,7.50,7.50,0,0,,0,0.0,0,0
2,2010,2010-12-12,13,22.270,ARI,,DEN,W 43-13,*,15,37,40.54,146,0,0,52.3,0,0,3.95,3.95,3,9,3.00,0,0.0,0,0
3,2010,2010-12-19,14,22.277,ARI,@,CAR,L 12-19,*,17,33,51.52,196,0,1,57.1,3,21,5.94,4.58,2,10,5.00,0,0.0,0,0
4,2010,2010-12-25,15,22.283,ARI,,DAL,W 27-26,*,11,25,44.00,183,1,0,82.6,1,5,7.32,8.12,3,21,7.00,0,0.0,0,0
5,2010,2011-01-02,16,22.291,ARI,@,SFO,L 7-38,*,14,25,56.00,92,1,1,60.7,4,29,3.68,2.68,2,9,4.50,0,0.0,1,0
6,2011,2011-11-06,8,23.234,ARI,,STL,W 19-13,*,20,35,57.14,222,1,0,85.7,3,30,6.34,6.91,4,38,9.50,0,0.0,0,0
7,2011,2011-11-13,9,23.241,ARI,@,PHI,W 21-17,*,21,40,52.50,315,3,2,82.8,4,33,7.88,7.13,4,15,3.75,0,0.0,0,0
8,2011,2011-11-20,10,23.248,ARI,@,SFO,L 7-23,*,6,19,31.58,99,0,3,10.5,1,8,5.21,-1.89,0,0,,0,0.0,0,0
9,2011,2011-11-27,11,23.255,ARI,@,STL,W 23-20,*,12,23,52.17,114,0,2,30.0,3,8,4.96,1.04,3,18,6.00,0,0.0,0,0
10,2011,2011-12-11,13,23.269,ARI,,SFO,W 21-19,,19,28,67.86,282,3,2,106.5,1,5,10.07,9.00,6,25,4.17,0,0.0,0,0
11,2011,2011-12-18,14,23.276,ARI,,CLE,W 20-17,*,28,46,60.87,313,1,1,79.3,4,24,6.80,6.26,2,7,3.50,0,0.0,0,0
12,2011,2011-12-24,15,23.282,ARI,@,CIN,L 16-23,*,23,44,52.27,297,2,3,60.5,5,40,6.75,4.59,4,6,1.50,0,0.0,0,0
13,2011,2012-01-01,16,23.290,ARI,,SEA,W 23-20,*,22,40,55.00,271,1,1,74.1,2,14,6.78,6.15,5,19,3.80,0,0.0,0,0
14,2012,2012-09-09,1,24.176,ARI,,SEA,W 20-16,*,14,28,50.00,149,0,1,51.0,1,5,5.32,3.71,1,2,2.00,0,0.0,0,0
15,2012,2012-10-14,6,24.211,ARI,,BUF,L 16-19,,2,10,20.00,45,0,1,6.2,0,0,4.50,0.00,0,0,,0,0.0,0,0
16,2012,2012-10-21,7,24.218,ARI,@,MIN,L 14-21,*,25,36,69.44,262,1,1,88.0,7,32,7.28,6.58,0,0,,0,0.0,0,0
17,2012,2012-10-29,8,24.226,ARI,,SFO,L 3-24,*,32,52,61.54,290,0,1,68.6,4,32,5.58,4.71,1,1,1.00,0,0.0,0,0
18,2012,2012-11-04,9,24.232,ARI,@,GNB,L 17-31,*,23,46,50.00,306,1,1,69.7,2,20,6.65,6.11,0,0,,0,0.0,0,0
19,2012,2012-11-18,10,24.246,ARI,@,ATL,L 19-23,*,2,7,28.57,6,0,0,39.6,0,0,0.86,0.86,0,0,,0,0.0,0,0
20,2012,2012-12-09,13,24.267,ARI,@,SEA,L 0-58,*,11,22,50.00,74,0,4,18.2,1,9,3.36,-4.82,2,2,1.00,0,0.0,0,0
