ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1988,1988-09-04,1,21.291,SDG,@,RAI,L 13-24,1,14,14.00,0,0,0,,0,0,0,,0,0,0
2,1988,1988-09-11,2,21.298,SDG,@,DEN,L 3-34,0,0,,0,0,0,,0,0,0,,0,,
3,1988,1988-09-18,3,21.305,SDG,,SEA,W 17-6,3,51,17.00,0,0,0,,0,0,0,,0,0,0
4,1988,1988-09-25,4,21.312,SDG,@,KAN,W 24-23,0,0,,0,0,0,,0,0,0,,0,,
5,1988,1988-10-02,5,21.319,SDG,,DEN,L 0-12,4,38,9.50,0,0,0,,0,0,0,,0,0,0
6,1988,1988-10-09,6,21.326,SDG,,NOR,L 17-23,0,0,,0,0,0,,0,0,0,,0,,
7,1988,1988-10-16,7,21.333,SDG,@,MIA,L 28-31,2,29,14.50,1,0,0,,0,0,0,,0,1,6
8,1988,1988-10-23,8,21.340,SDG,,IND,L 0-16,1,8,8.00,0,0,0,,0,2,11,5.50,0,0,0
9,1988,1988-10-30,9,21.347,SDG,@,SEA,L 14-17,1,9,9.00,0,0,0,,0,3,23,7.67,0,0,0
10,1988,1988-11-06,10,21.354,SDG,,RAI,L 3-13,1,8,8.00,0,0,0,,0,1,0,0.00,0,0,0
11,1988,1988-11-13,11,21.361,SDG,@,ATL,W 10-7,0,0,,0,0,0,,0,1,2,2.00,0,0,0
12,1988,1988-11-20,12,22.002,SDG,@,RAM,W 38-24,0,0,,0,0,0,,0,0,0,,0,,
13,1988,1988-11-27,13,22.009,SDG,,SFO,L 10-48,2,27,13.50,0,0,0,,0,0,0,,0,0,0
14,1988,1988-12-04,14,22.016,SDG,@,CIN,L 10-27,0,0,,0,1,10,10.00,0,0,0,,0,0,0
15,1988,1988-12-11,15,22.023,SDG,,PIT,W 20-14,3,24,8.00,1,0,0,,0,0,0,,0,1,6
16,1988,1988-12-18,16,22.030,SDG,,KAN,W 24-13,0,0,,0,0,0,,0,0,0,,0,,
