ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1976,1976-09-12,1,22.227,NOR,,MIN,L 9-40,5,15,3.00,1,1,13,13.00,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0,0,0,,0,,,,,,,1,6
2,1976,1976-09-19,2,22.234,NOR,,DAL,L 6-24,3,13,4.33,0,3,10,3.33,0,0,0,,0,0,0,,0,0,,,4,78,19.50,0,0,0,,0,,,,,,,0,0
3,1976,1976-09-26,3,22.241,NOR,@,KAN,W 27-17,14,146,10.43,2,5,22,4.40,0,0,0,,0,0,0,,0,0,,,4,94,23.50,0,0,0,,0,,,,,,,2,12
4,1976,1976-10-03,4,22.248,NOR,,HOU,L 26-31,9,23,2.56,0,7,67,9.57,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,,,,,,,0,0
5,1976,1976-10-10,5,22.255,NOR,,ATL,W 30-0,6,17,2.83,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,0,0,,0,,,,,,,0,0
6,1976,1976-10-17,6,22.262,NOR,@,SFO,L 3-33,4,21,5.25,0,2,8,4.00,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,0,0,,0,,,,,,,0,0
7,1976,1976-10-24,7,22.269,NOR,,RAM,L 10-16,9,40,4.44,0,7,91,13.00,1,0,0,,0,0,0,,0,0,,,2,52,26.00,0,0,0,,0,,,,,,,1,6
8,1976,1976-10-31,8,22.276,NOR,@,ATL,L 20-23,16,61,3.81,1,3,7,2.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
9,1976,1976-11-07,9,22.283,NOR,@,GNB,L 27-32,13,48,3.69,1,2,22,11.00,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,2,8,4.00,0,,,,,,,1,6
10,1976,1976-11-14,10,22.290,NOR,,DET,W 17-16,10,23,2.30,0,3,14,4.67,0,0,0,,0,0,0,,0,0,,,3,35,11.67,0,0,0,,0,,,,,,,0,0
11,1976,1976-11-21,11,22.297,NOR,@,SEA,W 51-27,19,77,4.05,1,4,28,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
12,1976,1976-11-28,12,22.304,NOR,@,RAM,L 14-33,6,15,2.50,1,5,57,11.40,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
13,1976,1976-12-05,13,22.311,NOR,@,NWE,L 6-27,13,41,3.15,0,8,58,7.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
14,1976,1976-12-12,14,22.318,NOR,,SFO,L 7-27,9,30,3.33,0,4,23,5.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
15,1977,1977-09-18,1,23.232,NOR,,GNB,L 20-24,8,33,4.13,0,5,64,12.80,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
16,1977,1977-09-25,2,23.239,NOR,@,DET,L 19-23,3,4,1.33,0,3,4,1.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
17,1977,1977-10-02,3,23.246,NOR,@,CHI,W 42-24,21,61,2.90,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
18,1977,1977-10-09,4,23.253,NOR,,SDG,L 0-14,16,63,3.94,0,9,55,6.11,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
19,1977,1977-10-16,5,23.260,NOR,@,RAM,L 7-14,8,22,2.75,0,6,28,4.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
20,1977,1977-10-23,6,23.267,NOR,@,STL,L 31-49,9,39,4.33,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
21,1977,1977-10-30,7,23.274,NOR,,RAM,W 27-26,20,100,5.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,2,12
22,1977,1977-11-06,8,23.281,NOR,@,PHI,L 7-28,5,0,0.00,0,3,29,9.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
23,1977,1977-11-13,9,23.288,NOR,,SFO,L 7-10,17,66,3.88,1,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
24,1977,1977-11-20,10,23.295,NOR,,ATL,W 21-20,17,80,4.71,0,6,34,5.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
25,1977,1977-11-27,11,23.302,NOR,@,SFO,L 17-20,14,66,4.71,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
26,1977,1977-12-04,12,23.309,NOR,,NYJ,L 13-16,10,47,4.70,0,2,6,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
