ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-09-14,1,22.096,OAK,,SDG,L 20-24,,0,0,,0,0.0,0,0,0,0,0
2,2009,2009-09-20,2,22.102,OAK,@,KAN,W 13-10,,0,0,,0,0.0,0,0,0,0,0
3,2009,2009-09-27,3,22.109,OAK,,DEN,L 3-23,,0,0,,0,0.0,3,0,0,0,0
4,2009,2009-10-04,4,22.116,OAK,@,HOU,L 6-29,,0,0,,0,0.0,1,0,0,0,0
5,2009,2009-10-11,5,22.123,OAK,@,NYG,L 7-44,,0,0,,0,0.0,0,1,0,0,0
6,2009,2009-10-18,6,22.130,OAK,,PHI,W 13-9,,,,,,,,,,,
7,2009,2009-10-25,7,22.137,OAK,,NYJ,L 0-38,,,,,,,,,,,
8,2009,2009-11-01,8,22.144,OAK,@,SDG,L 16-24,,0,0,,0,0.0,0,0,0,0,0
9,2009,2009-11-15,9,22.158,OAK,,KAN,L 10-16,,,,,,,,,,,
10,2009,2009-11-22,10,22.165,OAK,,CIN,W 20-17,,0,0,,0,0.0,1,0,0,0,0
11,2009,2009-11-26,11,22.169,OAK,@,DAL,L 7-24,,,,,,,,,,,
12,2009,2009-12-06,12,22.179,OAK,@,PIT,W 27-24,,0,0,,0,0.0,0,2,0,0,0
13,2009,2009-12-13,13,22.186,OAK,,WAS,L 13-34,,0,0,,0,1.0,1,0,0,0,0
14,2009,2009-12-20,14,22.193,OAK,@,DEN,W 20-19,,0,0,,0,0.0,0,0,0,0,0
15,2009,2009-12-27,15,22.200,OAK,@,CLE,L 9-23,,0,0,,0,0.0,2,1,0,0,0
16,2009,2010-01-03,16,22.207,OAK,,BAL,L 13-21,,0,0,,0,0.5,0,1,0,0,0
17,2010,2010-09-12,1,23.094,OAK,@,TEN,L 13-38,,0,0,,0,0.0,0,1,0,0,0
18,2010,2010-09-19,2,23.101,OAK,,STL,W 16-14,,,,,,,,,,,
19,2010,2010-09-26,3,23.108,OAK,@,ARI,L 23-24,*,0,0,,0,0.0,1,1,0,0,0
20,2010,2010-10-03,4,23.115,OAK,,HOU,L 24-31,,0,0,,0,0.0,3,0,0,0,0
21,2010,2010-10-10,5,23.122,OAK,,SDG,W 35-27,,0,0,,0,0.0,2,1,0,0,0
22,2010,2010-10-17,6,23.129,OAK,@,SFO,L 9-17,,0,0,,0,0.0,1,2,0,0,0
23,2010,2010-10-24,7,23.136,OAK,@,DEN,W 59-14,*,0,0,,0,0.0,3,1,0,0,0
24,2010,2010-10-31,8,23.143,OAK,,SEA,W 33-3,,0,0,,0,0.0,2,2,0,0,0
25,2010,2010-11-07,9,23.150,OAK,,KAN,W 23-20,,0,0,,0,0.0,6,1,0,0,0
26,2010,2010-11-21,10,23.164,OAK,@,PIT,L 3-35,,0,0,,0,0.0,3,1,0,0,0
27,2010,2010-11-28,11,23.171,OAK,,MIA,L 17-33,,0,0,,0,0.0,4,0,0,0,0
28,2010,2010-12-05,12,23.178,OAK,@,SDG,W 28-13,,0,0,,0,0.0,3,0,0,0,0
29,2010,2010-12-12,13,23.185,OAK,@,JAX,L 31-38,,0,0,,0,0.0,2,0,1,0,0
