ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-09-18,2,23.055,GNB,@,CAR,W 30-23,,,,,,,,,,,,,
2,2011,2011-09-25,3,23.062,GNB,@,CHI,W 27-17,,,,,,,,,,,,,
3,2011,2011-10-02,4,23.069,GNB,,DEN,W 49-23,,,,,,,,,,,,,
4,2011,2011-10-09,5,23.076,GNB,@,ATL,W 25-14,,,,,,,,,,,,,
5,2011,2011-10-16,6,23.083,GNB,,STL,W 24-3,,0,0,,0,0,0,0.0,0,1,0,0,0
6,2011,2011-10-23,7,23.090,GNB,@,MIN,W 33-27,,,,,,,,,,,,,
7,2011,2011-11-06,8,23.104,GNB,@,SDG,W 45-38,,,,,,,,,,,,,
8,2011,2011-11-14,9,23.112,GNB,,MIN,W 45-7,,,,,,,,,,,,,
9,2011,2011-11-20,10,23.118,GNB,,TAM,W 35-26,,0,0,,0,0,0,0.0,0,1,0,0,0
10,2011,2011-11-24,11,23.122,GNB,@,DET,W 27-15,,0,0,,0,0,0,0.0,0,0,0,0,0
11,2011,2011-12-04,12,23.132,GNB,@,NYG,W 38-35,,,,,,,,,,,,,
12,2011,2011-12-11,13,23.139,GNB,,OAK,W 46-16,,0,0,,0,0,0,0.0,0,0,0,0,0
13,2011,2011-12-18,14,23.146,GNB,@,KAN,L 14-19,,,,,,,,,,,,,
14,2011,2011-12-25,15,23.153,GNB,,CHI,W 35-21,,,,,,,,,,,,,
15,2011,2012-01-01,16,23.160,GNB,,DET,W 45-41,,0,0,,0,0,0,0.0,0,0,0,0,0
16,2012,2012-09-09,1,24.046,GNB,,SFO,L 22-30,,,,,,,,,,,,,
17,2012,2012-09-13,2,24.050,GNB,,CHI,W 23-10,,,,,,,,,,,,,
18,2012,2012-09-24,3,24.061,GNB,@,SEA,L 12-14,,,,,,,,,,,,,
19,2012,2012-09-30,4,24.067,GNB,,NOR,W 28-27,,0,0,,0,0,0,0.0,2,0,0,0,0
20,2012,2012-10-07,5,24.074,GNB,@,IND,L 27-30,,,,,,,,,,,,,
21,2012,2012-10-14,6,24.081,GNB,@,HOU,W 42-24,,0,0,,0,0,0,0.0,6,1,0,0,0
22,2012,2012-10-21,7,24.088,GNB,@,STL,W 30-20,*,0,0,,0,0,0,0.0,2,1,0,0,0
23,2012,2012-10-28,8,24.095,GNB,,JAX,W 24-15,*,0,0,,0,0,0,0.0,2,5,0,0,0
24,2012,2012-11-04,9,24.102,GNB,,ARI,W 31-17,*,0,0,,0,0,0,0.0,1,2,0,0,0
25,2012,2012-11-18,10,24.116,GNB,@,DET,W 24-20,*,0,0,,0,0,6,0.0,1,1,1,72,1
26,2012,2012-11-25,11,24.123,GNB,@,NYG,L 10-38,*,0,0,,0,0,0,0.0,4,1,0,0,0
27,2012,2012-12-02,12,24.130,GNB,,MIN,W 23-14,*,0,0,,0,0,0,0.0,4,0,0,0,0
28,2012,2012-12-09,13,24.137,GNB,,DET,W 27-20,*,0,0,,0,0,0,0.0,3,1,0,0,0
29,2012,2012-12-16,14,24.144,GNB,@,CHI,W 21-13,*,0,0,,0,0,0,0.0,1,1,0,0,0
30,2012,2012-12-23,15,24.151,GNB,,TEN,W 55-7,*,0,0,,0,0,0,0.0,2,0,0,0,0
31,2012,2012-12-30,16,24.158,GNB,@,MIN,L 34-37,*,0,0,,0,0,0,0.0,4,0,0,0,0
32,2013,2013-09-08,1,25.045,GNB,@,SFO,L 28-34,*,0,0,,0,0,0,0.0,6,1,0,0,0
33,2013,2013-09-15,2,25.052,GNB,,WAS,W 38-20,*,0,0,,0,0,0,0.0,4,0,0,0,0
34,2013,2013-09-22,3,25.059,GNB,@,CIN,L 30-34,*,0,0,,0,0,6,1.0,3,1,0,0,0
35,2013,2013-10-06,4,25.073,GNB,,DET,W 22-9,*,0,0,,0,0,0,0.0,3,0,0,0,0
36,2013,2013-10-13,5,25.080,GNB,@,BAL,W 19-17,*,0,0,,0,0,0,0.0,3,1,0,0,0
37,2013,2013-10-20,6,25.087,GNB,,CLE,W 31-13,*,0,0,,0,0,0,0.0,1,2,0,0,0
38,2013,2013-10-27,7,25.094,GNB,@,MIN,W 44-31,*,0,0,,0,0,0,0.0,2,0,0,0,0
39,2013,2013-11-04,8,25.102,GNB,,CHI,L 20-27,*,0,0,,0,0,0,0.0,3,2,0,0,0
40,2013,2013-11-10,9,25.108,GNB,,PHI,L 13-27,*,0,0,,0,0,0,0.0,6,0,0,0,0
41,2013,2013-11-17,10,25.115,GNB,@,NYG,L 13-27,*,1,6,6.00,0,0,0,0.0,5,1,0,0,0
42,2013,2013-11-24,11,25.122,GNB,,MIN,T 26-26,*,0,0,,0,0,0,0.0,7,1,0,0,0
43,2013,2013-11-28,12,25.126,GNB,@,DET,L 10-40,*,0,0,,0,0,0,0.0,3,4,0,0,0
44,2013,2013-12-08,13,25.136,GNB,,ATL,W 22-21,*,0,0,,0,0,0,0.0,2,1,0,0,0
45,2013,2013-12-15,14,25.143,GNB,@,DAL,W 37-36,*,0,0,,0,0,0,0.0,1,1,0,0,0
46,2013,2013-12-22,15,25.150,GNB,,PIT,L 31-38,*,0,0,,0,0,0,0.0,2,2,0,0,0
47,2013,2013-12-29,16,25.157,GNB,@,CHI,W 33-28,*,0,0,,0,0,0,0.0,5,1,0,0,0
