ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,23.019,HOU,,MIA,W 30-10,,0,0,,0,0.0,1,0
2,2012,2012-09-16,2,23.026,HOU,@,JAX,W 27-7,,0,0,,0,0.0,1,0
3,2012,2012-09-23,3,23.033,HOU,@,DEN,W 31-25,,,,,,,,
4,2012,2012-09-30,4,23.040,HOU,,TEN,W 38-14,,,,,,,,
5,2012,2012-10-14,6,23.054,HOU,,GNB,L 24-42,,0,0,,0,0.0,2,0
6,2012,2012-10-21,7,23.061,HOU,,BAL,W 43-13,,0,0,,0,0.0,1,1
7,2012,2012-11-04,8,23.075,HOU,,BUF,W 21-9,,0,0,,0,0.0,0,1
8,2012,2012-11-11,9,23.082,HOU,@,CHI,W 13-6,,,,,,,,
9,2012,2012-11-18,10,23.089,HOU,,JAX,W 43-37,,0,0,,0,0.0,0,2
10,2012,2012-11-22,11,23.093,HOU,@,DET,W 34-31,,0,0,,0,0.0,3,1
11,2012,2012-12-02,12,23.103,HOU,@,TEN,W 24-10,,0,0,,0,0.0,2,0
12,2012,2012-12-10,13,23.111,HOU,@,NWE,L 14-42,,0,0,,0,0.0,0,4
13,2012,2012-12-16,14,23.117,HOU,,IND,W 29-17,,0,0,,0,0.0,1,0
14,2012,2012-12-23,15,23.124,HOU,,MIN,L 6-23,,0,0,,0,0.0,1,0
15,2012,2012-12-30,16,23.131,HOU,@,IND,L 16-28,,0,0,,0,0.0,1,0
16,2013,2013-09-09,1,24.019,HOU,@,SDG,W 31-28,*,0,0,,0,0.0,1,2
17,2013,2013-09-15,2,24.025,HOU,,TEN,W 30-24,,,,,,,,
18,2013,2013-09-22,3,24.032,HOU,@,BAL,L 9-30,,0,0,,0,0.0,1,0
19,2013,2013-09-29,4,24.039,HOU,,SEA,L 20-23,,,,,,,,
20,2013,2013-10-06,5,24.046,HOU,@,SFO,L 3-34,,0,0,,0,0.0,1,1
21,2013,2013-10-13,6,24.053,HOU,,STL,L 13-38,,0,0,,0,0.0,1,2
22,2013,2013-10-20,7,24.060,HOU,@,KAN,L 16-17,,0,0,,0,0.0,0,0
23,2013,2013-11-03,8,24.074,HOU,,IND,L 24-27,,,,,,,,
24,2013,2013-11-10,9,24.081,HOU,@,ARI,L 24-27,,0,0,,0,0.0,1,1
