ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1996,1996-10-13,7,26.027,OAK,,DET,W 37-21,5,4,21,5.25,0,80.0%,4.20,0,0,,0
2,1996,1996-10-21,8,26.035,OAK,@,SDG,W 23-14,,0,0,,0,0.0%,,,,,
3,1997,1997-09-08,2,26.357,OAK,,KAN,L 27-28,1,1,9,9.00,0,100.0%,9.00,0,0,,0
4,1997,1997-09-14,3,26.363,OAK,@,ATL,W 36-31,3,1,25,25.00,0,33.3%,8.33,0,0,,0
5,1997,1997-09-21,4,27.005,OAK,@,NYJ,L 22-23,,0,0,,0,0.0%,,0,0,,0
6,1997,1997-09-28,5,27.012,OAK,,STL,W 35-17,1,0,0,,0,0.0%,0.00,0,0,,0
7,1997,1997-10-05,6,27.019,OAK,,SDG,L 10-25,0,0,0,,0,0.0%,,0,0,,0
8,1997,1997-12-07,14,27.082,OAK,@,KAN,L 0-30,0,0,0,,0,0.0%,,2,4,2.00,0
9,1997,1997-12-14,15,27.089,OAK,,SEA,L 21-22,1,0,0,,0,0.0%,0.00,0,0,,0
10,1997,1997-12-21,16,27.096,OAK,,JAX,L 9-20,,0,0,,0,0.0%,,0,0,,0
