ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.178,HOU,,MIA,W 30-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2012,2012-09-16,2,22.185,HOU,@,JAX,W 27-7,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2012,2012-09-23,3,22.192,HOU,@,DEN,W 31-25,,4,2,20,10.00,0,50.0%,5.00,1,21,21.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2012,2012-09-30,4,22.199,HOU,,TEN,W 38-14,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2012,2012-10-08,5,22.207,HOU,@,NYJ,W 23-17,,0,0,0,,0,0.0%,,1,14,14.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2012,2012-10-14,6,22.213,HOU,,GNB,L 24-42,,6,2,24,12.00,0,33.3%,4.00,0,0,,0,3,65,21.67,0,1,19,19.00,0,0,0,0.0,0,0
7,2012,2012-10-21,7,22.220,HOU,,BAL,W 43-13,,2,0,0,,0,0.0%,0.00,0,0,,0,1,17,17.00,0,4,9,2.25,0,0,0,0.0,0,0
8,2012,2012-11-04,8,22.234,HOU,,BUF,W 21-9,,0,0,0,,0,0.0%,,1,1,1.00,0,3,62,20.67,0,2,34,17.00,0,0,0,0.0,0,0
9,2012,2012-11-11,9,22.241,HOU,@,CHI,W 13-6,,1,0,0,,0,0.0%,0.00,0,0,,0,3,66,22.00,0,0,0,,0,0,0,0.0,0,0
10,2012,2012-11-18,10,22.248,HOU,,JAX,W 43-37,*,1,1,9,9.00,1,100.0%,9.00,0,0,,0,5,162,32.40,0,2,76,38.00,0,1,6,0.0,0,0
11,2012,2012-11-22,11,22.252,HOU,@,DET,W 34-31,,3,2,17,8.50,0,66.7%,5.67,1,17,17.00,0,5,121,24.20,0,2,10,5.00,0,0,0,0.0,0,0
12,2012,2012-12-02,12,22.262,HOU,@,TEN,W 24-10,,2,0,0,,0,0.0%,0.00,0,0,,0,1,14,14.00,0,4,67,16.75,0,0,0,0.0,0,0
