ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1986,1986-10-26,8,23.207,SDG,@,PHI,L 7-23,1,11,11.00,0,0,0,,0
2,1986,1986-11-02,9,23.214,SDG,,KAN,L 23-24,0,0,,0,,,,
3,1986,1986-11-09,10,23.221,SDG,@,DEN,W 9-3,0,0,,0,,,,
4,1986,1986-11-16,11,23.228,SDG,,DAL,L 21-24,0,0,,0,,,,
5,1986,1986-11-20,12,23.232,SDG,,RAI,L 31-37,0,0,,0,,,,
6,1986,1986-11-30,13,23.242,SDG,@,IND,W 17-3,0,0,,0,,,,
7,1986,1986-12-07,14,23.249,SDG,,HOU,W 27-0,0,0,,0,,,,
8,1986,1986-12-14,15,23.256,SDG,,SEA,L 24-34,0,0,,0,,,,
9,1986,1986-12-21,16,23.263,SDG,@,CLE,L 17-47,0,0,,0,,,,
10,1987,1987-09-13,1,24.164,SDG,@,KAN,L 13-20,0,0,,0,,,,
11,1987,1987-09-20,2,24.171,SDG,,STL,W 28-24,0,0,,0,,,,
12,1987,1987-10-25,6,24.206,SDG,,KAN,W 42-21,1,23,23.00,0,0,0,,0
13,1987,1987-11-01,7,24.213,SDG,,CLE,W 27-24,0,0,,0,,,,
14,1987,1987-11-08,8,24.220,SDG,@,IND,W 16-13,0,0,,0,,,,
15,1987,1987-11-15,9,24.227,SDG,,RAI,W 16-14,0,0,,0,,,,
16,1987,1987-11-22,10,24.234,SDG,@,SEA,L 3-34,0,0,,0,,,,
17,1987,1987-11-29,11,24.241,SDG,,DEN,L 17-31,0,0,,0,,,,
18,1987,1987-12-06,12,24.248,SDG,@,HOU,L 18-33,0,0,,0,,,,
19,1987,1987-12-13,13,24.255,SDG,,PIT,L 16-20,1,15,15.00,0,0,0,,0
20,1987,1987-12-20,14,24.262,SDG,,IND,L 7-20,0,0,,0,,,,
21,1987,1987-12-27,15,24.269,SDG,@,DEN,L 0-24,0,0,,0,,,,
22,1989,1989-09-10,1,26.161,RAI,,SDG,W 40-14,,,,,,,,
23,1989,1989-09-17,2,26.168,RAI,@,KAN,L 19-24,,,,,,,,
24,1989,1989-09-24,3,26.175,RAI,@,DEN,L 21-31,,,,,,,,
25,1989,1989-10-01,4,26.182,RAI,,SEA,L 20-24,,,,,,,,
26,1989,1989-10-09,5,26.190,RAI,@,NYJ,W 14-7,0,0,,0,2,29,14.50,0
27,1989,1989-10-15,6,26.196,RAI,,KAN,W 20-14,,,,,,,,
28,1989,1989-10-22,7,26.203,RAI,@,PHI,L 7-10,,,,,,,,
29,1989,1989-10-29,8,26.210,RAI,,WAS,W 37-24,,,,,,,,
30,1989,1989-11-05,9,26.217,RAI,,CIN,W 28-7,,,,,,,,
31,1989,1989-11-12,10,26.224,RAI,@,SDG,L 12-14,,,,,,,,
32,1989,1989-11-19,11,26.231,RAI,@,HOU,L 7-23,0,0,,0,2,57,28.50,0
33,1989,1989-11-26,12,26.238,RAI,,NWE,W 24-21,,,,,,,,
34,1989,1989-12-24,16,26.266,RAI,@,NYG,L 17-34,,,,,,,,
