ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-19,2,23.312,NYG,@,IND,L 14-38,,,,,,,0.0%,,,,,,,,,,,,,,
2,2010,2010-09-26,3,23.319,NYG,,TEN,L 10-29,,,,,,,0.0%,,,,,,,,,,,,,,
3,2010,2010-10-03,4,23.326,NYG,,CHI,W 17-3,,,,,,,0.0%,,,,,,,,,,,,,,
4,2011,2011-09-11,1,24.304,NYG,@,WAS,L 14-28,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2011,2011-09-19,2,24.312,NYG,,STL,W 28-16,,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2011,2011-09-25,3,24.318,NYG,@,PHI,W 29-16,,5,3,110,36.67,2,60.0%,22.00,0,0,,0,0,0,,0,2,12,0.0,0,0
7,2011,2011-10-02,4,24.325,NYG,@,ARI,W 31-27,,9,6,98,16.33,0,66.7%,10.89,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2011,2011-10-09,5,24.332,NYG,,SEA,L 25-36,,11,8,161,20.13,1,72.7%,14.64,1,3,3.00,0,0,0,,0,1,6,0.0,0,0
9,2011,2011-10-16,6,24.339,NYG,,BUF,W 27-24,,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2011,2011-10-30,7,24.353,NYG,,MIA,W 20-17,,9,7,99,14.14,1,77.8%,11.00,0,0,,0,0,0,,0,1,6,0.0,0,0
11,2011,2011-11-06,8,24.360,NYG,@,NWE,W 24-20,*,11,6,91,15.17,0,54.5%,8.27,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2011,2011-11-13,9,25.002,NYG,@,SFO,L 20-27,,11,6,84,14.00,0,54.5%,7.64,0,0,,0,3,12,4.00,0,0,0,0.0,1,0
13,2011,2011-11-20,10,25.009,NYG,,PHI,L 10-17,,10,6,128,21.33,1,60.0%,12.80,0,0,,0,0,0,,0,1,6,0.0,0,0
