ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-10-26,8,23.114,TAM,@,DAL,L 9-13,,0,0,,0,1,1,13,13.00,0,100.0%,13.00,3,62,20.67,0,5,82,16.40,0,0,0,0.0,0,0
2,2008,2008-11-02,9,23.121,TAM,@,KAN,W 30-27,,3,17,5.67,0,1,1,3,3.00,0,100.0%,3.00,6,232,38.67,1,2,27,13.50,0,1,6,0.0,1,0
3,2008,2008-11-16,10,23.135,TAM,,MIN,W 19-13,,4,21,5.25,0,1,1,-1,-1.00,0,100.0%,-1.00,2,48,24.00,0,0,0,,0,0,0,0.0,0,0
4,2008,2008-11-23,11,23.142,TAM,@,DET,W 38-20,,0,0,,0,0,0,0,,0,0.0%,,5,142,28.40,0,4,90,22.50,1,1,6,0.0,0,0
5,2008,2008-11-30,12,23.149,TAM,,NOR,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,3,76,25.33,0,5,82,16.40,0,0,0,0.0,0,0
6,2008,2008-12-08,13,23.157,TAM,@,CAR,L 23-38,,0,0,,0,1,0,0,,0,0.0%,0.00,3,77,25.67,0,1,3,3.00,0,0,0,0.0,0,0
7,2008,2008-12-14,14,23.163,TAM,@,ATL,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,4,72,18.00,0,3,16,5.33,0,0,0,0.0,0,0
8,2008,2008-12-21,15,23.170,TAM,,SDG,L 24-41,,1,2,2.00,0,1,1,9,9.00,0,100.0%,9.00,7,205,29.29,0,1,8,8.00,0,0,0,0.0,0,0
9,2008,2008-12-28,16,23.177,TAM,,OAK,L 24-31,,0,0,,0,0,0,0,,0,0.0%,,3,78,26.00,0,2,16,8.00,0,0,0,0.0,0,0
10,2009,2009-09-13,1,24.071,TAM,,DAL,L 21-34,,1,4,4.00,0,2,1,3,3.00,0,50.0%,1.50,4,101,25.25,0,3,27,9.00,0,0,0,0.0,0,0
11,2009,2009-09-20,2,24.078,TAM,@,BUF,L 20-33,,0,0,,0,2,1,1,1.00,0,50.0%,0.50,4,111,27.75,0,1,5,5.00,0,0,0,0.0,0,1
12,2009,2009-09-27,3,24.085,TAM,,NYG,L 0-24,,0,0,,0,0,0,0,,0,0.0%,,2,56,28.00,0,3,41,13.67,0,0,0,0.0,0,0
13,2009,2009-10-04,4,24.092,TAM,@,WAS,L 13-16,,2,3,1.50,0,1,0,0,,0,0.0%,0.00,2,62,31.00,0,2,9,4.50,0,0,0,0.0,0,0
14,2009,2009-10-11,5,24.099,TAM,@,PHI,L 14-33,,0,0,,0,0,0,0,,0,0.0%,,4,120,30.00,0,3,27,9.00,0,0,0,0.0,0,0
15,2009,2009-10-18,6,24.106,TAM,,CAR,L 21-28,,0,0,,0,0,0,0,,0,0.0%,,1,25,25.00,0,1,6,6.00,0,0,0,0.0,0,0
16,2009,2009-11-08,8,24.127,TAM,,GNB,W 38-28,,1,0,0.00,0,0,0,0,,0,0.0%,,2,107,53.50,0,4,54,13.50,0,0,0,0.0,0,0
17,2009,2009-11-15,9,24.134,TAM,@,MIA,L 23-25,,0,0,,0,0,0,0,,0,0.0%,,6,171,28.50,0,4,31,7.75,0,0,0,0.0,0,0
18,2009,2009-11-22,10,24.141,TAM,,NOR,L 7-38,,0,0,,0,0,0,0,,0,0.0%,,4,106,26.50,0,1,11,11.00,0,0,0,0.0,0,0
19,2009,2009-11-29,11,24.148,TAM,@,ATL,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,2,43,21.50,0,1,21,21.00,0,0,0,0.0,0,0
20,2009,2009-12-06,12,24.155,TAM,@,CAR,L 6-16,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
21,2010,2010-09-12,1,25.070,MIA,@,BUF,W 15-10,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,2,9,4.50,0,0,0,0.0,0,0
22,2010,2010-09-19,2,25.077,MIA,@,MIN,W 14-10,,0,0,,0,0,0,0,,0,0.0%,,2,37,18.50,0,0,0,,0,0,0,0.0,0,0
23,2010,2010-11-21,10,25.140,CLE,@,JAX,L 20-24,,0,0,,0,0,0,0,,0,0.0%,,3,45,15.00,0,0,0,,0,0,0,0.0,0,0
24,2010,2010-11-28,11,25.147,CLE,,CAR,W 24-23,,0,0,,0,0,0,0,,0,0.0%,,2,47,23.50,0,0,0,,0,0,0,0.0,0,0
