ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2002,2002-10-20,7,23.130,CLE,,HOU,W 34-17,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
2,2002,2002-10-27,8,23.137,CLE,@,NYJ,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,1,18,18.00,0,0,0
3,2002,2002-11-03,9,23.144,CLE,,PIT,L 20-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,1,14,14.00,0,0,0
4,2002,2002-11-17,10,23.158,CLE,@,CIN,W 27-20,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,26,26.00,0,0,0
5,2002,2002-11-24,11,23.165,CLE,@,NOR,W 24-15,,0,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
6,2002,2002-12-01,12,23.172,CLE,,CAR,L 6-13,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
7,2002,2002-12-08,13,23.179,CLE,@,JAX,W 21-20,,0,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
8,2003,2003-11-23,11,24.164,CLE,,PIT,L 6-13,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
9,2003,2003-11-30,12,24.171,CLE,@,SEA,L 7-34,,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
10,2003,2003-12-14,14,24.185,CLE,@,DEN,L 20-23,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
11,2003,2003-12-21,15,24.192,CLE,,BAL,L 0-35,,2,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
12,2003,2003-12-28,16,24.199,CLE,@,CIN,W 22-14,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
13,2004,2004-10-24,7,25.134,CLE,,PHI,L 31-34,,4,3,45,15.00,0,75.0%,11.25,0,0,,0,0,0,,0,0,0,,0,,,,1,18,18.00,0,0,0
14,2004,2004-11-07,8,25.148,CLE,@,BAL,L 13-27,,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
15,2004,2004-11-14,9,25.155,CLE,,PIT,L 10-24,,6,5,61,12.20,0,83.3%,10.17,0,0,,0,0,0,,0,0,0,,0,,,,1,16,16.00,0,0,0
16,2004,2004-11-21,10,25.162,CLE,,NYJ,L 7-10,,2,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
17,2004,2004-11-28,11,25.169,CLE,@,CIN,L 48-58,,2,2,30,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
18,2004,2004-12-05,12,25.176,CLE,,NWE,L 15-42,,1,0,0,,0,0.0%,0.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
19,2004,2004-12-12,13,25.183,CLE,@,BUF,L 7-37,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,1,22,22.00,0,0,0
