ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-05,1,23.202,WAS,,DAL,L 30-31,,,,,,,,,,0,0,,0,,,,,,
2,1983,1983-09-11,2,23.208,WAS,@,PHI,W 23-13,,,,,,,,,,0,0,,0,,,,,,
3,1983,1983-09-18,3,23.215,WAS,,KAN,W 27-12,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,7,0
4,1983,1983-09-25,4,23.222,WAS,@,SEA,W 27-17,,,,,,,,,,0,0,,0,,,,,,
5,1983,1983-10-02,5,23.229,WAS,,RAI,W 37-35,,,,,,,,,,0,0,,0,,,,,,
6,1983,1983-10-09,6,23.236,WAS,@,STL,W 38-14,,,,,,,,,,0,0,,0,,,,,,
7,1983,1983-10-17,7,23.244,WAS,@,GNB,L 47-48,,,,,,,,,,0,0,,0,,,,,,
8,1983,1983-10-23,8,23.250,WAS,,DET,W 38-17,,0,0,,0,0,0,,0,4,29,7.25,0,0,0,0.0,0,0,0
9,1983,1983-10-31,9,23.258,WAS,@,SDG,W 27-24,,,,,,,,,,0,0,,0,,,,,,
10,1983,1983-11-06,10,23.264,WAS,,STL,W 45-7,,,,,,,,,,0,0,,0,,,,,,
11,1983,1983-11-13,11,23.271,WAS,@,NYG,W 33-17,,,,,,,,,,0,0,,0,,,,,,
12,1983,1983-11-20,12,23.278,WAS,@,RAM,W 42-20,,,,,,,,,,0,0,,0,,,,,,
13,1983,1983-11-27,13,23.285,WAS,,PHI,W 28-24,,,,,,,,,,0,0,,0,,,,,,
14,1983,1983-12-04,14,23.292,WAS,,ATL,W 37-21,,,,,,,,,,0,0,,0,,,,,,
15,1983,1983-12-11,15,23.299,WAS,@,DAL,W 31-10,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
16,1983,1983-12-17,16,23.305,WAS,,NYG,W 31-22,,,,,,,,,,0,0,,0,,,,,,
17,1984,1984-09-02,1,24.200,WAS,,MIA,L 17-35,,,,,,,,,,0,0,,0,,,,,,
18,1984,1984-09-10,2,24.208,WAS,@,SFO,L 31-37,,,,,,,,,,0,0,,0,,,,,,
19,1984,1984-09-16,3,24.214,WAS,,NYG,W 30-14,,,,,,,,,,0,0,,0,,,,,,
20,1984,1984-09-23,4,24.221,WAS,@,NWE,W 26-10,,,,,,,,,,0,0,,0,,,,,,
21,1984,1984-09-30,5,24.228,WAS,,PHI,W 20-0,,,,,,,,,,0,0,,0,,,,,,
22,1984,1984-10-07,6,24.235,WAS,@,IND,W 35-7,,,,,,,,,,0,0,,0,,,,,,
23,1984,1984-10-14,7,24.242,WAS,,DAL,W 34-14,,,,,,,,,,0,0,,0,,,,,,
24,1984,1984-10-21,8,24.249,WAS,@,STL,L 24-26,,,,,,,,,,0,0,,0,,,,,,
25,1984,1984-10-28,9,24.256,WAS,@,NYG,L 13-37,,,,,,,,,,0,0,,0,,,,,,
26,1984,1984-11-05,10,24.264,WAS,,ATL,W 27-14,,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,1,50,0
27,1984,1984-11-11,11,24.270,WAS,,DET,W 28-14,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
28,1984,1984-11-18,12,24.277,WAS,@,PHI,L 10-16,,0,0,,0,0,0,,0,1,13,13.00,0,0,0,0.0,0,0,0
29,1984,1984-11-25,13,24.284,WAS,,BUF,W 41-14,,,,,,,,,,0,0,,0,,,,,,
30,1984,1984-11-29,14,24.288,WAS,@,MIN,W 31-17,,,,,,,,,,0,0,,0,,,,,,
31,1984,1984-12-09,15,24.298,WAS,@,DAL,W 30-28,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,2,41,1
32,1984,1984-12-16,16,24.305,WAS,,STL,W 29-27,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
33,1985,1985-09-09,1,25.206,WAS,@,DAL,L 14-44,,0,0,,0,,,,,0,0,,0,,,,,,
34,1985,1985-09-15,2,25.212,WAS,,HOU,W 16-13,,0,0,,0,,,,,0,0,,0,,,,,,
35,1985,1985-09-22,3,25.219,WAS,,PHI,L 6-19,,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0.0,0,0,0
36,1985,1985-09-29,4,25.226,WAS,@,CHI,L 10-45,,0,0,,0,,,,,0,0,,0,,,,,,
37,1985,1985-10-07,5,25.234,WAS,,STL,W 27-10,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
38,1985,1985-10-13,6,25.240,WAS,,DET,W 24-3,,0,0,,0,,,,,0,0,,0,,,,,,
39,1985,1985-10-20,7,25.247,WAS,@,NYG,L 3-17,,0,0,,0,,,,,0,0,,0,,,,,,
40,1985,1985-10-27,8,25.254,WAS,@,CLE,W 14-7,,0,0,,0,,,,,0,0,,0,,,,,,
41,1985,1985-11-03,9,25.261,WAS,@,ATL,W 44-10,,0,0,,0,,,,,0,0,,0,,,,,,
42,1985,1985-11-10,10,25.268,WAS,,DAL,L 7-13,,0,0,,0,,,,,0,0,,0,,,,,,
43,1985,1985-11-18,11,25.276,WAS,,NYG,W 23-21,,0,0,,0,,,,,0,0,,0,,,,,,
44,1985,1985-11-24,12,25.282,WAS,@,PIT,W 30-23,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
45,1985,1985-12-01,13,25.289,WAS,,SFO,L 8-35,,0,0,,0,,,,,0,0,,0,,,,,,
46,1985,1985-12-08,14,25.296,WAS,@,PHI,W 17-12,,0,0,,0,0,0,,0,4,39,9.75,0,0,0,0.0,0,0,0
47,1985,1985-12-15,15,25.303,WAS,,CIN,W 27-24,,0,0,,0,0,0,,0,4,99,24.75,0,0,0,0.0,0,0,0
48,1985,1985-12-21,16,25.309,WAS,@,STL,W 27-16,,1,6,6.00,0,0,0,,0,6,64,10.67,0,0,0,0.0,0,0,0
49,1986,1986-09-07,1,26.204,WAS,,PHI,W 41-14,,0,0,,0,0,0,,0,3,52,17.33,0,0,0,0.0,1,7,0
50,1986,1986-09-14,2,26.211,WAS,,RAI,W 10-6,,0,0,,0,0,0,,0,3,15,5.00,0,0,0,0.0,1,0,0
51,1986,1986-09-21,3,26.218,WAS,@,SDG,W 30-27,,0,0,,0,0,0,,0,2,28,14.00,0,0,0,0.0,0,0,0
52,1986,1986-09-28,4,26.225,WAS,,SEA,W 19-14,,0,0,,0,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0
53,1986,1986-10-05,5,26.232,WAS,@,NOR,W 14-6,,,,,,,,,,0,0,,0,,,,,,
54,1986,1986-10-12,6,26.239,WAS,@,DAL,L 6-30,,,,,,,,,,0,0,,0,,,,,,
55,1986,1986-10-19,7,26.246,WAS,,STL,W 28-21,,,,,,,,,,0,0,,0,,,,,,
56,1986,1986-10-27,8,26.254,WAS,@,NYG,L 20-27,,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0.0,0,0,0
57,1986,1986-11-02,9,26.260,WAS,,MIN,W 44-38,,,,,,,,,,0,0,,0,,,,,,
58,1986,1986-11-09,10,26.267,WAS,@,GNB,W 16-7,,,,,,,,,,0,0,,0,,,,,,
59,1986,1986-11-17,11,26.275,WAS,,SFO,W 14-6,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
60,1986,1986-11-23,12,26.281,WAS,,DAL,W 41-14,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,2,0
61,1986,1986-11-30,13,26.288,WAS,@,STL,W 20-17,,,,,,,,,,0,0,,0,,,,,,
