ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2002,2002-11-28,12,23.055,DAL,,WAS,W 27-20,,0,0,,0,0,0,,0,0,0,,,,,,3,61,20.33,0,0,0,,0,0,0
2,2002,2002-12-08,13,23.065,DAL,,SFO,L 27-31,,0,0,,0,0,0,,0,0,0,,,,,,6,185,30.83,1,0,0,,0,1,6
3,2002,2002-12-15,14,23.072,DAL,@,NYG,L 7-37,,0,0,,0,0,0,,0,0,0,,,,,,8,191,23.88,0,0,0,,0,0,0
4,2002,2002-12-21,15,23.078,DAL,,PHI,L 3-27,,0,0,,0,0,0,,0,0,0,,,,,,6,105,17.50,0,0,0,,0,0,0
5,2002,2002-12-29,16,23.086,DAL,@,WAS,L 14-20,,0,0,,0,0,0,,0,0,0,,,,,,4,60,15.00,0,0,0,,0,0,0
6,2003,2003-09-07,1,23.338,ATL,@,DAL,W 27-13,,,,,,,,,,,,,0,,,,,,,,,,,,,
7,2003,2003-09-14,2,23.345,ATL,,WAS,L 31-33,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,6.00,0,0,0
8,2003,2003-09-21,3,23.352,ATL,,TAM,L 10-31,,3,6,2.00,1,0,0,,0,0,0,,0,,,,1,6,6.00,0,0,0,,0,1,6
9,2003,2003-09-28,4,23.359,ATL,@,CAR,L 3-23,,3,12,4.00,0,0,0,,0,0,0,,0,,,,2,51,25.50,0,0,0,,0,0,0
10,2003,2003-10-05,5,24.001,ATL,,MIN,L 26-39,,1,0,0.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,60,20.00,0,0,0,,0,0,0
11,2003,2003-10-13,6,24.009,ATL,@,STL,L 0-36,,0,0,,0,0,0,,0,0,,,0,5,,,,,,,,,,,0,
12,2003,2003-10-19,7,24.015,ATL,,NOR,L 17-45,,0,0,,0,0,0,,0,0,0,,0,,,,1,19,19.00,0,0,0,,0,0,0
13,2003,2003-11-16,10,24.043,ATL,@,NOR,L 20-23,,,,,,,,,,,,,0,,,,,,,,,,,,,
14,2003,2003-12-28,16,24.085,ATL,,JAX,W 21-14,,1,3,3.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
