ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1990,1990-09-09,1,24.253,HOU,@,ATL,L 27-47,,3,28,9.33,1,,,0,0,,0,1,6
2,1990,1990-09-16,2,24.260,HOU,@,PIT,L 9-20,,0,0,,0,,,0,0,,0,0,
3,1990,1990-09-30,4,24.274,HOU,@,SDG,W 17-7,,2,36,18.00,0,,,0,0,,0,0,0
4,1990,1990-10-07,5,24.281,HOU,,SFO,L 21-24,,0,0,,0,,,0,0,,0,0,
5,1990,1990-10-14,6,24.288,HOU,,CIN,W 48-17,,2,45,22.50,1,,,0,0,,0,1,6
6,1990,1990-10-21,7,24.295,HOU,,NOR,W 23-10,,2,23,11.50,0,,,0,0,,0,0,0
7,1990,1990-10-28,8,24.302,HOU,,NYJ,L 12-17,,0,0,,0,,,0,0,,0,0,
8,1990,1990-11-04,9,24.309,HOU,@,RAM,L 13-17,,2,48,24.00,0,,,0,0,,0,0,0
9,1990,1990-11-18,10,24.323,HOU,@,CLE,W 35-23,,1,23,23.00,1,,,0,0,,0,1,6
10,1990,1990-11-26,11,24.331,HOU,,BUF,W 27-24,,0,0,,0,,,1,-2,-2.00,0,0,0
11,1990,1990-12-02,12,24.337,HOU,@,SEA,L 10-13,,3,29,9.67,0,,,0,0,,0,0,0
12,1990,1990-12-09,13,24.344,HOU,,CLE,W 58-14,,5,42,8.40,1,,,0,0,,0,1,6
13,1990,1990-12-16,14,24.351,HOU,@,KAN,W 27-10,,4,61,15.25,2,,,0,0,,0,2,12
14,1990,1990-12-23,15,24.358,HOU,@,CIN,L 20-40,,2,40,20.00,0,,,0,0,,0,0,0
15,1990,1990-12-30,16,25.000,HOU,,PIT,W 34-14,,4,34,8.50,0,,,0,0,,0,0,0
16,1991,1991-09-01,1,25.245,HOU,,RAI,W 47-17,,3,66,22.00,1,,,0,0,,0,1,6
17,1991,1991-09-08,2,25.252,HOU,@,CIN,W 30-7,,0,0,,0,,,,,,,,
18,1991,1991-09-16,3,25.260,HOU,,KAN,W 17-7,,1,8,8.00,0,,,0,0,,0,0,0
19,1991,1991-09-22,4,25.266,HOU,@,NWE,L 20-24,,1,4,4.00,0,,,0,0,,0,0,0
20,1991,1991-10-06,5,25.280,HOU,,DEN,W 42-14,,1,4,4.00,0,,,0,0,,0,0,0
21,1991,1991-10-13,6,25.287,HOU,@,NYJ,W 23-20,,1,8,8.00,0,,,0,0,,0,0,0
22,1991,1991-10-20,7,25.294,HOU,@,MIA,W 17-13,,1,3,3.00,0,,,0,0,,0,0,0
23,1991,1991-10-27,8,25.301,HOU,,CIN,W 35-3,,3,93,31.00,1,,,0,0,,0,1,6
24,1991,1991-11-03,9,25.308,HOU,@,WAS,L 13-16,,2,20,10.00,0,,,0,0,,0,0,0
25,1991,1991-11-10,10,25.315,HOU,,DAL,W 26-23,,3,26,8.67,0,,,0,0,,0,0,0
26,1991,1991-11-17,11,25.322,HOU,,CLE,W 28-24,,1,6,6.00,0,,,0,0,,0,0,0
27,1991,1991-11-24,12,25.329,HOU,@,PIT,L 14-26,,0,0,,0,,,,,,,,
28,1991,1991-12-02,13,25.337,HOU,,PHI,L 6-13,,1,5,5.00,0,,,0,0,,0,0,0
29,1991,1991-12-08,14,25.343,HOU,,PIT,W 31-6,,0,0,,0,,,,,,,,
30,1991,1991-12-15,15,25.350,HOU,@,CLE,W 17-14,,0,0,,0,,,,,,,,
31,1991,1991-12-21,16,25.356,HOU,@,NYG,L 20-24,,1,8,8.00,0,,,0,0,,0,0,0
32,1992,1992-09-06,1,26.251,ATL,,NYJ,W 20-17,6,3,17,5.67,0,50.0%,2.83,0,0,,0,0,0
33,1992,1992-09-13,2,26.258,ATL,@,WAS,L 17-24,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0
34,1992,1992-09-20,3,26.265,ATL,,NOR,L 7-10,6,3,23,7.67,0,50.0%,3.83,0,0,,0,0,0
35,1992,1992-09-27,4,26.272,ATL,@,CHI,L 31-41,8,3,41,13.67,1,37.5%,5.13,0,0,,0,1,6
36,1992,1992-10-04,5,26.279,ATL,,GNB,W 24-10,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0
37,1992,1992-11-15,10,26.321,ATL,,PHO,W 20-17,,0,0,,0,0.0%,,,,,,,
38,1992,1992-11-22,11,26.328,ATL,@,BUF,L 14-41,1,0,0,,0,0.0%,0.00,,,,,,
39,1992,1992-11-29,12,26.335,ATL,,NWE,W 34-0,1,0,0,,0,0.0%,0.00,,,,,,
40,1992,1992-12-13,14,26.349,ATL,@,TAM,W 35-7,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
41,1992,1992-12-21,15,26.357,ATL,,DAL,L 17-41,,0,0,,0,0.0%,,,,,,,
