ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-20,2,24.178,JAX,,ARI,L 17-31,,2,1,0.50,0,0,0,0,,0,0.0%,,3,56,18.67,0,,,0,0,0.0,0,0
2,2009,2009-09-27,3,24.185,JAX,@,HOU,W 31-24,,1,1,1.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,,0,0,0.0,0,0
3,2009,2009-10-04,4,24.192,JAX,,TEN,W 37-17,,9,53,5.89,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
4,2009,2009-10-11,5,24.199,JAX,@,SEA,L 0-41,,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
5,2009,2009-10-18,6,24.206,JAX,,STL,W 23-20,,1,2,2.00,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,,,0,0,0.0,0,0
6,2009,2009-11-01,7,24.220,JAX,@,TEN,L 13-30,,3,8,2.67,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,,0,0,0.0,0,0
7,2009,2009-11-08,8,24.227,JAX,,KAN,W 24-21,,2,29,14.50,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,,1,6,0.0,0,0
8,2009,2009-11-15,9,24.234,JAX,@,NYJ,W 24-22,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
9,2009,2009-11-22,10,24.241,JAX,,BUF,W 18-15,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
10,2009,2009-11-29,11,24.248,JAX,@,SFO,L 3-20,,2,11,5.50,0,2,2,25,12.50,0,100.0%,12.50,0,0,,0,,,0,0,0.0,0,0
11,2009,2009-12-06,12,24.255,JAX,,HOU,W 23-18,,2,14,7.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,,0,0,0.0,0,0
12,2009,2009-12-13,13,24.262,JAX,,MIA,L 10-14,,1,10,10.00,0,2,2,-2,-1.00,0,100.0%,-1.00,0,0,,0,,,0,0,0.0,0,0
13,2009,2009-12-17,14,24.266,JAX,,IND,L 31-35,,5,23,4.60,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,,0,0,0.0,0,0
14,2009,2009-12-27,15,24.276,JAX,@,NWE,L 7-35,,2,25,12.50,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,,,0,0,0.0,0,0
15,2009,2010-01-03,16,24.283,JAX,@,CLE,L 17-23,,3,9,3.00,0,4,3,31,10.33,0,75.0%,7.75,0,0,,0,,,0,0,0.0,0,0
16,2010,2010-09-12,1,25.170,JAX,,DEN,W 24-17,,4,26,6.50,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,,,0,0,0.0,0,0
17,2010,2010-09-19,2,25.177,JAX,@,SDG,L 13-38,*,9,38,4.22,0,5,4,50,12.50,0,80.0%,10.00,0,0,,0,,,0,0,0.0,0,0
18,2010,2010-09-26,3,25.184,JAX,,PHI,L 3-28,,3,19,6.33,0,2,1,14,14.00,0,50.0%,7.00,0,0,,0,,,0,0,0.0,0,0
19,2010,2010-10-03,4,25.191,JAX,,IND,W 31-28,,3,6,2.00,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,,0,0,0.0,0,0
20,2010,2010-10-18,6,25.206,JAX,,TEN,L 3-30,,,,,,,,,,,0.0%,,,,,,,,,,,,
21,2010,2010-11-14,9,25.233,JAX,,HOU,W 31-24,,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
22,2010,2010-11-21,10,25.240,JAX,,CLE,W 24-20,,2,3,1.50,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,,0,0,0.0,0,0
23,2010,2010-11-28,11,25.247,JAX,@,NYG,L 20-24,,7,53,7.57,1,0,0,0,,0,0.0%,,0,0,,0,,,1,6,0.0,0,0
24,2010,2010-12-05,12,25.254,JAX,@,TEN,W 17-6,,10,44,4.40,1,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,,1,6,0.0,0,0
25,2010,2010-12-12,13,25.261,JAX,,OAK,W 38-31,,5,109,21.80,1,1,0,0,,0,0.0%,0.00,0,0,,0,,,1,6,0.0,0,0
26,2010,2010-12-19,14,25.268,JAX,@,IND,L 24-34,,3,13,4.33,0,9,7,64,9.14,0,77.8%,7.11,0,0,,0,,,0,0,0.0,0,0
27,2010,2010-12-26,15,25.275,JAX,,WAS,L 17-20,*,15,32,2.13,0,4,4,29,7.25,0,100.0%,7.25,0,0,,0,,,0,0,0.0,0,0
28,2010,2011-01-02,16,25.282,JAX,@,HOU,L 17-34,*,22,108,4.91,1,7,4,34,8.50,0,57.1%,4.86,0,0,,0,,,1,6,0.0,0,0
29,2012,2012-09-09,1,27.167,JAX,@,MIN,L 23-26,*,8,31,3.88,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,,0,0,0.0,0,0
30,2012,2012-09-30,4,27.188,JAX,,CIN,L 10-27,,2,12,6.00,0,1,1,-2,-2.00,0,100.0%,-2.00,1,27,27.00,0,,,0,0,0.0,0,0
31,2012,2012-10-07,5,27.195,JAX,,CHI,L 3-41,,3,3,1.00,0,0,0,0,,0,0.0%,,3,65,21.67,0,,,0,0,0.0,0,0
32,2012,2012-10-21,6,27.209,JAX,@,OAK,L 23-26,,21,44,2.10,1,9,7,58,8.29,0,77.8%,6.44,0,0,,0,,,1,6,0.0,0,0
33,2012,2012-10-28,7,27.216,JAX,@,GNB,L 15-24,*,17,59,3.47,0,8,6,56,9.33,0,75.0%,7.00,0,0,,0,,,0,0,0.0,0,0
34,2012,2012-11-04,8,27.223,JAX,,DET,L 14-31,*,12,45,3.75,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,1,,0,2,0.0,0,0
35,2012,2012-11-08,9,27.227,JAX,,IND,L 10-27,*,11,27,2.45,0,1,0,0,,0,0.0%,0.00,0,0,,0,,,0,0,0.0,0,0
36,2012,2012-11-18,10,27.237,JAX,@,HOU,L 37-43,*,3,-1,-0.33,0,1,0,0,,0,0.0%,0.00,6,149,24.83,0,,,0,0,0.0,0,0
37,2012,2012-11-25,11,27.244,JAX,,TEN,W 24-19,,16,43,2.69,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,,1,6,0.0,0,0
38,2012,2012-12-02,12,27.251,JAX,@,BUF,L 18-34,*,8,20,2.50,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
39,2013,2013-09-08,1,28.166,OAK,@,IND,L 17-21,,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,1
40,2013,2013-09-15,2,28.173,OAK,,JAX,W 19-9,,4,32,8.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,,0,0,0.0,1,0
41,2013,2013-09-23,3,28.181,OAK,@,DEN,L 21-37,,0,0,,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,,0,0,0.0,1,0
42,2013,2013-09-29,4,28.187,OAK,,WAS,L 14-24,,14,45,3.21,0,8,8,71,8.88,0,100.0%,8.88,0,0,,0,,,0,0,0.0,0,0
43,2013,2013-10-06,5,28.194,OAK,,SDG,W 27-17,*,10,41,4.10,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
44,2013,2013-10-13,6,28.201,OAK,@,KAN,L 7-24,,4,12,3.00,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,,,0,0,0.0,0,0
45,2013,2013-10-27,7,28.215,OAK,,PIT,W 21-18,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
46,2013,2013-11-03,8,28.222,OAK,,PHI,L 20-49,,15,102,6.80,1,10,7,74,10.57,0,70.0%,7.40,0,0,,0,,,1,6,0.0,1,0
47,2013,2013-11-10,9,28.229,OAK,@,NYG,L 20-24,*,20,88,4.40,0,5,2,19,9.50,0,40.0%,3.80,0,0,,0,,,0,0,0.0,0,0
48,2013,2013-11-17,10,28.236,OAK,@,HOU,W 28-23,*,22,150,6.82,1,3,2,-2,-1.00,0,66.7%,-0.67,0,0,,0,,,1,6,0.0,0,0
49,2013,2013-11-24,11,28.243,OAK,,TEN,L 19-23,*,16,73,4.56,0,5,4,49,12.25,0,80.0%,9.80,0,0,,0,,,0,0,0.0,0,0
50,2013,2013-11-28,12,28.247,OAK,@,DAL,L 24-31,*,17,35,2.06,2,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,,2,12,0.0,1,0
51,2013,2013-12-15,14,28.264,OAK,,KAN,L 31-56,*,23,91,3.96,2,3,3,12,4.00,0,100.0%,4.00,0,0,,0,,,2,12,0.0,0,0
52,2013,2013-12-22,15,28.271,OAK,@,SDG,L 13-26,*,10,45,4.50,0,4,3,27,9.00,0,75.0%,6.75,0,0,,0,,,0,0,0.0,0,0
53,2013,2013-12-29,16,28.278,OAK,,DEN,L 14-34,*,4,9,2.25,0,3,2,8,4.00,0,66.7%,2.67,0,0,,0,,,0,0,0.0,0,0
54,2014,2014-09-08,1,29.166,NYG,@,DET,L 14-35,*,16,46,2.88,1,5,4,50,12.50,0,80.0%,10.00,0,0,,0,,,1,6,0.0,0,1
55,2014,2014-09-14,2,29.172,NYG,,ARI,L 14-25,*,18,64,3.56,0,4,4,45,11.25,0,100.0%,11.25,0,0,,0,,,0,0,0.0,0,0
56,2014,2014-09-21,3,29.179,NYG,,HOU,W 30-17,*,34,176,5.18,1,0,0,0,,0,0.0%,,0,0,,0,,,1,6,0.0,0,0
57,2014,2014-09-25,4,29.183,NYG,@,WAS,W 45-14,*,13,55,4.23,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,,,0,0,0.0,0,0
58,2014,2014-10-05,5,29.193,NYG,,ATL,W 30-20,*,10,55,5.50,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,,,0,0,0.0,0,0
59,2014,2014-11-16,10,29.235,NYG,,SFO,L 10-16,*,18,59,3.28,0,7,4,8,2.00,0,57.1%,1.14,0,0,,0,,,0,0,0.0,0,0
60,2014,2014-11-23,11,29.242,NYG,,DAL,L 28-31,*,19,52,2.74,0,10,8,68,8.50,0,80.0%,6.80,0,0,,0,,,0,0,0.0,0,0
61,2014,2014-11-30,12,29.249,NYG,@,JAX,L 24-25,*,26,91,3.50,2,5,3,3,1.00,0,60.0%,0.60,0,0,,0,,,2,12,0.0,0,0
62,2014,2014-12-07,13,29.256,NYG,@,TEN,W 36-7,,2,5,2.50,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,,,0,0,0.0,0,0
63,2014,2014-12-14,14,29.263,NYG,,WAS,W 24-13,*,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
64,2014,2014-12-28,16,29.277,NYG,,PHI,L 26-34,,10,33,3.30,0,5,3,21,7.00,0,60.0%,4.20,0,0,,0,,,0,0,0.0,0,0
65,2015,2015-09-13,1,30.171,NYG,@,DAL,L 26-27,*,13,52,4.00,1,1,0,0,,0,0.0%,0.00,0,0,,0,,,1,6,0.0,0,0
66,2015,2015-09-20,2,30.178,NYG,,ATL,L 20-24,*,9,12,1.33,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,,,0,0,0.0,0,0
67,2015,2015-09-24,3,30.182,NYG,,WAS,W 32-21,*,11,32,2.91,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,,1,0,2,0.0,0,0
68,2015,2015-10-04,4,30.192,NYG,@,BUF,W 24-10,*,9,38,4.22,0,2,2,54,27.00,1,100.0%,27.00,0,0,,0,,,1,6,0.0,0,0
69,2015,2015-10-11,5,30.199,NYG,,SFO,W 30-27,*,11,46,4.18,0,4,4,21,5.25,0,100.0%,5.25,0,0,,0,,,0,0,0.0,0,0
70,2015,2015-10-19,6,30.207,NYG,@,PHI,L 7-27,*,13,63,4.85,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,,,0,0,0.0,0,0
71,2015,2015-10-25,7,30.213,NYG,,DAL,W 27-20,*,5,19,3.80,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0
72,2015,2015-11-01,8,30.220,NYG,@,NOR,L 49-52,*,10,54,5.40,0,3,2,31,15.50,0,66.7%,10.33,0,0,,0,,,0,0,0.0,0,0
73,2015,2015-11-08,9,30.227,NYG,@,TAM,W 32-18,*,13,48,3.69,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,,,0,0,0.0,0,0
74,2015,2015-11-15,10,30.234,NYG,,NWE,L 26-27,*,11,39,3.55,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,,,0,0,0.0,0,0
75,2015,2015-11-29,11,30.248,NYG,@,WAS,L 14-20,*,6,14,2.33,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,,0,0,0.0,0,0
76,2015,2015-12-06,12,30.255,NYG,,NYJ,L 20-23,*,5,14,2.80,0,2,1,19,19.00,0,50.0%,9.50,0,0,,0,,,0,0,0.0,0,0
77,2015,2015-12-14,13,30.263,NYG,@,MIA,W 31-24,*,22,81,3.68,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,,,0,0,0.0,0,0
78,2015,2015-12-20,14,30.269,NYG,,CAR,L 35-38,*,16,107,6.69,1,3,1,0,0.00,0,33.3%,0.00,0,0,,0,,,1,6,0.0,0,0
79,2015,2015-12-27,15,30.276,NYG,@,MIN,L 17-49,*,14,74,5.29,0,3,2,62,31.00,0,66.7%,20.67,0,0,,0,,,0,0,0.0,0,0
80,2015,2016-01-03,16,30.283,NYG,,PHI,L 30-35,*,27,170,6.30,1,5,2,6,3.00,0,40.0%,1.20,0,0,,0,,,1,6,0.0,0,0
81,2016,2016-09-11,1,31.169,NYG,@,DAL,W 20-19,*,18,75,4.17,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,,0,0,0.0,0,0
82,2016,2016-09-18,2,31.176,NYG,,NOR,W 16-13,*,13,27,2.08,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,,0,0,0.0,0,0
83,2016,2016-10-16,6,31.204,NYG,,BAL,W 27-23,*,9,15,1.67,0,4,4,20,5.00,0,100.0%,5.00,0,0,,0,,,0,0,0.0,0,0
84,2016,2016-10-23,7,31.211,NYG,@,LAR,W 17-10,*,13,25,1.92,1,3,2,24,12.00,0,66.7%,8.00,0,0,,0,,,1,6,0.0,0,0
85,2016,2016-11-06,8,31.225,NYG,,PHI,W 28-23,*,11,26,2.36,0,3,3,13,4.33,0,100.0%,4.33,0,0,,0,,,0,0,0.0,0,0
86,2016,2016-11-14,9,31.233,NYG,,CIN,W 21-20,*,15,87,5.80,0,6,3,22,7.33,0,50.0%,3.67,0,0,,0,,,0,0,0.0,0,0
