ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,23.330,NYG,,WAS,L 10-13,0,0,,0,1,-6,-6.00,0,0,0,,0,0,0,,0,0,0,0,0,0
2,1974,1974-09-22,2,23.337,NYG,,NWE,L 20-28,1,5,5.00,0,0,0,,0,0,0,,0,2,-3,-1.50,0,0,0,0,0,0
3,1974,1974-09-29,3,23.344,NYG,@,DAL,W 14-6,,,,,,,,,,,,,,,,,,,,,
4,1974,1974-10-06,4,23.351,NYG,,ATL,L 7-14,1,13,13.00,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
5,1974,1974-10-13,5,23.358,NYG,@,PHI,L 7-35,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
6,1974,1974-10-20,6,24.000,NYG,@,WAS,L 3-24,0,0,,0,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0
7,1974,1974-10-27,7,24.007,NYG,,DAL,L 7-21,,,,,,,,,,,,,,,,,,,,,
8,1974,1974-11-03,8,24.014,NYG,@,KAN,W 33-27,2,35,17.50,0,0,0,,0,0,0,,0,2,68,34.00,0,0,0,0,0,0
9,1974,1974-11-10,9,24.021,NYG,,NYJ,L 20-26,,,,,,,,,,,,,,,,,,,,,
10,1974,1974-11-17,10,24.028,NYG,@,DET,L 19-20,,,,,,,,,,,,,,,,,,,,,
11,1974,1974-11-24,11,24.035,NYG,,STL,L 21-23,2,34,17.00,0,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0,0,0
12,1974,1974-12-01,12,24.042,NYG,@,CHI,L 13-16,0,0,,0,0,0,,0,1,27,27.00,0,1,0,0.00,0,0,0,0,0,0
13,1974,1974-12-08,13,24.049,NYG,,PHI,L 7-20,,,,,,,,,,,,,,,,,,,,,
14,1974,1974-12-15,14,24.056,NYG,@,STL,L 14-26,2,42,21.00,0,0,0,,0,0,0,,0,2,44,22.00,0,0,0,0,0,0
15,1975,1975-09-21,1,24.336,NYG,@,PHI,W 23-14,1,50,50.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
16,1975,1975-09-28,2,24.343,NYG,@,WAS,L 13-49,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
17,1975,1975-10-05,3,24.350,NYG,@,STL,L 14-26,6,83,13.83,0,1,14,14.00,0,0,0,,0,0,0,,0,0,0,0,0,0
18,1975,1975-10-12,4,24.357,NYG,,DAL,L 7-13,1,9,9.00,0,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,0,0,0
19,1975,1975-10-20,5,25.000,NYG,@,BUF,W 17-14,5,83,16.60,1,1,-17,-17.00,0,0,0,,0,0,0,,0,1,6,0,0,0
20,1975,1975-10-25,6,25.005,NYG,,STL,L 13-20,1,12,12.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
21,1975,1975-11-01,7,25.012,NYG,,SDG,W 35-24,2,52,26.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
22,1975,1975-11-09,8,25.020,NYG,,WAS,L 13-21,,,,,,,,,,,,,,,,,,,,,
23,1975,1975-11-16,9,25.027,NYG,,PHI,L 10-13,,,,,,,,,,,,,,,,,,,,,
24,1975,1975-11-23,10,25.034,NYG,@,GNB,L 14-40,2,72,36.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
25,1975,1975-11-30,11,25.041,NYG,@,DAL,L 3-14,2,39,19.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
26,1975,1975-12-07,12,25.048,NYG,,BAL,L 0-21,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
27,1975,1975-12-14,13,25.055,NYG,,NOR,W 28-14,1,45,45.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
28,1975,1975-12-21,14,25.062,NYG,@,SFO,W 26-23,3,46,15.33,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
29,1976,1976-09-12,1,25.328,NYG,@,WAS,L 17-19,1,63,63.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
30,1976,1976-09-19,2,25.335,NYG,@,PHI,L 7-20,,,,,,,,,,,,,,,,,,,,,
31,1976,1976-09-26,3,25.342,NYG,@,RAM,L 10-24,1,23,23.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
32,1976,1976-10-03,4,25.349,NYG,@,STL,L 21-27,,,,,,,,,,,,,,,,,,,,,
