ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-07,1,25.003,DAL,,ATL,L 13-27,*,,,,,,,,,,,,,,,,,,,,
2,2003,2003-09-15,2,25.011,DAL,@,NYG,W 35-32,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
3,2003,2003-09-28,3,25.024,DAL,@,NYJ,W 17-6,*,,,,,,,,,,,,,,,,,,,,
4,2003,2003-10-05,4,25.031,DAL,,ARI,W 24-7,*,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,,,0,0,0
5,2003,2003-10-12,5,25.038,DAL,,PHI,W 23-21,*,,,,,,,,,,,,,,,,,,,,
6,2003,2003-10-19,6,25.045,DAL,@,DET,W 38-7,*,,,,,,,,,,,,,,,,,,,,
7,2003,2003-10-26,7,25.052,DAL,@,TAM,L 0-16,*,,,,,,,,,,,,,,,,,,,,
8,2003,2003-11-02,8,25.059,DAL,,WAS,W 21-14,*,,,,,,,,,,,,,,,,,,,,
9,2003,2003-11-09,9,25.066,DAL,,BUF,W 10-6,*,,,,,,,,,,,,,,,,,,,,
10,2003,2003-11-16,10,25.073,DAL,@,NWE,L 0-12,*,,,,,,,,,,,,,,,,,,,,
11,2003,2003-11-23,11,25.080,DAL,,CAR,W 24-20,*,,,,,,,,,,,,,,,,,,,,
12,2003,2003-11-27,12,25.084,DAL,,MIA,L 21-40,*,,,,,,,,,,,,,,,,,,,,
13,2003,2003-12-07,13,25.094,DAL,@,PHI,L 10-36,*,,,,,,,,,,,,,,,,,,,,
14,2003,2003-12-14,14,25.101,DAL,@,WAS,W 27-0,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,3,23,0
15,2003,2003-12-21,15,25.108,DAL,,NYG,W 19-3,*,,,,,,,,,,,,,,,,,,,,
16,2003,2003-12-28,16,25.115,DAL,@,NOR,L 7-13,*,,,,,,,,,,,,,,,,,,,,
17,2004,2004-09-12,1,26.008,DAL,@,MIN,L 17-35,*,,,,,,,,,,,,,,,,,,,,
18,2004,2004-09-19,2,26.015,DAL,,CLE,W 19-12,*,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0.0,,,1,21,0
19,2004,2004-09-27,3,26.023,DAL,@,WAS,W 21-18,*,,,,,,,,,,,,,,,,,,,,
20,2004,2004-10-10,4,26.036,DAL,,NYG,L 10-26,*,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0.0,,,0,0,0
21,2004,2004-10-17,5,26.043,DAL,,PIT,L 20-24,*,,,,,,,,,,,,,,,,,,,,
22,2004,2004-10-24,6,26.050,DAL,@,GNB,L 20-41,*,,,,,,,,,,,,,,,,,,,,
