ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2008,2008-09-14,2,21.259,WAS,,NOR,W 29-24,,2,1,6,6.00,0,50.0%,3.00
2,2008,2008-10-05,5,21.280,WAS,@,PHI,W 23-17,,1,,,,,0.0%,
3,2008,2008-11-23,11,21.329,WAS,@,SEA,W 20-17,,4,2,12,6.00,0,50.0%,3.00
4,2008,2008-11-30,12,21.336,WAS,,NYG,L 7-23,,3,,,,,0.0%,
5,2008,2008-12-07,13,21.343,WAS,@,BAL,L 10-24,,1,,,,,0.0%,
6,2009,2009-09-13,1,22.257,WAS,@,NYG,L 17-23,*,1,1,6,6.00,0,100.0%,6.00
7,2009,2009-09-20,2,22.264,WAS,,STL,W 9-7,*,6,4,41,10.25,0,66.7%,6.83
8,2009,2009-09-27,3,22.271,WAS,@,DET,L 14-19,*,4,1,18,18.00,0,25.0%,4.50
9,2009,2009-10-04,4,22.278,WAS,,TAM,W 16-13,*,2,,,,,0.0%,
10,2009,2009-10-11,5,22.285,WAS,@,CAR,L 17-20,*,2,1,8,8.00,0,50.0%,4.00
11,2009,2009-10-18,6,22.292,WAS,,KAN,L 6-14,,1,,,,,0.0%,
12,2009,2009-10-26,7,22.300,WAS,,PHI,L 17-27,,,,,,,0.0%,
13,2009,2009-11-08,8,22.313,WAS,@,ATL,L 17-31,,2,1,4,4.00,0,50.0%,2.00
14,2009,2009-11-15,9,22.320,WAS,,DEN,W 27-17,*,1,1,18,18.00,0,100.0%,18.00
15,2009,2009-11-22,10,22.327,WAS,@,DAL,L 6-7,,2,1,36,36.00,0,50.0%,18.00
16,2009,2009-11-29,11,22.334,WAS,@,PHI,L 24-27,*,2,2,50,25.00,0,100.0%,25.00
17,2009,2009-12-06,12,22.341,WAS,,NOR,L 30-33,*,3,2,13,6.50,0,66.7%,4.33
18,2009,2009-12-13,13,22.348,WAS,@,OAK,W 34-13,,2,1,10,10.00,0,50.0%,5.00
19,2009,2009-12-21,14,22.356,WAS,,NYG,L 12-45,,1,1,9,9.00,0,100.0%,9.00
20,2009,2009-12-27,15,22.362,WAS,,DAL,L 0-17,*,6,4,25,6.25,0,66.7%,4.17
21,2009,2010-01-03,16,23.004,WAS,@,SDG,L 20-23,*,6,5,109,21.80,0,83.3%,18.17
