ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1956,1956-12-16,12,23.000,CLE,,CRD,L 7-24,1,27,27.00,1,,,,,,,
2,1960,1960-09-11,1,26.270,BUF,@,NYT,L 3-27,0,0,,0,1,39,39.00,0,1,0,0
3,1960,1960-09-23,3,26.282,BUF,@,BOS,W 13-0,0,0,,0,0,0,,0,1,3,0
4,1960,1960-10-30,7,26.319,BUF,,HOU,W 25-24,0,0,,0,0,0,,0,1,7,0
5,1960,1960-11-27,11,26.347,BUF,@,DEN,T 38-38,0,0,,0,0,0,,0,1,19,0
