ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,22.155,DAL,@,WAS,L 7-13,,2,37,18.50,0,0,0,,0,0.0,0,0
2,2010,2010-09-19,2,22.162,DAL,,CHI,L 20-27,,4,107,26.75,0,0,0,,0,0.0,0,0
3,2010,2010-09-26,3,22.169,DAL,@,HOU,W 27-13,,3,62,20.67,0,0,0,,0,0.0,0,0
4,2010,2010-10-10,4,22.183,DAL,,TEN,L 27-34,,4,91,22.75,0,0,0,,0,0.0,0,0
5,2010,2010-10-17,5,22.190,DAL,@,MIN,L 21-24,,4,71,17.75,0,0,0,,0,0.0,0,0
6,2010,2010-10-25,6,22.198,DAL,,NYG,L 35-41,,3,71,23.67,0,0,0,,0,0.0,0,0
7,2010,2010-10-31,7,22.204,DAL,,JAX,L 17-35,,5,104,20.80,0,0,0,,0,0.0,0,0
8,2011,2011-11-13,9,23.217,DAL,,BUF,W 44-7,,0,0,,0,2,4,2.00,0,0.0,0,0
9,2011,2011-11-20,10,23.224,DAL,@,WAS,W 27-24,,3,56,18.67,0,3,22,7.33,0,0.0,0,0
10,2011,2011-11-24,11,23.228,DAL,,MIA,W 20-19,,0,,,0,0,21,,0,0.0,0,0
11,2011,2011-12-11,13,23.245,JAX,,TAM,W 41-14,,,,,,,,,,,,
12,2011,2011-12-15,14,23.249,JAX,@,ATL,L 14-41,,0,0,,0,0,0,,0,0.0,3,4
13,2011,2011-12-24,15,23.258,JAX,@,TEN,L 17-23,*,0,0,,0,0,0,,0,0.0,7,1
14,2011,2012-01-01,16,23.266,JAX,,IND,W 19-13,*,0,0,,0,0,0,,0,0.0,2,2
15,2013,2013-12-29,16,25.263,DET,@,MIN,L 13-14,,,,,,,,,,,,
