ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
1,1993,1993-09-05,1,21.345,TAM,,KAN,L 3-27,,,,,,,,,
2,1993,1993-09-26,3,22.001,TAM,@,CHI,L 17-47,,,,,,,,,
3,1993,1993-10-03,4,22.008,TAM,,DET,W 27-10,,,,,,,,,
4,1993,1993-10-10,5,22.015,TAM,@,MIN,L 0-15,,,,,,,,,
5,1993,1993-10-24,6,22.029,TAM,,GNB,L 14-37,,,,,,,,,
6,1993,1993-10-31,7,22.036,TAM,@,ATL,W 31-24,,,,,,,,,
7,1993,1993-11-07,8,22.043,TAM,@,DET,L 0-23,,,,,,,,,
8,1993,1993-11-14,9,22.050,TAM,,SFO,L 21-45,,,,,,,,,
9,1993,1993-11-21,10,22.057,TAM,,MIN,W 23-10,,,,,,,,,
10,1993,1993-11-28,11,22.064,TAM,@,GNB,L 10-13,,,,,,,,,
11,1993,1993-12-05,12,22.071,TAM,,WAS,L 17-23,,,,,,,,,
12,1993,1993-12-12,13,22.078,TAM,,CHI,W 13-10,,,,,,,,,
13,1993,1993-12-19,14,22.085,TAM,@,RAI,L 20-27,,,,,,,,,
14,1993,1993-12-26,15,22.092,TAM,@,DEN,W 17-10,,,,,,,,,
15,1993,1994-01-02,16,22.099,TAM,,SDG,L 17-32,,,,,,,,,
16,1994,1994-09-04,1,22.344,TAM,@,CHI,L 9-21,,,,,,,,,
17,1994,1994-09-11,2,22.351,TAM,,IND,W 24-10,,,,,,,,,
18,1994,1994-09-18,3,22.358,TAM,,NOR,L 7-9,,,,,,,,,
19,1994,1994-09-25,4,23.000,TAM,@,GNB,L 3-30,,,,,,,,,
20,1994,1994-10-02,5,23.007,TAM,,DET,W 24-14,,,,,,,,,
21,1994,1994-10-09,6,23.014,TAM,@,ATL,L 13-34,,,,,,,,,
22,1994,1994-10-23,7,23.028,TAM,@,SFO,L 16-41,,,,,,,,,
23,1994,1994-10-30,8,23.035,TAM,,MIN,L 13-36,,,,,,,,,
24,1994,1994-11-06,9,23.042,TAM,,CHI,L 6-20,,,,,,,,,
25,1994,1994-11-13,10,23.049,TAM,@,DET,L 9-14,,,,,,,,,
26,1994,1994-11-20,11,23.056,TAM,@,SEA,L 21-22,,,,,,,,,
27,1994,1994-11-27,12,23.063,TAM,@,MIN,W 20-17,,,,,,,,,
28,1994,1994-12-04,13,23.070,TAM,,WAS,W 26-21,,,,,,,,,
29,1994,1994-12-11,14,23.077,TAM,,RAM,W 24-14,,,,,,,,,
30,1994,1994-12-18,15,23.084,TAM,@,WAS,W 17-14,,,,,,,,,
31,1994,1994-12-24,16,23.090,TAM,,GNB,L 19-34,,,,,,,,,
32,1995,1995-09-03,1,23.343,TAM,@,PHI,W 21-6,,,,,,,,,
33,1995,1995-09-10,2,23.350,TAM,@,CLE,L 6-22,,,,,,,,,
34,1995,1995-09-17,3,23.357,TAM,,CHI,L 6-25,,,,,,,,,
35,1995,1995-10-08,6,24.013,TAM,,CIN,W 19-16,,0,0,,0,0.0,1,3,0
36,1995,1995-10-15,7,24.020,TAM,,MIN,W 20-17,,0,0,,0,0.0,2,0,0
37,1995,1995-10-22,8,24.027,TAM,,ATL,L 21-24,,,,,,,,,
38,1995,1995-10-29,9,24.034,TAM,@,HOU,L 7-19,,,,,,,,,
39,1995,1995-11-12,10,24.048,TAM,@,DET,L 24-27,,,,,,,,,
40,1995,1995-12-10,14,24.076,TAM,,GNB,W 13-10,,,,,,,,,
41,1996,1996-09-01,1,24.342,TAM,,GNB,L 3-34,,0,0,,0,,,,
42,1996,1996-09-08,2,24.349,TAM,@,DET,L 6-21,,0,0,,0,,,,
43,1996,1996-09-15,3,24.356,TAM,@,DEN,L 23-27,,0,0,,0,,,,
44,1996,1996-09-22,4,24.363,TAM,,SEA,L 13-17,,1,40,40.00,0,0.0,0,0,0
45,1996,1996-09-29,5,25.004,TAM,,DET,L 0-27,,0,0,,0,,,,
46,1996,1996-10-13,6,25.018,TAM,,MIN,W 24-13,,0,0,,0,,,,
47,1996,1996-10-20,7,25.025,TAM,@,ARI,L 9-13,,0,0,,0,1.0,0,0,0
48,1996,1996-10-27,8,25.032,TAM,@,GNB,L 7-13,,0,0,,0,0.0,1,1,0
49,1996,1996-11-03,9,25.039,TAM,@,CHI,L 10-13,,0,0,,0,,,,
50,1996,1996-11-10,10,25.046,TAM,,OAK,W 20-17,,0,0,,0,,,,
51,1996,1996-11-17,11,25.053,TAM,@,SDG,W 25-17,,0,0,,0,0.0,1,25,0
52,1996,1996-11-24,12,25.060,TAM,,NOR,W 13-7,,0,0,,0,0.0,1,0,0
53,1996,1996-12-01,13,25.067,TAM,@,CAR,L 0-24,,0,0,,0,,,,
54,1996,1996-12-08,14,25.074,TAM,,WAS,W 24-10,,0,0,,0,,,,
55,1996,1996-12-15,15,25.081,TAM,@,MIN,L 10-21,,0,0,,0,,,,
56,1996,1996-12-22,16,25.088,TAM,,CHI,W 34-19,,0,0,,0,,,,
57,1997,1997-08-31,1,25.340,TAM,,SFO,W 13-6,,,,,,,,,
58,1997,1997-09-07,2,25.347,TAM,@,DET,W 24-17,,,,,,,,,
59,1997,1997-09-14,3,25.354,TAM,@,MIN,W 28-14,,,,,,,,,
60,1997,1997-09-21,4,25.361,TAM,,MIA,W 31-21,,,,,,,,,
61,1997,1997-09-28,5,26.003,TAM,,ARI,W 19-18,,0,0,,0,0.0,1,0,0
62,1997,1997-10-05,6,26.010,TAM,@,GNB,L 16-21,,,,,,,,,
63,1997,1997-10-12,7,26.017,TAM,,DET,L 9-27,,,,,,,,,
64,1997,1997-10-26,8,26.031,TAM,,MIN,L 6-10,,,,,,,,,
65,1997,1997-11-02,9,26.038,TAM,@,IND,W 31-28,,,,,,,,,
66,1997,1997-11-09,10,26.045,TAM,@,ATL,W 31-10,,,,,,,,,
67,1997,1997-11-16,11,26.052,TAM,,NWE,W 27-7,,,,,,,,,
68,1997,1997-11-23,12,26.059,TAM,@,CHI,L 7-13,,,,,,,,,
69,1997,1997-11-30,13,26.066,TAM,@,NYG,W 20-8,,,,,,,,,
70,1997,1997-12-07,14,26.073,TAM,,GNB,L 6-17,,0,0,,0,0.0,1,28,0
71,1997,1997-12-14,15,26.080,TAM,@,NYJ,L 0-31,,,,,,,,,
72,1997,1997-12-21,16,26.087,TAM,,CHI,W 31-15,,,,,,,,,
73,1998,1998-09-06,1,26.346,TAM,@,MIN,L 7-31,,,,,,,,,
74,1998,1998-09-13,2,26.353,TAM,@,GNB,L 15-23,,,,,,,,,
75,1998,1998-09-20,3,26.360,TAM,,CHI,W 27-15,,,,,,,,,
76,1998,1998-09-28,4,27.003,TAM,@,DET,L 6-27,,,,,,,,,
77,1998,1998-10-04,5,27.009,TAM,,NYG,W 20-3,,,,,,,,,
78,1998,1998-10-18,6,27.023,TAM,,CAR,W 16-13,,,,,,,,,
79,1998,1998-10-25,7,27.030,TAM,@,NOR,L 3-9,,,,,,,,,
80,1998,1998-11-01,8,27.037,TAM,,MIN,W 27-24,,,,,,,,,
81,1998,1998-11-15,10,27.051,TAM,@,JAX,L 24-29,,,,,,,,,
82,1998,1998-11-22,11,27.058,TAM,,DET,L 25-28,,,,,,,,,
83,1998,1998-11-29,12,27.065,TAM,@,CHI,W 31-17,,,,,,,,,
84,1998,1998-12-07,13,27.073,TAM,,GNB,W 24-22,,,,,,,,,
85,1998,1998-12-13,14,27.079,TAM,,PIT,W 16-3,,0,0,,0,0.0,2,29,0
86,1998,1998-12-19,15,27.085,TAM,@,WAS,L 16-20,,0,0,,0,2.0,0,0,0
87,1998,1998-12-27,16,27.093,TAM,@,CIN,W 35-0,,,,,,,,,
88,1999,1999-09-12,1,27.352,TAM,,NYG,L 13-17,*,,,,,,,,
89,1999,1999-09-19,2,27.359,TAM,@,PHI,W 19-5,*,0,0,,0,0.0,1,4,0
90,1999,1999-09-26,3,28.001,TAM,,DEN,W 13-10,*,0,0,,0,0.5,0,0,0
91,1999,1999-10-03,4,28.008,TAM,@,MIN,L 14-21,*,,,,,,,,
92,1999,1999-10-10,5,28.015,TAM,@,GNB,L 23-26,*,,,,,,,,
93,1999,1999-10-24,6,28.029,TAM,,CHI,W 6-3,*,,,,,,,,
94,1999,1999-10-31,7,28.036,TAM,@,DET,L 3-20,*,,,,,,,,
95,1999,1999-11-07,8,28.043,TAM,@,NOR,W 31-16,*,,,,,,,,
96,1999,1999-11-14,9,28.050,TAM,,KAN,W 17-10,*,,,,,,,,
97,1999,1999-11-21,10,28.057,TAM,,ATL,W 19-10,*,,,,,,,,
98,1999,1999-11-28,11,28.064,TAM,@,SEA,W 16-3,*,,,,,,,,
99,1999,1999-12-06,12,28.072,TAM,,MIN,W 24-17,*,,,,,,,,
100,1999,1999-12-12,13,28.078,TAM,,DET,W 23-16,*,0,0,,0,0.0,1,28,0
101,1999,1999-12-19,14,28.085,TAM,@,OAK,L 0-45,*,,,,,,,,
102,1999,1999-12-26,15,28.092,TAM,,GNB,W 29-10,*,,,,,,,,
103,1999,2000-01-02,16,28.099,TAM,@,CHI,W 20-6,*,,,,,,,,
104,2000,2000-09-03,1,28.344,TAM,@,NWE,W 21-16,*,,,,,,,,
105,2000,2000-09-10,2,28.351,TAM,,CHI,W 41-0,,,,,,,,,
106,2000,2000-09-17,3,28.358,TAM,@,DET,W 31-10,,0,0,,0,0.0,1,36,0
107,2000,2000-09-24,4,28.365,TAM,,NYJ,L 17-21,*,,,,,,,,
108,2000,2000-10-01,5,29.006,TAM,@,WAS,L 17-20,*,,,,,,,,
109,2000,2000-10-09,6,29.014,TAM,@,MIN,L 23-30,,,,,,,,,
110,2000,2000-10-19,7,29.024,TAM,,DET,L 14-28,*,,,,,,,,
111,2000,2000-10-29,8,29.034,TAM,,MIN,W 41-13,,,,,,,,,
112,2000,2000-11-05,9,29.041,TAM,@,ATL,W 27-14,*,0,0,,0,1.0,0,0,0
113,2000,2000-11-12,10,29.048,TAM,,GNB,W 20-15,,,,,,,,,
114,2000,2000-11-19,11,29.055,TAM,@,CHI,L 10-13,,,,,,,,,
115,2000,2000-11-26,12,29.062,TAM,,BUF,W 31-17,*,,,,,,,,
116,2000,2000-12-03,13,29.069,TAM,,DAL,W 27-7,*,,,,,,,,
117,2000,2000-12-10,14,29.076,TAM,@,MIA,W 16-13,,,,,,,,,
118,2000,2000-12-18,15,29.084,TAM,,STL,W 38-35,,0,0,,0,0.0,1,2,0
