ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-09,1,26.167,BOS,,DEN,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,1,1,100.0,1,1,100.0,0,4,0,0,0
2,1960,1960-09-17,2,26.175,BOS,@,NYT,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,4,4,100.0,,,,0,4,,,
3,1960,1960-09-23,3,26.181,BOS,,BUF,L 0-13,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,
4,1960,1960-10-08,4,26.196,BOS,@,LAC,W 35-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,0
5,1960,1960-10-16,5,26.204,BOS,@,OAK,L 14-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,0.0,,1,0.0,0,0,3,41,0
6,1960,1960-10-23,6,26.211,BOS,@,DEN,L 24-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,0
7,1960,1960-10-28,7,26.216,BOS,,LAC,L 16-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,2,0.0,0,2,1,27,0
8,1960,1960-11-04,8,26.223,BOS,,OAK,W 34-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,2,4,50.0,0,10,0,0,0
9,1960,1960-11-11,9,26.230,BOS,,NYT,W 38-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,1,4,25.0,0,8,0,0,0
10,1960,1960-11-18,10,26.237,BOS,,DTX,W 42-14,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,4,4,100.0,,,,0,4,,,
