ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-19,2,22.286,HOU,@,DET,L 16-28,,,,,,,
2,2004,2004-09-26,3,22.293,HOU,@,KAN,W 24-21,,,,,,,
3,2004,2004-10-03,4,22.300,HOU,,OAK,W 30-17,,,,,,,
4,2004,2004-10-10,5,22.307,HOU,,MIN,L 28-34,,,,,,,
5,2004,2004-10-17,6,22.314,HOU,@,TEN,W 20-10,,,,,,,
6,2004,2004-10-31,7,22.328,HOU,,JAX,W 20-6,,,,,,,
7,2004,2004-11-07,8,22.335,HOU,@,DEN,L 13-31,,,,,,,
8,2004,2004-11-14,9,22.342,HOU,@,IND,L 14-49,,,,,,,
9,2004,2004-11-21,10,22.349,HOU,,GNB,L 13-16,,,,,,,
10,2004,2004-11-28,11,22.356,HOU,,TEN,W 31-21,,,,,,,
11,2004,2004-12-05,12,22.363,HOU,@,NYJ,L 7-29,,,,,,,
12,2004,2004-12-12,13,23.004,HOU,,IND,L 14-23,,,,,,,
13,2004,2004-12-19,14,23.011,HOU,@,CHI,W 24-5,,,,,,,
14,2004,2004-12-26,15,23.018,HOU,@,JAX,W 21-0,,,,,,,
15,2004,2005-01-02,16,23.025,HOU,,CLE,L 14-22,,,,,,,
16,2005,2005-09-11,1,23.277,HOU,@,BUF,L 7-22,,,,,,,
17,2005,2005-09-18,2,23.284,HOU,,PIT,L 7-27,,,,,,,
18,2005,2005-10-02,3,23.298,HOU,@,CIN,L 10-16,,,,,,,
19,2005,2005-10-09,4,23.305,HOU,,TEN,L 20-34,,,,,,,
20,2005,2005-10-16,5,23.312,HOU,@,SEA,L 10-42,,,0,0,1.0,,
21,2005,2005-10-23,6,23.319,HOU,,IND,L 20-38,,,,,,,
22,2005,2005-10-30,7,23.326,HOU,,CLE,W 19-16,,,,,,,
23,2005,2005-11-06,8,23.333,HOU,@,JAX,L 14-21,,,,,,,
24,2005,2005-11-13,9,23.340,HOU,@,IND,L 17-31,,,,,,,
25,2005,2005-11-20,10,23.347,HOU,,KAN,L 17-45,,,,,,,
26,2005,2005-11-27,11,23.354,HOU,,STL,L 27-33,,,,,,,
27,2005,2005-12-04,12,23.361,HOU,@,BAL,L 15-16,,,,,,,
28,2005,2005-12-11,13,24.003,HOU,@,TEN,L 10-13,,,,,,,
29,2005,2005-12-18,14,24.010,HOU,,ARI,W 30-19,,,,,,,
30,2005,2005-12-24,15,24.016,HOU,,JAX,L 20-38,,,,,,,
31,2005,2006-01-01,16,24.024,HOU,@,SFO,L 17-20,,,,,,,
32,2006,2006-09-10,1,24.276,HOU,,PHI,L 10-24,,,,,,,
33,2006,2006-09-17,2,24.283,HOU,@,IND,L 24-43,,,,,,,
34,2006,2006-09-24,3,24.290,HOU,,WAS,L 15-31,,,,,,,
35,2006,2006-10-15,5,24.311,HOU,@,DAL,L 6-34,,,,,,,
36,2006,2006-10-22,6,24.318,HOU,,JAX,W 27-7,,,,,,,
37,2006,2006-11-12,9,24.339,HOU,@,JAX,W 13-10,,,,,,,
38,2006,2006-11-19,10,24.346,HOU,,BUF,L 21-24,,,,,,,
39,2006,2006-11-26,11,24.353,HOU,@,NYJ,L 11-26,,,,,,,
40,2006,2006-12-03,12,24.360,HOU,@,OAK,W 23-14,,,,,,,
41,2006,2006-12-10,13,25.002,HOU,,TEN,L 20-26,,,,,,,
42,2006,2006-12-17,14,25.009,HOU,@,NWE,L 7-40,,,,,,,
43,2006,2006-12-24,15,25.016,HOU,,IND,W 27-24,,,,,,,
44,2006,2006-12-31,16,25.023,HOU,,CLE,W 14-6,,,,,,,
45,2007,2007-09-09,1,25.275,HOU,,KAN,W 20-3,,,,,,,
46,2007,2007-09-16,2,25.282,HOU,@,CAR,W 34-21,,,,,,,
47,2007,2007-09-23,3,25.289,HOU,,IND,L 24-30,,,,,,,
48,2007,2007-09-30,4,25.296,HOU,@,ATL,L 16-26,,,,,,,
49,2007,2007-10-07,5,25.303,HOU,,MIA,W 22-19,,,,,,,
50,2007,2007-10-14,6,25.310,HOU,@,JAX,L 17-37,,,,,,,
51,2007,2007-10-21,7,25.317,HOU,,TEN,L 36-38,,,,,,,
52,2007,2007-10-28,8,25.324,HOU,@,SDG,L 10-35,,,,,,,
53,2007,2007-11-04,9,25.331,HOU,@,OAK,W 24-17,,,,,,,
54,2007,2007-11-18,10,25.345,HOU,,NOR,W 23-10,,,,,,,
55,2007,2007-11-25,11,25.352,HOU,@,CLE,L 17-27,,,,,,,
56,2007,2007-12-02,12,25.359,HOU,@,TEN,L 20-28,*,,,,,,
57,2007,2007-12-09,13,26.001,HOU,,TAM,W 28-14,*,,,,,,
58,2007,2007-12-13,14,26.005,HOU,,DEN,W 31-13,*,,,,,,
59,2007,2007-12-23,15,26.015,HOU,@,IND,L 15-38,*,,,,,,
60,2007,2007-12-30,16,26.022,HOU,,JAX,W 42-28,*,,0,0,2.0,,
61,2008,2008-09-07,1,26.274,MIA,,NYJ,L 14-20,,,,,,,
62,2008,2008-09-14,2,26.281,MIA,@,ARI,L 10-31,,,0,0,0.0,1,0
63,2008,2008-09-21,3,26.288,MIA,@,NWE,W 38-13,,,0,0,0.0,2,1
64,2008,2008-10-05,4,26.302,MIA,,SDG,W 17-10,,,0,0,0.0,0,0
65,2008,2008-10-12,5,26.309,MIA,@,HOU,L 28-29,,,0,0,0.0,0,1
66,2008,2008-10-19,6,26.316,MIA,,BAL,L 13-27,,,0,0,0.0,0,0
67,2008,2008-10-26,7,26.323,MIA,,BUF,W 25-16,,1,0,2,0.0,2,1
68,2008,2008-11-02,8,26.330,MIA,@,DEN,W 26-17,,,0,0,0.0,0,0
69,2008,2008-11-09,9,26.337,MIA,,SEA,W 21-19,,,0,0,0.5,0,3
70,2008,2008-11-16,10,26.344,MIA,,OAK,W 17-15,,,,,,,
71,2008,2008-11-23,11,26.351,MIA,,NWE,L 28-48,*,,0,0,0.0,0,0
72,2008,2008-11-30,12,26.358,MIA,@,STL,W 16-12,,,0,0,0.0,0,0
73,2008,2008-12-07,13,26.365,MIA,@,BUF,W 16-3,,,0,0,1.0,3,0
74,2008,2008-12-14,14,27.006,MIA,,SFO,W 14-9,,,0,0,1.0,1,0
