ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1960,1960-09-09,1,21.353,DEN,@,BOS,W 13-10,8,66,8.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,1,76,76.00,1,1,2,50.0,,,,1,7
2,1960,1960-09-18,2,21.362,DEN,@,BUF,W 27-21,3,-2,-0.67,0,1,-5,-5.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,3,3,100.0,2,2,100.0,0,9
3,1960,1960-09-23,3,22.001,DEN,@,NYT,L 24-28,11,67,6.09,1,0,0,,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,1,12
4,1960,1960-10-02,4,22.010,DEN,,OAK,W 31-14,4,13,3.25,0,0,0,,0,1,1,100.00,46,0,0,118.7,0,0,46.00,46.00,0,0,,0,0,0,,0,4,4,100.0,1,3,33.3,0,7
5,1960,1960-10-16,5,22.024,DEN,,LAC,L 19-23,5,6,1.20,0,1,9,9.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,1,1,100.0,4,4,100.0,0,13
6,1960,1960-10-23,6,22.031,DEN,,BOS,W 31-24,7,20,2.86,0,2,15,7.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,4,4,100.0,1,2,50.0,0,7
7,1960,1960-10-30,7,22.038,DEN,,DTX,L 14-17,8,42,5.25,0,4,50,12.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,2,0.0,0,2
8,1960,1960-11-06,8,22.045,DEN,,HOU,L 25-45,4,-7,-1.75,0,3,34,11.33,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,1,2,50.0,2,4,50.0,0,7
9,1960,1960-11-13,9,22.052,DEN,@,DTX,L 7-34,6,5,0.83,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
10,1960,1960-11-20,10,22.059,DEN,@,HOU,L 10-20,4,23,5.75,0,2,3,1.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,1,1,100.0,1,1,100.0,0,4
11,1960,1960-11-27,11,22.066,DEN,,BUF,T 38-38,3,8,2.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,1,2,50.0,1,14
12,1960,1960-12-04,12,22.073,DEN,,NYT,L 27-30,8,45,5.63,1,3,28,9.33,1,0,0,,0,0,0,,0,0,,,1,30,30.00,0,1,3,3.00,0,3,4,75.0,,,,2,15
13,1960,1960-12-10,13,22.079,DEN,@,LAC,L 33-41,12,37,3.08,1,2,10,5.00,0,0,0,,0,0,0,,0,0,,,4,99,24.75,0,0,0,,0,3,3,100.0,4,5,80.0,1,21
14,1960,1960-12-17,14,22.086,DEN,@,OAK,L 10-48,0,0,,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,3,56,18.67,0,0,0,,0,1,1,100.0,1,1,100.0,0,4
15,1961,1961-09-10,1,22.353,DEN,@,BUF,W 22-10,5,7,1.40,0,1,20,20.00,0,2,2,100.00,102,2,0,158.3,0,0,51.00,71.00,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
16,1961,1961-09-16,2,22.359,DEN,@,BOS,L 17-45,4,10,2.50,0,4,82,20.50,1,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,0,0,,0,0,0,,0,,,,1,3,33.3,1,9
17,1961,1961-09-24,3,23.002,DEN,@,NYT,L 28-35,0,0,,0,1,-9,-9.00,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,2,57,28.50,0,0,0,,0,4,4,100.0,,1,0.0,0,4
18,1961,1961-10-01,4,23.009,DEN,@,OAK,L 19-33,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,1,1,100.0,0,3
19,1961,1961-10-08,5,23.016,DEN,,DTX,L 12-19,0,0,,0,2,7,3.50,0,1,2,50.00,18,0,0,81.2,0,0,9.00,9.00,0,0,,0,0,0,,0,,,,,2,0.0,0,0
20,1961,1961-10-15,6,23.023,DEN,,OAK,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0
21,1961,1961-10-22,7,23.030,DEN,,NYT,W 27-10,8,30,3.75,0,0,10,,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,12,,0,1,1,1.00,0,,,,,,,1,6
22,1961,1961-10-29,8,23.037,DEN,@,SDG,L 0-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1961,1961-11-05,9,23.044,DEN,,HOU,L 14-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1961,1961-11-12,10,23.051,DEN,,SDG,L 16-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1961,1961-11-19,11,23.058,DEN,,BUF,L 10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1961,1961-11-26,12,23.065,DEN,@,HOU,L 14-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1961,1961-12-03,13,23.072,DEN,,BOS,L 24-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
28,1961,1961-12-10,14,23.079,DEN,@,DTX,L 21-49,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,51,25.50,0,0,0,,0,3,3,100.0,,,,0,3
29,1962,1962-09-07,1,23.350,DEN,,SDG,W 30-21,9,25,2.78,1,2,31,15.50,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,1,13,13.00,0,0,0,,0,3,3,100.0,3,3,100.0,1,18
30,1962,1962-09-15,2,23.358,DEN,@,BUF,W 23-20,4,11,2.75,0,2,6,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,3,100.0,0,11
31,1962,1962-09-21,3,23.364,DEN,@,BOS,L 16-41,6,23,3.83,0,2,25,12.50,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,1,3,3.00,0,1,1,100.0,1,2,50.0,0,4
32,1962,1962-09-30,4,24.008,DEN,@,NYT,W 32-10,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,14,4.67,0,2,3,66.7,4,4,100.0,0,14
33,1962,1962-10-05,5,24.013,DEN,,OAK,W 44-7,6,91,15.17,2,0,0,,0,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,0,,0,0,0,,0,4,5,80.0,1,3,33.3,2,19
34,1962,1962-10-14,6,24.022,DEN,@,OAK,W 23-6,7,34,4.86,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,4,75.0,1,17
35,1962,1962-10-21,7,24.029,DEN,,HOU,W 20-10,7,48,6.86,0,5,67,13.40,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,4,50.0,0,7
36,1962,1962-10-28,8,24.036,DEN,,BUF,L 38-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,1,1,100.0,0,8
37,1962,1962-11-04,9,24.043,DEN,@,SDG,W 23-20,6,18,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,,,0,3
38,1962,1962-11-11,10,24.050,DEN,,BOS,L 29-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,5,60.0,0,11
39,1962,1962-11-18,11,24.057,DEN,,DTX,L 3-24,0,0,,0,1,-8,-8.00,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,,,,1,2,50.0,0,3
40,1962,1962-11-22,12,24.061,DEN,,NYT,L 45-46,5,28,5.60,0,2,-14,-7.00,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,0,0,,0,4,4,100.0,3,4,75.0,0,13
41,1962,1962-12-02,13,24.071,DEN,@,HOU,L 17-34,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,14,7.00,0,2,2,100.0,1,1,100.0,0,5
42,1962,1962-12-09,14,24.078,DEN,@,DTX,L 10-17,2,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,9,9.00,0,1,5,5.00,0,1,1,100.0,1,3,33.3,0,4
43,1963,1963-09-07,1,24.350,DEN,,KAN,L 7-59,3,-1,-0.33,0,1,-12,-12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
44,1963,1963-09-14,2,24.357,DEN,@,HOU,L 14-20,2,2,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
45,1963,1963-09-29,3,25.007,DEN,,BOS,W 14-10,3,10,3.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,2,2,100.0,,3,0.0,0,2
46,1963,1963-10-06,4,25.014,DEN,,SDG,W 50-34,2,7,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,49,24.50,0,0,0,,0,5,5,100.0,5,7,71.4,0,20
47,1963,1963-10-13,5,25.021,DEN,,HOU,L 24-33,2,9,4.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
48,1963,1963-10-18,6,25.026,DEN,@,BOS,L 21-40,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,102,20.40,0,1,4,4.00,0,3,3,100.0,,,,0,3
49,1963,1963-10-26,7,25.034,DEN,@,NYJ,T 35-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,,1,0.0,0,5
50,1963,1963-11-03,8,25.042,DEN,,BUF,L 28-30,0,0,,0,1,27,27.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,16,16.00,0,4,4,100.0,,1,0.0,0,4
51,1963,1963-11-09,9,25.048,DEN,@,BUF,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,1.50,0,2,2,100.0,1,3,33.3,0,5
52,1963,1963-11-17,10,25.056,DEN,,NYJ,L 9-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,61,30.50,0,,,,3,4,75.0,0,9
53,1963,1963-11-28,11,25.067,DEN,,OAK,L 10-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
54,1963,1963-12-08,12,25.077,DEN,@,KAN,L 21-52,5,29,5.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
55,1963,1963-12-15,13,25.084,DEN,@,OAK,L 31-35,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,1,100.0,0,7
56,1963,1963-12-22,14,25.091,DEN,@,SDG,L 20-58,6,30,5.00,0,1,-4,-4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,2,2,100.0,2,2,100.0,0,8
57,1964,1964-09-12,1,25.356,DEN,@,NYJ,L 6-30,1,9,9.00,0,2,7,3.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,2,4,50.0,0,6
58,1964,1964-09-20,2,25.364,DEN,@,BUF,L 13-30,4,13,3.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,,0,1,1,100.0,2,4,50.0,0,7
59,1964,1964-09-27,3,26.005,DEN,,HOU,L 17-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0,2,2,100.0,1,1,100.0,0,5
60,1964,1964-10-04,4,26.012,DEN,,BOS,L 10-39,0,0,,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,3,64,21.33,0,0,0,,0,1,1,100.0,1,1,100.0,0,4
61,1964,1964-10-11,5,26.019,DEN,,KAN,W 33-27,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,3,4,75.0,2,2,100.0,0,9
62,1964,1964-10-18,6,26.026,DEN,@,SDG,L 14-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,59,29.50,0,0,0,,0,2,2,100.0,,,,0,2
63,1964,1964-10-25,7,26.033,DEN,@,OAK,L 7-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1964,1964-11-01,8,26.040,DEN,@,KAN,L 39-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1964,1964-11-08,9,26.047,DEN,,SDG,L 20-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1964,1964-11-15,10,26.054,DEN,,NYJ,W 20-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1964,1964-11-20,11,26.059,DEN,@,BOS,L 7-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1964,1964-11-29,12,26.068,DEN,,OAK,T 20-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1964,1964-12-13,13,26.082,DEN,,BUF,L 19-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1964,1964-12-20,14,26.089,OAK,,SDG,W 21-20,0,0,,0,1,10,10.00,1,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,,,,,,,1,6
71,1965,1965-09-12,1,26.355,OAK,,KAN,W 37-10,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,,,,3,3,100.0,0,9
72,1965,1965-09-19,2,26.362,OAK,,SDG,L 6-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,,,,2,3,66.7,0,6
73,1965,1965-09-26,3,27.004,OAK,,HOU,W 21-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0
74,1965,1965-10-03,4,27.011,OAK,@,BUF,L 12-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,,,,1,3,33.3,0,3
75,1965,1965-10-08,5,27.016,OAK,@,BOS,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,,,,1,4,25.0,0,3
76,1965,1965-10-16,6,27.024,OAK,@,NYJ,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,,,,1,4,25.0,0,3
77,1965,1965-10-24,7,27.032,OAK,,BOS,W 30-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1965,1965-10-31,8,27.039,OAK,@,KAN,L 7-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1965,1965-11-07,9,27.046,OAK,@,HOU,W 33-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1965,1965-11-14,10,27.053,OAK,,BUF,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0
81,1965,1965-11-21,11,27.060,OAK,@,DEN,W 28-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1965,1965-12-05,12,27.074,OAK,,DEN,W 24-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1965,1965-12-12,13,27.081,OAK,,NYJ,W 24-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1965,1965-12-19,14,27.088,OAK,@,SDG,L 14-24,0,0,,0,1,5,5.00,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,,,,,,,0,0
85,1966,1966-09-02,1,27.345,MIA,,OAK,L 14-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,3,0.0,0,2
86,1966,1966-09-09,2,27.352,MIA,,NYJ,L 14-19,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,2,2,100.0,,,,0,2
87,1966,1966-09-18,3,27.361,MIA,@,BUF,L 24-58,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
88,1966,1966-10-02,4,28.010,MIA,@,SDG,L 10-44,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
89,1966,1966-10-09,5,28.017,MIA,@,OAK,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4
90,1966,1966-10-16,6,28.024,MIA,,DEN,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
91,1966,1966-10-23,7,28.031,MIA,@,HOU,W 20-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,3,66.7,0,8
92,1966,1966-11-06,8,28.045,MIA,,BUF,L 0-29,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0
93,1966,1966-11-13,9,28.052,MIA,@,KAN,L 16-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
94,1966,1966-11-20,10,28.059,MIA,@,NYJ,L 13-30,0,0,,0,2,33,16.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
