ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1983,1983-09-18,3,23.036,ATL,@,DET,W 30-14,0,0,,0,2,28,14.00,0
2,1983,1983-09-25,4,23.043,ATL,@,SFO,L 20-24,0,0,,0,2,47,23.50,0
3,1983,1983-10-02,5,23.050,ATL,,PHI,L 24-28,0,0,,0,5,83,16.60,0
4,1983,1983-10-09,6,23.057,ATL,,NOR,L 17-19,0,0,,0,2,47,23.50,0
5,1983,1983-10-16,7,23.064,ATL,@,RAM,L 21-27,0,0,,0,4,85,21.25,0
6,1983,1983-10-23,8,23.071,ATL,@,NYJ,W 27-21,0,0,,0,3,59,19.67,0
7,1983,1983-10-30,9,23.078,ATL,,NWE,W 24-13,0,0,,0,1,15,15.00,0
8,1983,1983-11-06,10,23.085,ATL,@,NOR,L 10-27,0,0,,0,0,0,,0
9,1983,1983-11-14,11,23.093,ATL,,RAM,L 13-36,1,5,5.00,0,0,0,,0
10,1983,1983-11-20,12,23.099,ATL,,SFO,W 28-24,0,0,,0,0,0,,0
11,1983,1983-11-27,13,23.106,ATL,,GNB,W 47-41,0,0,,0,1,34,34.00,0
12,1983,1983-12-04,14,23.113,ATL,@,WAS,L 21-37,0,0,,0,2,46,23.00,0
13,1983,1983-12-10,15,23.119,ATL,@,MIA,L 24-31,0,0,,0,1,17,17.00,0
14,1983,1983-12-18,16,23.127,ATL,,BUF,W 31-14,0,0,,0,0,0,,0
15,1984,1984-09-02,1,24.020,ATL,@,NOR,W 36-28,,,,,,,,
16,1984,1984-10-28,9,24.076,HOU,,CIN,L 13-31,,,,,0,0,,0
17,1984,1984-11-04,10,24.083,HOU,@,PIT,L 7-35,,,,,0,0,,0
18,1984,1984-11-11,11,24.090,HOU,@,KAN,W 17-16,,,,,0,0,,0
19,1984,1984-11-18,12,24.097,HOU,,NYJ,W 31-20,,,,,0,0,,0
20,1984,1984-11-25,13,24.104,HOU,@,CLE,L 10-27,,,,,0,0,,0
21,1984,1984-12-02,14,24.111,HOU,,PIT,W 23-20,0,0,,0,3,57,19.00,0
22,1984,1984-12-09,15,24.118,HOU,@,RAM,L 16-27,0,0,,0,2,27,13.50,0
