ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,22.050,MIN,,DAL,W 35-17,,1,8,8.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,,,1,17,17.00,0,1,1,1.00,0,,0,0,0.0,,
2,2004,2004-09-20,2,22.058,MIN,@,PHI,L 16-27,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,,,6,123,20.50,0,0,0,,0,,0,0,0.0,,
3,2004,2004-10-10,4,22.078,MIN,@,HOU,W 34-28,*,20,92,4.60,0,14,12,90,7.50,0,85.7%,6.43,0,0,,0,0,0,,0,,,,1,3,3.00,0,0,0,,0,,0,0,0.0,,
4,2004,2004-10-17,5,22.085,MIN,@,NOR,W 38-31,*,15,109,7.27,0,8,7,78,11.14,0,87.5%,9.75,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,51,17.00,0,0,0,,0,,0,0,0.0,,
5,2004,2004-10-24,6,22.092,MIN,,TEN,W 20-3,,20,138,6.90,0,6,5,30,6.00,0,83.3%,5.00,0,0,,0,0,0,,0,,,,1,19,19.00,0,0,0,,0,,0,0,0.0,,
6,2004,2004-10-31,7,22.099,MIN,,NYG,L 13-34,*,8,29,3.63,0,2,1,26,26.00,0,50.0%,13.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,
7,2004,2004-12-12,13,22.141,MIN,,SEA,L 23-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,30,30.00,0,0,0,,0,,0,0,0.0,,
8,2004,2004-12-19,14,22.148,MIN,@,DET,W 28-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,3,59,19.67,0,3,27,9.00,0,,0,0,0.0,,
9,2004,2004-12-24,15,22.153,MIN,,GNB,L 31-34,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,2,42,21.00,0,0,0,,0,,0,0,0.0,,
10,2004,2005-01-02,16,22.162,MIN,@,WAS,L 18-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,2,42,21.00,0,0,0,,0,,0,0,0.0,,
