ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-23,3,21.009,DEN,,HOU,L 25-31,,2,7,3.50,0,1,1,1,1.00,0,100.0%,1.00,0,0,0.0,0,0
2,2012,2012-09-30,4,21.016,DEN,,OAK,W 37-6,,10,31,3.10,0,2,2,32,16.00,0,100.0%,16.00,0,0,0.0,0,0
3,2012,2012-10-07,5,21.023,DEN,@,NWE,L 21-31,,3,9,3.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0
4,2012,2012-10-15,6,21.031,DEN,@,SDG,W 35-24,,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2012,2012-10-28,7,21.044,DEN,,NOR,W 34-14,,14,86,6.14,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,0.0,0,0
6,2012,2012-11-04,8,21.051,DEN,@,CIN,W 31-23,,1,4,4.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0
7,2012,2012-11-11,9,21.058,DEN,@,CAR,W 36-14,,5,5,1.00,1,2,2,8,4.00,0,100.0%,4.00,1,6,0.0,0,0
8,2012,2012-11-18,10,21.065,DEN,,SDG,W 30-23,,12,43,3.58,0,2,2,16,8.00,0,100.0%,8.00,0,0,0.0,0,0
9,2012,2012-11-25,11,21.072,DEN,@,KAN,W 17-9,,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2012,2012-12-02,12,21.079,DEN,,TAM,W 31-23,,5,29,5.80,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2012,2012-12-06,13,21.083,DEN,@,OAK,W 26-13,,4,24,6.00,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
12,2012,2012-12-16,14,21.093,DEN,@,BAL,W 34-17,,15,32,2.13,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2012,2012-12-23,15,21.100,DEN,,CLE,W 34-12,,6,35,5.83,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
14,2012,2012-12-30,16,21.107,DEN,,KAN,W 38-3,,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
15,2013,2013-09-05,1,21.356,DEN,,BAL,W 49-27,,4,15,3.75,0,2,2,27,13.50,0,100.0%,13.50,0,0,0.0,0,0
16,2013,2013-09-15,2,22.001,DEN,@,NYG,W 41-23,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
17,2013,2013-09-23,3,22.009,DEN,,OAK,W 37-21,,9,66,7.33,1,1,1,12,12.00,0,100.0%,12.00,1,6,0.0,0,0
18,2013,2013-09-29,4,22.015,DEN,,PHI,W 52-20,,11,36,3.27,0,3,2,21,10.50,0,66.7%,7.00,0,0,0.0,0,0
19,2013,2013-10-06,5,22.022,DEN,@,DAL,W 51-48,,7,17,2.43,0,4,4,42,10.50,0,100.0%,10.50,0,0,0.0,0,0
20,2013,2013-10-13,6,22.029,DEN,,JAX,W 35-19,,4,20,5.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,0.0,0,0
21,2013,2013-10-20,7,22.036,DEN,@,IND,L 33-39,,4,25,6.25,0,1,1,1,1.00,0,100.0%,1.00,0,0,0.0,0,0
22,2013,2013-12-01,12,22.078,DEN,@,KAN,W 35-28,,,,,,,,,,,0.0%,,,,,,
