ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,26.264,CIN,,DEN,L 7-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,49,9.80,0,0.0,0,0
2,2009,2009-09-20,2,26.271,CIN,@,GNB,W 31-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,114,22.80,0,0.0,0,0
3,2009,2009-09-27,3,26.278,CIN,,PIT,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,17,17.00,0,0.0,0,0
4,2009,2009-10-04,4,26.285,CIN,@,CLE,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,17,5.67,0,0.0,0,0
5,2009,2009-10-11,5,26.292,CIN,@,BAL,W 17-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,26,8.67,0,0.0,0,0
6,2009,2009-10-18,6,26.299,CIN,,HOU,L 17-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
7,2009,2009-10-25,7,26.306,CIN,,CHI,W 45-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
8,2009,2009-11-08,8,26.320,CIN,,BAL,W 17-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,25,8.33,0,0.0,0,1
9,2009,2009-11-15,9,26.327,CIN,@,PIT,W 18-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,20,6.67,0,0.0,0,0
10,2009,2009-11-22,10,26.334,CIN,@,OAK,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,2,18,9.00,0,0.0,0,0
11,2009,2009-11-29,11,26.341,CIN,,CLE,W 16-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,49,9.80,0,0.0,0,0
12,2009,2009-12-06,12,26.348,CIN,,DET,W 23-13,,0,0,0,,0,0.0%,,1,-2,-2.00,0,1,21,21.00,0,3,54,18.00,0,0.0,0,0
13,2009,2009-12-13,13,26.355,CIN,@,MIN,L 10-30,,1,0,0,,0,0.0%,0.00,0,0,,0,6,107,17.83,0,2,6,3.00,0,0.0,0,0
14,2009,2009-12-20,14,26.362,CIN,@,SDG,L 24-27,,3,3,47,15.67,0,100.0%,15.67,0,0,,0,5,94,18.80,0,1,7,7.00,0,0.0,0,0
15,2009,2009-12-27,15,27.004,CIN,,KAN,W 17-10,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,2,22,11.00,0,0.0,0,0
16,2009,2010-01-03,16,27.011,CIN,@,NYJ,L 0-37,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,50,25.00,0,0.0,0,0
17,2010,2010-09-12,1,27.263,CIN,@,NWE,L 24-38,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,0,0,,0,0.0,0,0
18,2010,2010-09-19,2,27.270,CIN,,BAL,W 15-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,6,3.00,0,0.0,0,1
19,2010,2010-09-26,3,27.277,CIN,@,CAR,W 20-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,42,8.40,0,0.0,0,0
20,2010,2010-10-03,4,27.284,CIN,@,CLE,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,6,3.00,0,0.0,0,0
21,2010,2010-10-10,5,27.291,CIN,,TAM,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
22,2010,2010-10-24,6,27.305,CIN,@,ATL,L 32-39,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
23,2010,2010-10-31,7,27.312,CIN,,MIA,L 14-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,24,12.00,0,0.0,0,0
24,2010,2010-11-08,8,27.320,CIN,,PIT,L 21-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,9,3.00,0,0.0,0,1
25,2010,2010-11-14,9,27.326,CIN,@,IND,L 17-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,4,2.00,0,0.0,0,0
