ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1994,1994-09-04,1,22.362,NWE,@,MIA,L 35-39,,0,0,,0,0.0%,,0,0,,0
2,1994,1994-09-11,2,23.004,NWE,,BUF,L 35-38,,0,0,,0,0.0%,,0,0,,0
3,1994,1994-09-18,3,23.011,NWE,@,CIN,W 31-28,,0,0,,0,0.0%,,0,0,,0
4,1994,1994-09-25,4,23.018,NWE,@,DET,W 23-17,,0,0,,0,0.0%,,0,0,,0
5,1994,1994-10-02,5,23.025,NWE,,GNB,W 17-16,,0,0,,0,0.0%,,0,0,,0
6,1994,1994-10-09,6,23.032,NWE,,RAI,L 17-21,,0,0,,0,0.0%,,0,0,,0
7,1994,1994-10-16,7,23.039,NWE,@,NYJ,L 17-24,1,0,0,,0,0.0%,0.00,1,6,6.00,0
8,1994,1994-10-30,8,23.053,NWE,,MIA,L 3-23,,0,0,,0,0.0%,,0,0,,0
9,1994,1994-11-06,9,23.060,NWE,@,CLE,L 6-13,,0,0,,0,0.0%,,0,0,,0
10,1994,1994-11-13,10,23.067,NWE,,MIN,W 26-20,2,2,16,8.00,0,100.0%,8.00,1,5,5.00,0
11,1994,1994-11-20,11,23.074,NWE,,SDG,W 23-17,2,0,0,,0,0.0%,0.00,0,0,,0
12,1994,1994-11-27,12,23.081,NWE,@,IND,W 12-10,,0,0,,0,0.0%,,0,0,,0
13,1994,1994-12-04,13,23.088,NWE,,NYJ,W 24-13,1,0,0,,0,0.0%,0.00,1,0,0.00,0
14,1994,1994-12-11,14,23.095,NWE,,IND,W 28-13,1,0,0,,0,0.0%,0.00,0,0,,0
15,1994,1994-12-18,15,23.102,NWE,@,BUF,W 41-17,4,4,41,10.25,0,100.0%,10.25,0,0,,0
16,1994,1994-12-24,16,23.108,NWE,@,CHI,W 13-3,4,3,29,9.67,0,75.0%,7.25,0,0,,0
17,1995,1995-09-03,1,23.361,NWE,,CLE,W 17-14,2,2,8,4.00,0,100.0%,4.00,0,0,,0
18,1995,1995-09-10,2,24.003,NWE,,MIA,L 3-20,,0,0,,0,0.0%,,0,0,,0
19,1995,1995-09-17,3,24.010,NWE,@,SFO,L 3-28,4,2,12,6.00,0,50.0%,3.00,0,0,,0
20,1995,1995-10-01,4,24.024,NWE,@,ATL,L 17-30,4,0,0,,0,0.0%,0.00,0,0,,0
21,1995,1995-10-08,5,24.031,NWE,,DEN,L 3-37,7,4,32,8.00,0,57.1%,4.57,0,0,,0
22,1995,1995-10-15,6,24.038,NWE,@,KAN,L 26-31,6,3,31,10.33,0,50.0%,5.17,0,0,,0
23,1995,1995-10-23,7,24.046,NWE,,BUF,W 27-14,1,1,21,21.00,0,100.0%,21.00,0,0,,0
24,1995,1995-10-29,8,24.052,NWE,,CAR,L 17-20,1,1,17,17.00,0,100.0%,17.00,0,0,,0
25,1995,1995-11-05,9,24.059,NWE,@,NYJ,W 20-7,,0,0,,0,0.0%,,0,0,,0
26,1995,1995-11-12,10,24.066,NWE,@,MIA,W 34-17,,0,0,,0,0.0%,,0,0,,0
27,1995,1995-11-19,11,24.073,NWE,,IND,L 10-24,1,1,9,9.00,0,100.0%,9.00,0,0,,0
28,1995,1995-11-26,12,24.080,NWE,@,BUF,W 35-25,1,0,0,,0,0.0%,0.00,0,0,,0
29,1995,1995-12-03,13,24.087,NWE,,NOR,L 17-31,,0,0,,0,0.0%,,0,0,,0
30,1995,1995-12-10,14,24.094,NWE,,NYJ,W 31-28,0,0,0,,0,0.0%,,0,0,,0
31,1995,1995-12-16,15,24.100,NWE,@,PIT,L 27-41,2,1,6,6.00,0,50.0%,3.00,1,7,7.00,0
32,1995,1995-12-23,16,24.107,NWE,@,IND,L 7-10,,0,0,,0,0.0%,,0,0,,0
33,1996,1996-09-01,1,24.360,NWE,@,MIA,L 10-24,1,1,19,19.00,0,100.0%,19.00,0,0,,0
34,1996,1996-09-08,2,25.001,NWE,@,BUF,L 10-17,,0,0,,0,0.0%,,,,,
35,1996,1996-09-15,3,25.008,NWE,,ARI,W 31-0,1,0,0,,0,0.0%,0.00,,,,
36,1996,1996-09-22,4,25.015,NWE,,JAX,W 28-25,1,0,0,,0,0.0%,0.00,,,,
37,1996,1996-10-06,5,25.029,NWE,@,BAL,W 46-38,,0,0,,0,0.0%,,,,,
38,1996,1996-10-13,6,25.036,NWE,,WAS,L 22-27,,0,0,,0,0.0%,,,,,
39,1996,1996-10-27,8,25.050,NWE,,BUF,W 28-25,,0,0,,0,0.0%,,,,,
40,1996,1996-11-03,9,25.057,NWE,,MIA,W 42-23,,0,0,,0,0.0%,,,,,
41,1996,1996-11-10,10,25.064,NWE,@,NYJ,W 31-27,,0,0,,0,0.0%,,,,,
42,1996,1996-11-24,12,25.078,NWE,,IND,W 27-13,,0,0,,0,0.0%,,,,,
43,1996,1996-12-15,15,25.099,NWE,@,DAL,L 6-12,,0,0,,0,0.0%,,,,,
44,1997,1997-08-31,1,25.358,NYJ,@,SEA,W 41-3,,,,,,0.0%,,,,,
45,1997,1997-09-07,2,26.000,NYJ,,BUF,L 22-28,,,,,,0.0%,,,,,
46,1997,1997-09-21,4,26.014,NYJ,,OAK,W 23-22,,,,,,0.0%,,,,,
47,1997,1997-09-28,5,26.021,NYJ,@,CIN,W 31-14,,,,,,0.0%,,,,,
48,1997,1997-10-12,7,26.035,NYJ,,MIA,L 20-31,,,,,,0.0%,,,,,
49,1997,1997-10-19,8,26.042,NYJ,,NWE,W 24-19,,,,,,0.0%,,,,,
50,1997,1997-11-23,12,26.077,NYJ,,MIN,W 23-21,,,,,,0.0%,,,,,
51,1998,1998-09-06,1,26.364,SDG,,BUF,W 16-14,,,,,,0.0%,,,,,
52,1998,1998-09-13,2,27.006,SDG,@,TEN,W 13-7,1,,,,,0.0%,,,,,
53,1998,1998-09-20,3,27.013,SDG,@,KAN,L 7-23,0,0,0,,0,0.0%,,1,5,5.00,0
