ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,24.101,ARI,@,SFO,W 23-13,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
2,2008,2008-09-14,2,24.108,ARI,,MIA,W 31-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
3,2008,2008-09-21,3,24.115,ARI,@,WAS,L 17-24,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
4,2008,2008-09-28,4,24.122,ARI,@,NYJ,L 35-56,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,0,1
5,2008,2008-10-26,7,24.150,ARI,@,CAR,L 23-27,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
6,2008,2008-11-02,8,24.157,ARI,@,STL,W 34-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
7,2008,2008-11-10,9,24.165,ARI,,SFO,W 29-24,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
8,2008,2008-11-16,10,24.171,ARI,@,SEA,W 26-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,0,1
9,2008,2008-11-23,11,24.178,ARI,,NYG,L 29-37,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
10,2008,2008-11-27,12,24.182,ARI,@,PHI,L 20-48,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
11,2008,2008-12-07,13,24.192,ARI,,STL,W 34-10,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
12,2008,2008-12-14,14,24.199,ARI,,MIN,L 14-35,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
