ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2017,2017-09-17,2,22.166,SFO,@,SEA,L 9-12,,3,71,23.67,0,0,0,,0
2,2017,2017-09-21,3,22.170,SFO,,LAR,L 39-41,,2,36,18.00,0,1,0,0.00,0
3,2017,2017-10-01,4,22.180,SFO,@,ARI,L 15-18,,3,76,25.33,0,0,0,,0
4,2017,2017-10-08,5,22.187,SFO,@,IND,L 23-26,,4,59,14.75,0,0,0,,0
5,2017,2017-10-15,6,22.194,SFO,@,WAS,L 24-26,,0,0,,0,0,0,,0
6,2017,2017-11-05,9,22.215,SFO,,ARI,L 10-20,,3,59,19.67,0,1,0,0.00,0
7,2017,2017-11-12,10,22.222,SFO,,NYG,W 31-21,,1,23,23.00,0,2,23,11.50,0
8,2017,2017-12-03,12,22.243,SFO,@,CHI,W 15-14,,1,30,30.00,0,0,0,,0
9,2017,2017-12-10,13,22.250,SFO,@,HOU,W 26-16,,2,42,21.00,0,0,0,,0
