ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1996,1996-09-01,1,22.343,HOU,,KAN,L 19-20,,21,50,2.38,0,0,0,0,,0,0.0%,,0,0
2,1996,1996-09-08,2,22.350,HOU,@,JAX,W 34-27,,17,143,8.41,1,1,1,9,9.00,0,100.0%,9.00,1,6
3,1996,1996-09-15,3,22.357,HOU,,BAL,W 29-13,,17,74,4.35,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0
4,1996,1996-09-29,4,23.005,HOU,@,PIT,L 16-30,,11,47,4.27,0,2,1,4,4.00,0,50.0%,2.00,0,0
5,1996,1996-10-06,5,23.012,HOU,@,CIN,W 30-27,,26,152,5.85,1,4,3,22,7.33,0,75.0%,5.50,1,6
6,1996,1996-10-13,6,23.019,HOU,@,ATL,W 23-13,,23,109,4.74,0,1,1,14,14.00,0,100.0%,14.00,0,0
7,1996,1996-10-20,7,23.026,HOU,,PIT,W 23-13,,25,65,2.60,1,3,3,22,7.33,0,100.0%,7.33,1,6
8,1996,1996-10-27,8,23.033,HOU,,SFO,L 9-10,,22,77,3.50,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0
9,1996,1996-11-03,9,23.040,HOU,@,SEA,L 16-23,,25,91,3.64,0,1,0,0,,0,0.0%,0.00,0,0
10,1996,1996-11-10,10,23.047,HOU,@,NOR,W 31-14,,25,91,3.64,1,2,1,3,3.00,0,50.0%,1.50,1,6
11,1996,1996-11-17,11,23.054,HOU,,MIA,L 20-23,,15,60,4.00,0,3,3,34,11.33,0,100.0%,11.33,0,0
12,1996,1996-11-24,12,23.061,HOU,,CAR,L 6-31,,19,62,3.26,0,1,1,0,0.00,0,100.0%,0.00,0,0
13,1996,1996-12-01,13,23.068,HOU,@,NYJ,W 35-10,,28,141,5.04,2,0,0,0,,0,0.0%,,2,12
14,1996,1996-12-08,14,23.075,HOU,,JAX,L 17-23,,16,45,2.81,1,2,2,18,9.00,0,100.0%,9.00,1,6
15,1996,1996-12-15,15,23.082,HOU,,CIN,L 13-21,,24,76,3.17,0,3,3,32,10.67,0,100.0%,10.67,0,0
16,1996,1996-12-22,16,23.089,HOU,@,BAL,W 24-21,,21,85,4.05,1,3,2,29,14.50,0,66.7%,9.67,1,6
