ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-11-04,8,22.156,PHO,@,MIA,L 3-23,,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,3,69,23.00,0,0,0,,0,0,0
2,1990,1990-11-11,9,22.163,PHO,@,BUF,L 14-45,,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,1,0,0.00,0,0,0,,0,0,0
3,1990,1990-12-09,13,22.191,PHO,@,ATL,W 24-13,,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,3,51,17.00,0,0,0,,0,0,0
4,1990,1990-12-16,14,22.198,PHO,@,DAL,L 10-41,,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,7,123,17.57,0,0,0,,0,0,0
5,1990,1990-12-23,15,22.205,PHO,,NYG,L 21-24,,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,1,13,13.00,0,0,0,,0,0,0
6,1990,1990-12-29,16,22.211,PHO,,PHI,L 21-23,,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,1,16,16.00,0,0,0,,0,0,0
7,1991,1991-09-01,1,23.092,PHO,@,RAM,W 24-14,,,0,0,,0,,,1,1,1.00,0,0,0,,0,0,0,,,,,,2,45,22.50,0,1,0,0.00,0,0,0
8,1991,1991-09-08,2,23.099,PHO,@,PHI,W 26-10,,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,30,7.50,0,0,0
9,1991,1991-11-03,10,23.155,PHO,@,DAL,L 7-27,,,4,28,7.00,0,,,1,6,6.00,0,0,0,,0,0,0,,,,,,2,33,16.50,0,0,0,,0,0,0
10,1991,1991-11-10,11,23.162,PHO,,NYG,L 14-21,,,3,48,16.00,0,,,2,10,5.00,0,0,0,,0,0,0,,,,,,3,58,19.33,0,0,0,,0,0,0
11,1991,1991-11-17,12,23.169,PHO,@,SFO,L 10-14,,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,2,43,21.50,0,0,0,,0,0,0
12,1991,1991-11-24,13,23.176,PHO,,PHI,L 14-34,,,3,37,12.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,3,69,23.00,0,0,0,,0,0,0
13,1991,1991-12-08,14,23.190,PHO,,WAS,L 14-20,,,2,7,3.50,0,,,7,16,2.29,0,0,0,,0,0,0,,,,,,1,39,39.00,0,0,0,,0,0,0
14,1991,1991-12-15,15,23.197,PHO,@,DEN,L 19-24,,,1,11,11.00,0,,,2,9,4.50,0,0,0,,0,0,0,,,,,,3,43,14.33,0,0,0,,0,0,0
15,1991,1991-12-22,16,23.204,PHO,,NOR,L 3-27,,,5,41,8.20,0,,,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
16,1992,1992-09-06,1,24.097,PHO,@,TAM,L 7-23,,3,3,15,5.00,0,100.0%,5.00,1,-4,-4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
17,1992,1992-09-13,2,24.104,PHO,,PHI,L 14-31,,2,1,0,0.00,0,50.0%,0.00,1,28,28.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
18,1992,1992-09-20,3,24.111,PHO,@,DAL,L 20-31,,7,7,64,9.14,0,100.0%,9.14,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
19,1992,1992-10-04,4,24.125,PHO,,WAS,W 27-24,,5,5,36,7.20,1,100.0%,7.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
20,1992,1992-10-11,5,24.132,PHO,@,NYG,L 21-31,,5,3,27,9.00,0,60.0%,5.40,1,10,10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
21,1992,1992-10-18,6,24.139,PHO,,NOR,L 21-30,,2,1,3,3.00,0,50.0%,1.50,4,17,4.25,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
22,1992,1992-10-25,7,24.146,PHO,@,PHI,L 3-7,,3,2,12,6.00,0,66.7%,4.00,14,30,2.14,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
23,1992,1992-11-01,8,24.153,PHO,,SFO,W 24-14,,2,2,5,2.50,0,100.0%,2.50,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
24,1992,1992-11-08,9,24.160,PHO,@,RAM,W 20-14,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
25,1992,1992-11-15,10,24.167,PHO,@,ATL,L 17-20,,1,1,2,2.00,0,100.0%,2.00,1,-2,-2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
