ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1963,1963-09-15,1,22.312,PHI,,PIT,T 21-21,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3
2,1963,1963-09-22,2,22.319,PHI,,STL,L 24-28,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6
3,1963,1963-09-29,3,22.326,PHI,,NYG,L 14-37,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
4,1963,1963-10-06,4,22.333,PHI,,DAL,W 24-21,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
5,1963,1963-10-13,5,22.340,PHI,@,WAS,W 37-24,,0,0,,0,0,0,,0,0,,,4,5,80.0,1,2,50.0,0,7
6,1963,1963-10-20,6,22.347,PHI,@,CLE,L 7-37,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1
7,1963,1963-10-27,7,22.354,PHI,@,CHI,L 7-16,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1
8,1963,1963-11-03,8,22.361,PHI,,CLE,L 17-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
9,1963,1963-11-10,9,23.003,PHI,@,NYG,L 14-42,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
10,1963,1963-11-17,10,23.010,PHI,@,DAL,L 20-27,,0,0,,0,0,0,,0,0,,,2,3,66.7,,1,0.0,0,2
11,1963,1963-11-24,11,23.017,PHI,,WAS,L 10-13,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4
12,1963,1963-12-01,12,23.024,PHI,@,PIT,T 20-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
13,1963,1963-12-08,13,23.031,PHI,@,STL,L 14-38,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2
14,1963,1963-12-15,14,23.038,PHI,,MIN,L 13-34,,0,0,,0,0,0,,0,0,,,1,2,50.0,,1,0.0,0,1
15,1964,1964-09-13,1,23.311,PIT,,RAM,L 14-26,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2
16,1964,1964-09-20,2,23.318,PIT,,NYG,W 27-24,,0,0,,0,0,,,,,,,3,4,75.0,,,,0,3
17,1964,1964-09-27,3,23.325,PIT,,DAL,W 23-17,,0,0,,0,0,0,,0,0,,,2,3,66.7,1,3,33.3,0,5
18,1964,1964-10-04,4,23.332,PIT,@,PHI,L 7-21,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
19,1964,1964-10-10,5,23.338,PIT,@,CLE,W 23-7,,0,0,,0,0,0,,0,0,,,2,3,66.7,1,2,50.0,0,5
20,1964,1964-10-18,6,23.346,PIT,@,MIN,L 10-30,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4
21,1964,1964-10-25,7,23.353,PIT,,PHI,L 10-34,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
22,1964,1964-11-01,8,23.360,PIT,,CLE,L 17-30,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
23,1964,1964-11-08,9,24.001,PIT,@,STL,L 30-34,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12
24,1964,1964-11-15,10,24.008,PIT,,WAS,L 0-30,,0,0,,0,0,0,,0,0,,,,,,,3,0.0,0,0
25,1964,1964-11-22,11,24.015,PIT,@,NYG,W 44-17,,0,0,,0,0,0,,0,0,,,5,5,100.0,3,3,100.0,0,14
26,1964,1964-11-29,12,24.022,PIT,,STL,L 20-21,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,4,50.0,0,8
27,1964,1964-12-06,13,24.029,PIT,@,WAS,W 14-7,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2
28,1964,1964-12-13,14,24.036,PIT,@,DAL,L 14-17,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
29,1965,1965-09-19,1,24.316,PIT,,GNB,L 9-41,,0,0,,0,0,0,,0,0,,,,,,3,3,100.0,0,9
30,1965,1965-09-26,2,24.323,PIT,@,SFO,L 17-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
31,1965,1965-10-03,3,24.330,PIT,,NYG,L 13-23,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7
32,1965,1965-10-09,4,24.336,PIT,@,CLE,L 19-24,,0,0,,0,0,,,,,,,1,2,50.0,,,,0,1
33,1965,1965-10-17,5,24.344,PIT,,STL,L 7-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
34,1965,1965-10-24,6,24.351,PIT,@,PHI,W 20-14,,0,0,,0,0,0,,0,0,,,2,3,66.7,,1,0.0,0,2
