ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2001,2001-09-09,1,23.140,SFO,,ATL,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,2,45,22.50,0,0,0,,0
2,2001,2001-09-23,2,23.154,SFO,,STL,L 26-30,,0,0,,0,0,0,0,,0,0.0%,,5,122,24.40,0,1,19,19.00,0
3,2001,2001-10-01,3,23.162,SFO,@,NYJ,W 19-17,,0,0,,0,0,0,0,,0,0.0%,,3,115,38.33,0,1,8,8.00,0
4,2001,2001-10-07,4,23.168,SFO,,CAR,W 24-14,,0,0,,0,0,0,0,,0,0.0%,,3,75,25.00,0,2,9,4.50,0
5,2001,2001-10-14,5,23.175,SFO,@,ATL,W 37-31,,0,0,,0,0,0,0,,0,0.0%,,6,128,21.33,0,1,19,19.00,0
6,2001,2001-11-04,7,23.196,SFO,,DET,W 21-13,,0,0,,0,0,0,0,,0,0.0%,,4,66,16.50,0,4,25,6.25,0
7,2001,2001-11-11,8,23.203,SFO,,NOR,W 28-27,,0,0,,0,0,0,0,,0,0.0%,,4,73,18.25,0,2,11,5.50,0
8,2001,2001-11-18,9,23.210,SFO,@,CAR,W 25-22,,0,0,,0,0,0,0,,0,0.0%,,7,147,21.00,0,0,0,,0
9,2001,2001-11-25,10,23.217,SFO,@,IND,W 40-21,,0,0,,0,0,0,0,,0,0.0%,,4,134,33.50,0,1,14,14.00,0
10,2001,2001-12-02,11,23.224,SFO,,BUF,W 35-0,,1,16,16.00,0,0,0,0,,0,0.0%,,1,24,24.00,0,2,6,3.00,0
11,2001,2001-12-09,12,23.231,SFO,@,STL,L 14-27,,0,0,,0,0,0,0,,0,0.0%,,4,89,22.25,0,0,0,,0
12,2001,2001-12-16,13,23.238,SFO,,MIA,W 21-0,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,4,2.00,0
13,2001,2001-12-22,14,23.244,SFO,,PHI,W 13-3,,0,0,,0,0,0,0,,0,0.0%,,2,26,13.00,0,2,14,7.00,0
14,2001,2001-12-30,15,23.252,SFO,@,DAL,L 21-27,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,4,77,19.25,0,1,15,15.00,0
15,2001,2002-01-06,16,23.259,SFO,@,NOR,W 38-0,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,2,3,1.50,0
16,2002,2002-10-20,6,24.181,CHI,@,DET,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,3,49,16.33,0,0,0,,0
