ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1987,1987-10-04,3,22.281,SDG,@,CIN,W 10-9,,0,0,,0,
2,1987,1987-10-11,4,22.288,SDG,@,TAM,W 17-13,,0,0,,0,
3,1987,1987-10-18,5,22.295,SDG,@,RAI,W 23-17,,0,0,,0,1.0
4,1987,1987-10-25,6,22.302,SDG,,KAN,W 42-21,,0,0,,0,
5,1987,1987-11-01,7,22.309,SDG,,CLE,W 27-24,,0,0,,0,
6,1987,1987-11-08,8,22.316,SDG,@,IND,W 16-13,,0,0,,0,
7,1987,1987-11-15,9,22.323,SDG,,RAI,W 16-14,,0,0,,0,
8,1987,1987-11-22,10,22.330,SDG,@,SEA,L 3-34,,0,0,,0,
9,1987,1987-11-29,11,22.337,SDG,,DEN,L 17-31,,0,0,,0,
10,1987,1987-12-06,12,22.344,SDG,@,HOU,L 18-33,,1,0,0.00,0,0.0
11,1987,1987-12-13,13,22.351,SDG,,PIT,L 16-20,,0,0,,0,
12,1987,1987-12-20,14,22.358,SDG,,IND,L 7-20,,0,0,,0,
13,1987,1987-12-27,15,23.000,SDG,@,DEN,L 0-24,,2,15,7.50,0,0.0
14,1988,1988-09-04,1,23.252,SDG,@,RAI,L 13-24,,,,,,
15,1988,1988-09-11,2,23.259,SDG,@,DEN,L 3-34,,,,,,
16,1988,1988-09-18,3,23.266,SDG,,SEA,W 17-6,,,,,,
17,1988,1988-09-25,4,23.273,SDG,@,KAN,W 24-23,,,,,,
18,1988,1988-10-02,5,23.280,SDG,,DEN,L 0-12,,,,,,
19,1988,1988-10-09,6,23.287,SDG,,NOR,L 17-23,,,,,,
20,1988,1988-10-16,7,23.294,SDG,@,MIA,L 28-31,,,,,,
21,1988,1988-10-23,8,23.301,SDG,,IND,L 0-16,,,,,,
22,1988,1988-10-30,9,23.308,SDG,@,SEA,L 14-17,,,,,,
23,1988,1988-11-06,10,23.315,SDG,,RAI,L 3-13,,,,,,
24,1988,1988-11-13,11,23.322,SDG,@,ATL,W 10-7,,,,,,
25,1988,1988-11-20,12,23.329,SDG,@,RAM,W 38-24,,,,,,
26,1988,1988-11-27,13,23.336,SDG,,SFO,L 10-48,,,,,,
27,1988,1988-12-04,14,23.343,SDG,@,CIN,L 10-27,,,,,,
28,1988,1988-12-11,15,23.350,SDG,,PIT,W 20-14,,,,,,
29,1988,1988-12-18,16,23.357,SDG,,KAN,W 24-13,,,,,,
30,1989,1989-09-10,1,24.257,PHO,@,DET,W 16-13,,,,,,
31,1989,1989-09-17,2,24.264,PHO,@,SEA,W 34-24,,,,,,
32,1989,1989-09-24,3,24.271,PHO,@,NYG,L 7-35,,,,,,
33,1989,1989-10-01,4,24.278,PHO,,SDG,L 13-24,,,,,,
34,1989,1989-10-08,5,24.285,PHO,@,WAS,L 28-30,,,,,,
35,1989,1989-10-15,6,24.292,PHO,,PHI,L 5-17,,,,,,
36,1990,1990-11-12,9,25.320,WAS,@,PHI,L 14-28,,,,,,
37,1991,1991-09-01,1,26.248,CLE,,DAL,L 14-26,,,,,,
38,1991,1991-09-08,2,26.255,CLE,@,NWE,W 20-0,,,,,,
39,1991,1991-11-24,12,26.332,SDG,@,NYJ,L 3-24,,,,,,
40,1991,1991-12-01,13,26.339,SDG,,RAI,L 7-9,,,,,,
41,1991,1991-12-08,14,26.346,SDG,@,KAN,L 17-20,,,,,,
42,1991,1991-12-15,15,26.353,SDG,,MIA,W 38-30,,,,,,
43,1991,1991-12-22,16,26.360,SDG,,DEN,L 14-17,,,,,,
44,1992,1992-09-06,1,27.254,CIN,@,SEA,W 21-3,,,,,,
45,1992,1992-09-13,2,27.261,CIN,,RAI,W 24-21,,,,,,
46,1992,1992-09-20,3,27.268,CIN,@,GNB,L 23-24,,,,,,
47,1992,1992-09-27,4,27.275,CIN,,MIN,L 7-42,,,,,,
48,1992,1992-10-11,5,27.289,CIN,,HOU,L 24-38,,,,,,
49,1992,1992-10-19,6,27.297,CIN,@,PIT,L 0-20,,,,,,
