ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2013,2013-09-08,1,23.235,DET,,MIN,W 34-24,,3,3,27,9.00,1,100.0%,9.00,,1,6
2,2013,2013-09-15,2,23.242,DET,@,ARI,L 21-25,,,,,,,0.0%,,,,
3,2013,2013-09-22,3,23.249,DET,@,WAS,W 27-20,,3,1,5,5.00,1,33.3%,1.67,,1,6
4,2013,2013-09-29,4,23.256,DET,,CHI,W 40-32,,,,,,,0.0%,,,,
5,2013,2013-10-06,5,23.263,DET,@,GNB,L 9-22,,,,,,,0.0%,,,,
6,2013,2013-10-13,6,23.270,DET,@,CLE,W 31-17,*,3,3,34,11.33,3,100.0%,11.33,,3,18
7,2013,2013-10-20,7,23.277,DET,,CIN,L 24-27,,4,1,15,15.00,0,25.0%,3.75,,0,0
8,2013,2013-10-27,8,23.284,DET,,DAL,W 31-30,,0,,,,,0.0%,,,,
9,2013,2013-11-10,9,23.298,DET,@,CHI,W 21-19,,2,1,25,25.00,0,50.0%,12.50,,0,0
10,2013,2013-11-17,10,23.305,DET,@,PIT,L 27-37,,2,1,14,14.00,0,50.0%,7.00,,0,0
11,2013,2013-11-24,11,23.312,DET,,TAM,L 21-24,,1,1,10,10.00,1,100.0%,10.00,,1,6
12,2013,2013-11-28,12,23.316,DET,,GNB,W 40-10,,1,0,0,,0,0.0%,0.00,,0,0
13,2013,2013-12-08,13,23.326,DET,@,PHI,L 20-34,*,,,,,,0.0%,,,,
14,2013,2013-12-16,14,23.334,DET,,BAL,L 16-18,,1,1,14,14.00,1,100.0%,14.00,,1,6
15,2013,2013-12-22,15,23.340,DET,,NYG,L 20-23,,7,3,43,14.33,0,42.9%,6.14,1,0,2
16,2013,2013-12-29,16,23.347,DET,@,MIN,L 13-14,,3,3,20,6.67,0,100.0%,6.67,,0,0
17,2014,2014-09-08,1,24.235,DET,,NYG,W 35-14,,3,1,26,26.00,0,33.3%,8.67,1,0,2
18,2014,2014-09-14,2,24.241,DET,@,CAR,L 7-24,,1,1,20,20.00,0,100.0%,20.00,,0,0
19,2014,2014-09-21,3,24.248,DET,,GNB,W 19-7,,2,1,3,3.00,0,50.0%,1.50,,0,0
20,2014,2014-11-16,10,24.304,DET,@,ARI,L 6-14,,,,,,,0.0%,,,,
21,2014,2014-11-23,11,24.311,DET,@,NWE,L 9-34,,2,0,0,,0,0.0%,0.00,,0,0
22,2014,2014-11-27,12,24.315,DET,,CHI,W 34-17,,2,1,8,8.00,0,50.0%,4.00,,0,0
23,2014,2014-12-07,13,24.325,DET,,TAM,W 34-17,,2,2,17,8.50,1,100.0%,8.50,,1,6
