ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1995,1995-09-03,1,24.201,PHI,,TAM,L 6-21,0,0,,0,0,0,,0,,
2,1995,1995-09-10,2,24.208,PHI,@,ARI,W 31-19,0,0,,0,0,0,,0,,
3,1995,1995-09-17,3,24.215,PHI,,SDG,L 21-27,0,0,,0,0,0,,0,,
4,1995,1995-09-24,4,24.222,PHI,@,OAK,L 17-48,0,0,,0,0,0,,0,,
5,1995,1995-10-01,5,24.229,PHI,@,NOR,W 15-10,0,0,,0,0,0,,0,,
6,1995,1995-10-08,6,24.236,PHI,,WAS,W 37-34,0,0,,0,0,0,,0,,
7,1995,1995-10-29,8,24.257,PHI,,STL,W 20-9,0,0,,0,0,0,,0,,
8,1995,1995-11-06,9,24.265,PHI,@,DAL,L 12-34,0,0,,0,0,0,,0,,
9,1995,1995-11-12,10,24.271,PHI,,DEN,W 31-13,2,7,3.50,0,0,0,,0,0,0
10,1995,1995-11-19,11,24.278,PHI,,NYG,W 28-19,0,0,,0,0,0,,0,,
11,1995,1995-11-26,12,24.285,PHI,@,WAS,W 14-7,0,0,,0,0,0,,0,,
12,1995,1995-12-03,13,24.292,PHI,@,SEA,L 14-26,0,0,,0,6,135,22.50,0,0,0
13,1995,1995-12-10,14,24.299,PHI,,DAL,W 20-17,0,0,,0,4,103,25.75,0,0,0
14,1995,1995-12-17,15,24.306,PHI,,ARI,W 21-20,0,0,,0,5,179,35.80,1,1,6
15,1995,1995-12-24,16,24.313,PHI,@,CHI,L 14-20,0,0,,0,3,42,14.00,0,0,0
16,1996,1996-09-01,1,25.200,PHI,@,WAS,W 17-14,0,0,,0,1,27,27.00,0,0,0
17,1996,1996-09-09,2,25.208,PHI,@,GNB,L 13-39,,,,,0,0,,0,,
18,1996,1996-09-15,3,25.214,PHI,,DET,W 24-17,0,0,,0,4,94,23.50,0,0,0
19,1996,1996-09-22,4,25.221,PHI,@,ATL,W 33-18,0,0,,0,3,144,48.00,1,1,6
20,1996,1996-09-30,5,25.229,PHI,,DAL,L 19-23,0,0,,0,6,135,22.50,0,0,0
21,1996,1996-10-13,6,25.242,PHI,@,NYG,W 19-10,0,0,,0,2,42,21.00,0,0,0
22,1996,1996-10-20,7,25.249,PHI,,MIA,W 35-28,0,0,,0,2,35,17.50,0,0,0
23,1996,1996-10-27,8,25.256,PHI,,CAR,W 20-9,0,0,,0,1,20,20.00,0,0,0
24,1996,1996-11-03,9,25.263,PHI,@,DAL,W 31-21,0,0,,0,4,66,16.50,0,0,0
25,1996,1996-11-10,10,25.270,PHI,,BUF,L 17-24,0,0,,0,5,109,21.80,0,0,0
26,1996,1996-11-17,11,25.277,PHI,,WAS,L 21-26,0,0,,0,5,119,23.80,0,0,0
27,1996,1996-11-24,12,25.284,PHI,@,ARI,L 30-36,0,0,,0,8,253,31.63,1,1,6
28,1996,1996-12-01,13,25.291,PHI,,NYG,W 24-0,,,,,0,0,,0,,
29,1996,1996-12-05,14,25.295,PHI,@,IND,L 10-37,0,0,,0,5,85,17.00,0,0,0
30,1996,1996-12-14,15,25.304,PHI,@,NYJ,W 21-20,0,0,,0,4,80,20.00,0,0,0
31,1996,1996-12-22,16,25.312,PHI,,ARI,W 29-19,0,0,,0,3,62,20.67,0,0,0
32,1997,1997-08-31,1,26.198,PHI,@,NYG,L 17-31,0,0,,0,1,23,23.00,0,0,0
33,1997,1997-09-07,2,26.205,PHI,,GNB,W 10-9,0,0,,0,2,41,20.50,0,0,0
34,1997,1997-09-15,3,26.213,PHI,@,DAL,L 20-21,0,0,,0,6,107,17.83,0,0,0
