ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-10-31,7,21.340,MIA,@,CIN,W 22-14,,,,,,,,
2,2010,2010-11-07,8,21.347,MIA,@,BAL,L 10-26,,0,0,,0,0.0,0,0
3,2010,2010-11-14,9,21.354,MIA,,TEN,W 29-17,,0,0,,0,0.0,0,0
4,2010,2010-11-18,10,21.358,MIA,,CHI,L 0-16,,,,,,,,
5,2010,2010-11-28,11,22.003,MIA,@,OAK,W 33-17,,0,0,,0,0.0,0,0
6,2010,2010-12-05,12,22.010,MIA,,CLE,L 10-13,,1,0,0.00,0,0.0,0,0
7,2010,2010-12-12,13,22.017,MIA,@,NYJ,W 10-6,,0,0,,0,0.0,0,1
8,2010,2010-12-19,14,22.024,MIA,,BUF,L 14-17,,0,0,,0,0.0,0,0
9,2010,2010-12-26,15,22.031,MIA,,DET,L 27-34,,0,0,,0,0.0,0,0
10,2010,2011-01-02,16,22.038,MIA,@,NWE,L 7-38,,0,0,,0,0.0,0,1
11,2011,2011-09-08,1,22.287,NOR,@,GNB,L 34-42,,,,,,,,
12,2011,2011-09-18,2,22.297,NOR,,CHI,W 30-13,,,,,,,,
13,2011,2011-09-25,3,22.304,NOR,,HOU,W 40-33,,0,0,,0,0.0,0,0
14,2011,2011-10-02,4,22.311,NOR,@,JAX,W 23-10,,0,0,,0,0.0,0,0
15,2011,2011-10-09,5,22.318,NOR,@,CAR,W 30-27,,0,0,,0,0.0,0,0
16,2011,2011-10-16,6,22.325,NOR,@,TAM,L 20-26,,0,0,,0,0.0,0,0
17,2011,2011-10-23,7,22.332,NOR,,IND,W 62-7,,0,0,,0,0.0,1,1
18,2011,2011-10-30,8,22.339,NOR,@,STL,L 21-31,,,,,,,,
19,2011,2011-11-06,9,22.346,NOR,,TAM,W 27-16,,0,0,,0,0.0,0,0
20,2011,2011-11-13,10,22.353,NOR,@,ATL,W 26-23,,,,,,,,
21,2011,2011-11-28,11,23.003,NOR,,NYG,W 49-24,,,,,,,,
22,2011,2011-12-04,12,23.009,NOR,,DET,W 31-17,,,,,,,,
23,2011,2011-12-11,13,23.016,NOR,@,TEN,W 22-17,,0,0,,0,0.0,0,1
24,2011,2011-12-18,14,23.023,NOR,@,MIN,W 42-20,,0,0,,0,0.0,1,0
25,2011,2011-12-26,15,23.031,NOR,,ATL,W 45-16,,0,0,,0,0.0,1,2
26,2011,2012-01-01,16,23.037,NOR,,CAR,W 45-17,,,,,,,,
27,2012,2012-09-30,4,23.310,MIA,@,ARI,L 21-24,,,,,,,,
28,2012,2012-10-07,5,23.317,MIA,@,CIN,W 17-13,,0,0,,0,0.0,0,0
29,2012,2012-10-14,6,23.324,MIA,,STL,W 17-14,,0,0,,0,0.0,0,0
30,2012,2012-10-28,7,23.338,MIA,@,NYJ,W 30-9,,0,0,,0,0.0,0,0
31,2012,2012-11-04,8,23.345,MIA,@,IND,L 20-23,,,,,,,,
32,2012,2012-11-11,9,23.352,MIA,,TEN,L 3-37,,0,0,,0,0.0,0,0
33,2012,2012-11-15,10,23.356,MIA,@,BUF,L 14-19,,,,,,,,
34,2012,2012-11-25,11,24.000,MIA,,SEA,W 24-21,,,,,,,,
35,2012,2012-12-09,13,24.014,MIA,@,SFO,L 13-27,,,,,,,,
36,2012,2012-12-16,14,24.021,MIA,,JAX,W 24-3,,,,,,,,
37,2012,2012-12-23,15,24.028,MIA,,BUF,W 24-10,,0,0,,0,0.0,0,0
38,2012,2012-12-30,16,24.035,MIA,@,NWE,L 0-28,,0,0,,0,0.0,0,0
