ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1978,1978-09-03,1,22.127,ATL,,HOU,W 20-14,,,,,,,,,,,,,,,,,
2,1978,1978-09-10,2,22.134,ATL,@,RAM,L 0-10,,,,,,,,,,,,,,,,,
3,1978,1978-09-17,3,22.141,ATL,,CLE,L 16-24,0,0,,0,2,36,18.00,0,0,0,,0,0,0,0,0,0
4,1978,1978-09-24,4,22.148,ATL,@,TAM,L 9-14,,,,,,,,,,,,,,,,,
5,1978,1978-10-01,5,22.155,ATL,,NYG,W 23-20,0,0,,0,2,35,17.50,0,0,0,,0,0,0,0,0,0
6,1978,1978-10-08,6,22.162,ATL,@,PIT,L 7-31,,,,,,,,,,,,,,,,,
7,1978,1978-10-15,7,22.169,ATL,,DET,W 14-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
8,1978,1978-10-22,8,22.176,ATL,@,SFO,W 20-17,,,,,,,,,,,,,,,,,
9,1978,1978-10-30,9,22.184,ATL,,RAM,W 15-7,,,,,,,,,,,,,,,,,
10,1978,1978-11-05,10,22.190,ATL,,SFO,W 21-10,,,,,,,,,,,,,,,,,
11,1978,1978-11-12,11,22.197,ATL,@,NOR,W 20-17,,,,,,,,,,,,,,,,,
12,1978,1978-11-19,12,22.204,ATL,@,CHI,L 7-13,,,,,,,,,,,,,,,,,
13,1978,1978-11-26,13,22.211,ATL,,NOR,W 20-17,,,,,,,,,,,,,,,,,
14,1978,1978-12-03,14,22.218,ATL,@,CIN,L 7-37,,,,,,,,,,,,,,,,,
15,1978,1978-12-10,15,22.225,ATL,,WAS,W 20-17,,,,,,,,,,,,,,,,,
16,1978,1978-12-17,16,22.232,ATL,@,STL,L 21-42,,,,,,,,,,,,,,,,,
17,1979,1979-09-02,1,23.126,ATL,@,NOR,W 40-34,,,,,,,,,,,,,,,,,
18,1979,1979-09-10,2,23.134,ATL,@,PHI,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,20,0
19,1979,1979-09-16,3,23.140,ATL,,DEN,L 17-20,,,,,,,,,,,,,,,,,
20,1979,1979-09-23,4,23.147,ATL,@,DET,L 23-24,0,0,,0,3,53,17.67,0,0,0,,0,0,0,0,0,0
21,1979,1979-09-30,5,23.154,ATL,,WAS,L 7-16,,,,,,,,,,,,,,,,,
22,1979,1979-10-07,6,23.161,ATL,,GNB,W 25-7,,,,,,,,,,,,,,,,,
23,1979,1979-10-14,7,23.168,ATL,@,OAK,L 19-50,0,0,,0,3,38,12.67,0,0,0,,0,0,0,0,0,0
24,1979,1979-10-21,8,23.175,ATL,@,SFO,L 15-20,0,0,,0,1,8,8.00,0,0,0,,0,0,0,0,0,0
25,1979,1979-10-29,9,23.183,ATL,,SEA,L 28-31,0,0,,0,1,3,3.00,0,0,0,,0,0,0,0,0,0
26,1979,1979-11-04,10,23.189,ATL,,TAM,W 17-14,,,,,,,,,,,,,,,,,
27,1979,1979-11-11,11,23.196,ATL,@,NYG,L 3-24,,,,,,,,,,,,,,,,,
28,1979,1979-11-19,12,23.204,ATL,@,RAM,L 14-20,,,,,,,,,,,,,,,,,
29,1979,1979-11-25,13,23.210,ATL,,NOR,L 6-37,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0,0,0
30,1979,1979-12-02,14,23.217,ATL,@,SDG,W 28-26,,,,,,,,,,,,,,,,,
31,1979,1979-12-09,15,23.224,ATL,,RAM,L 13-34,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
32,1979,1979-12-16,16,23.231,ATL,,SFO,W 31-21,,,,,,,,,,,,,,,,,
33,1980,1980-09-07,1,24.131,ATL,@,MIN,L 23-24,0,0,,0,1,6,6.00,0,0,0,,0,0,0,0,0,0
34,1980,1980-09-14,2,24.138,ATL,@,NWE,W 37-21,,,,,,,,,,,,,,,,,
35,1980,1980-09-21,3,24.145,ATL,,MIA,L 17-20,,,,,,,,,,,,,,,,,
36,1980,1980-09-28,4,24.152,ATL,@,SFO,W 20-17,,,,,,,,,,,,,,,,,
37,1980,1980-10-05,5,24.159,ATL,,DET,W 43-28,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
38,1980,1980-10-12,6,24.166,ATL,,NYJ,L 7-14,,,,,,,,,,,,,,,,,
39,1980,1980-10-19,7,24.173,ATL,@,NOR,W 41-14,,,,,,,,,,,,,,,,,
40,1980,1980-10-26,8,24.180,ATL,,RAM,W 13-10,,,,,,,,,,,,,,,,,
41,1980,1980-11-02,9,24.187,ATL,@,BUF,W 30-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
42,1980,1980-11-09,10,24.194,ATL,@,STL,W 33-27,,,,,,,,,,,,,,,,,
43,1980,1980-11-16,11,24.201,ATL,,NOR,W 31-13,,,,,,,,,,,,,,,,,
44,1980,1980-11-23,12,24.208,ATL,,CHI,W 28-17,,,,,,,,,,,,,,,,,
45,1980,1980-11-30,13,24.215,ATL,,WAS,W 10-6,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0,0,0
46,1980,1980-12-07,14,24.222,ATL,@,PHI,W 20-17,0,0,,0,1,13,13.00,0,0,0,,0,0,0,0,0,0
47,1980,1980-12-14,15,24.229,ATL,,SFO,W 35-10,,,,,,,,,,,,,,,,,
48,1980,1980-12-21,16,24.236,ATL,@,RAM,L 17-20,,,,,,,,,,,,,,,,,
49,1981,1981-09-06,1,25.130,ATL,,NOR,W 27-0,,,,,,,,,0,0,,0,,,,,
50,1981,1981-09-13,2,25.137,ATL,@,GNB,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
51,1981,1981-09-20,3,25.144,ATL,,SFO,W 34-17,0,0,,0,0,0,,0,0,0,,0,1,6,1,101,1
52,1981,1981-09-27,4,25.151,ATL,@,CLE,L 17-28,0,0,,0,0,0,,0,0,0,,0,0,0,1,30,0
53,1981,1981-10-05,5,25.159,ATL,@,PHI,L 13-16,,,,,,,,,0,0,,0,,,,,
54,1981,1981-10-11,6,25.165,ATL,,RAM,L 35-37,,,,,,,,,0,0,,0,,,,,
55,1981,1981-10-18,7,25.172,ATL,,STL,W 41-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,40,0
56,1981,1981-10-25,8,25.179,ATL,,NYG,L 24-27,,,,,,,,,0,0,,0,,,,,
57,1981,1981-11-01,9,25.186,ATL,@,NOR,W 41-10,,,,,,,,,0,0,,0,,,,,
58,1981,1981-11-08,10,25.193,ATL,@,SFO,L 14-17,,,,,,,,,0,0,,0,,,,,
59,1981,1981-11-15,11,25.200,ATL,,PIT,L 20-34,,,,,,,,,0,0,,0,,,,,
60,1981,1981-11-23,12,25.208,ATL,,MIN,W 31-30,0,0,,0,0,0,,0,0,0,,0,0,0,2,0,0
61,1981,1981-11-29,13,25.214,ATL,@,HOU,W 31-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,48,0
62,1981,1981-12-06,14,25.221,ATL,@,TAM,L 23-24,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
63,1981,1981-12-14,15,25.229,ATL,@,RAM,L 16-21,,,,,,,,,0,0,,0,,,,,
64,1981,1981-12-20,16,25.235,ATL,,CIN,L 28-30,,,,,,,,,0,0,,0,,,,,
65,1982,1982-09-12,1,26.136,ATL,@,NYG,W 16-14,,,,,,,,,,,,,,,,,
66,1982,1982-09-19,2,26.143,ATL,,RAI,L 14-38,,,,,,,,,,,,,,,,,
67,1982,1982-11-21,3,26.206,ATL,,RAM,W 34-17,,,,,,,,,,,,,,,,,
68,1982,1982-11-28,4,26.213,ATL,,STL,L 20-23,,,,,,,,,,,,,,,,,
69,1982,1982-12-05,5,26.220,ATL,@,DEN,W 34-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,28,0
70,1982,1982-12-12,6,26.227,ATL,,NOR,W 35-0,,,,,,,,,,,,,,,,,
71,1982,1982-12-19,7,26.234,ATL,@,SFO,W 17-7,,,,,,,,,,,,,,,,,
72,1982,1982-12-26,8,26.241,ATL,,GNB,L 7-38,,,,,,,,,,,,,,,,,
73,1982,1983-01-02,9,26.248,ATL,@,NOR,L 6-35,,,,,,,,,,,,,,,,,
74,1983,1983-09-04,1,27.128,ATL,@,CHI,W 20-17,,,,,,,,,,,,,,,,,
75,1983,1983-09-11,2,27.135,ATL,,NYG,L 13-16,,,,,,,,,,,,,,,,,
76,1983,1983-09-18,3,27.142,ATL,@,DET,W 30-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,25,0
77,1983,1983-09-25,4,27.149,ATL,@,SFO,L 20-24,,,,,,,,,,,,,,,,,
78,1983,1983-10-02,5,27.156,ATL,,PHI,L 24-28,,,,,,,,,,,,,,,,,
79,1983,1983-10-09,6,27.163,ATL,,NOR,L 17-19,0,0,,0,0,0,,0,0,0,,0,0,0,1,7,0
80,1983,1983-10-16,7,27.170,ATL,@,RAM,L 21-27,,,,,,,,,,,,,,,,,
81,1983,1983-10-23,8,27.177,ATL,@,NYJ,W 27-21,,,,,,,,,,,,,,,,,
82,1983,1983-10-30,9,27.184,ATL,,NWE,W 24-13,,,,,,,,,,,,,,,,,
83,1983,1983-11-06,10,27.191,ATL,@,NOR,L 10-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,24,0
84,1983,1983-11-14,11,27.199,ATL,,RAM,L 13-36,,,,,,,,,,,,,,,,,
85,1983,1983-11-20,12,27.205,ATL,,SFO,W 28-24,,,,,,,,,,,,,,,,,
86,1983,1983-11-27,13,27.212,ATL,,GNB,W 47-41,,,,,,,,,,,,,,,,,
87,1983,1983-12-04,14,27.219,ATL,@,WAS,L 21-37,,,,,,,,,,,,,,,,,
88,1983,1983-12-10,15,27.225,ATL,@,MIA,L 24-31,,,,,,,,,,,,,,,,,
89,1983,1983-12-18,16,27.233,ATL,,BUF,W 31-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
90,1984,1984-09-02,1,28.126,ATL,@,NOR,W 36-28,0,0,,0,,,,,,,,,,,,,
91,1984,1984-09-09,2,28.133,ATL,,DET,L 24-27,0,0,,0,,,,,,,,,,,,,
92,1984,1984-09-16,3,28.140,ATL,@,MIN,L 20-27,0,0,,0,,,,,,,,,,,,,
93,1984,1984-09-23,4,28.147,ATL,,HOU,W 42-10,0,0,,0,,,,,,,,,,,,,
94,1984,1984-09-30,5,28.154,ATL,@,SFO,L 5-14,0,0,,0,,,,,,,,,,,,,
95,1984,1984-10-07,6,28.161,ATL,@,RAM,W 30-28,0,0,,0,,,,,,,,,,,,,
96,1984,1984-10-14,7,28.168,ATL,,NYG,L 7-19,0,0,,0,,,,,,,,,,,,,
97,1984,1984-10-22,8,28.176,ATL,,RAM,L 10-24,0,0,,0,,,,,,,,,,,,,
98,1984,1984-10-28,9,28.182,ATL,@,PIT,L 10-35,0,0,,0,,,,,,,,,,,,,
99,1984,1984-11-05,10,28.190,ATL,@,WAS,L 14-27,0,0,,0,,,,,,,,,,,,,
100,1984,1984-11-11,11,28.196,ATL,,NOR,L 13-17,1,7,7.00,0,0,0,,0,0,0,,0,0,0,1,0,0
101,1984,1984-11-18,12,28.203,ATL,,CLE,L 7-23,0,0,,0,,,,,,,,,,,,,
102,1984,1984-11-25,13,28.210,ATL,@,CIN,L 14-35,0,0,,0,,,,,,,,,,,,,
103,1984,1984-12-02,14,28.217,ATL,,SFO,L 17-35,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
104,1984,1984-12-09,15,28.224,ATL,@,TAM,L 6-23,0,0,,0,,,,,,,,,,,,,
105,1984,1984-12-16,16,28.231,ATL,,PHI,W 26-10,0,0,,0,,,,,,,,,,,,,
106,1985,1985-09-08,1,29.132,ATL,,DET,L 27-28,0,0,,0,,,,,,,,,,,,,
107,1985,1985-09-15,2,29.139,ATL,@,SFO,L 16-35,0,0,,0,,,,,,,,,,,,,
108,1985,1985-09-22,3,29.146,ATL,,DEN,L 28-44,0,0,,0,,,,,,,,,,,,,
109,1985,1985-09-29,4,29.153,ATL,@,RAM,L 6-17,0,0,,0,,,,,,,,,,,,,
110,1985,1985-10-06,5,29.160,ATL,,SFO,L 17-38,0,0,,0,,,,,,,,,,,,,
111,1985,1985-10-13,6,29.167,ATL,@,SEA,L 26-30,0,0,,0,0,0,,0,0,0,,0,0,0,1,9,0
112,1985,1985-10-20,7,29.174,ATL,,NOR,W 31-24,0,0,,0,,,,,,,,,,,,,
113,1985,1985-10-27,8,29.181,ATL,@,DAL,L 10-24,0,0,,0,,,,,,,,,,,,,
114,1985,1985-11-03,9,29.188,ATL,,WAS,L 10-44,0,0,,0,,,,,,,,,,,,,
115,1985,1985-11-10,10,29.195,ATL,@,PHI,L 17-23,0,0,,0,,,,,,,,,,,,,
116,1985,1985-11-17,11,29.202,ATL,,RAM,W 30-14,0,0,,0,,,,,,,,,,,,,
117,1985,1985-11-24,12,29.209,ATL,@,CHI,L 0-36,0,0,,0,,,,,,,,,,,,,
118,1985,1985-12-01,13,29.216,ATL,,RAI,L 24-34,0,0,,0,,,,,,,,,,,,,
119,1985,1985-12-08,14,29.223,ATL,@,KAN,L 10-38,0,0,,0,0,0,,0,0,0,,0,0,0,1,36,0
120,1985,1985-12-15,15,29.230,ATL,,MIN,W 14-13,0,0,,0,,,,,,,,,,,,,
