ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2001,2001-09-09,1,24.308,BUF,,NOR,L 6-24,,,,,,,0.0%,,,,,
2,2001,2001-09-23,2,24.322,BUF,@,IND,L 26-42,,,,,,,0.0%,,,,,
3,2001,2001-09-30,3,24.329,BUF,,PIT,L 3-20,,0,,,,,0.0%,,,,,
4,2001,2001-10-07,4,24.336,BUF,,NYJ,L 36-42,,,,,,,0.0%,,,,,
5,2001,2001-10-18,5,24.347,BUF,@,JAX,W 13-10,,0,,,,,0.0%,,,,,
6,2001,2001-10-28,6,24.357,BUF,@,SDG,L 24-27,,,,,,,0.0%,,,,,
7,2001,2001-11-04,7,24.364,BUF,,IND,L 14-30,,,,,,,0.0%,,,,,
8,2001,2001-11-11,8,25.006,BUF,@,NWE,L 11-21,,,,,,,0.0%,,,,,
9,2001,2001-11-18,9,25.013,BUF,,SEA,L 20-23,,,,,,,0.0%,,,,,
10,2001,2001-11-25,10,25.020,BUF,,MIA,L 27-34,,0,,,,,0.0%,,,,,
11,2001,2001-12-02,11,25.027,BUF,@,SFO,L 0-35,*,,,,,,0.0%,,,,,
12,2001,2001-12-09,12,25.034,BUF,,CAR,W 25-24,,1,1,9,9.00,0,100.0%,9.00,0,0,,0
13,2001,2001-12-16,13,25.041,BUF,,NWE,L 9-12,,,,,,,0.0%,,,,,
14,2001,2001-12-23,14,25.048,BUF,@,ATL,L 30-33,,0,,,,,0.0%,,,,,
15,2001,2001-12-30,15,25.055,BUF,@,NYJ,W 14-9,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0
16,2001,2002-01-06,16,25.062,BUF,@,MIA,L 7-34,,,,,,,0.0%,,,,,
17,2002,2002-09-08,1,25.307,BUF,,NYJ,L 31-37,,0,,,,,0.0%,,,,,
18,2002,2002-09-15,2,25.314,BUF,@,MIN,W 45-39,,0,0,0,,0,0.0%,,1,11,11.00,0
19,2002,2002-09-22,3,25.321,BUF,@,DEN,L 23-28,,0,,,,,0.0%,,,,,
20,2002,2002-09-29,4,25.328,BUF,,CHI,W 33-27,,,,,,,0.0%,,,,,
21,2002,2002-10-06,5,25.335,BUF,,OAK,L 31-49,*,1,,,,,0.0%,,,,,
22,2002,2002-10-13,6,25.342,BUF,@,HOU,W 31-24,*,2,,,,,0.0%,,,,,
23,2002,2002-10-20,7,25.349,BUF,@,MIA,W 23-10,,,,,,,0.0%,,,,,
24,2002,2002-10-27,8,25.356,BUF,,DET,W 24-17,,2,2,14,7.00,0,100.0%,7.00,0,0,,0
25,2002,2002-11-03,9,25.363,BUF,,NWE,L 7-38,,0,0,0,,0,0.0%,,1,18,18.00,0
26,2002,2002-11-17,10,26.012,BUF,@,KAN,L 16-17,,2,1,8,8.00,0,50.0%,4.00,0,0,,0
27,2002,2002-11-24,11,26.019,BUF,@,NYJ,L 13-31,,1,1,11,11.00,0,100.0%,11.00,1,16,16.00,0
28,2002,2002-12-01,12,26.026,BUF,,MIA,W 38-21,,0,,,,,0.0%,,,,,
29,2002,2002-12-08,13,26.033,BUF,@,NWE,L 17-27,,,,,,,0.0%,,,,,
30,2002,2002-12-15,14,26.040,BUF,,SDG,W 20-13,,0,,,,,0.0%,,,,,
31,2002,2002-12-22,15,26.047,BUF,@,GNB,L 0-10,*,,,,,,0.0%,,,,,
32,2002,2002-12-29,16,26.054,BUF,,CIN,W 27-9,*,,,,,,0.0%,,,,,
33,2003,2003-09-07,1,26.306,BUF,,NWE,W 31-0,,,,,,,0.0%,,,,,
34,2003,2003-09-14,2,26.313,BUF,@,JAX,W 38-17,,0,,,,,0.0%,,,,,
35,2003,2003-09-21,3,26.320,BUF,@,MIA,L 7-17,,,,,,,0.0%,,,,,
