ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-09-26,3,23.223,MIN,,DET,W 24-10,*,0,0,,0,0.0,3,1
2,2010,2010-10-24,6,23.251,MIN,@,GNB,L 24-28,,0,0,,0,0.0,1,2
3,2010,2010-10-31,7,23.258,MIN,@,NWE,L 18-28,*,0,0,,0,0.0,3,1
4,2010,2010-11-07,8,23.265,MIN,,ARI,W 27-24,*,0,0,,0,0.0,0,1
5,2010,2010-11-14,9,23.272,MIN,@,CHI,L 13-27,*,0,0,,0,0.0,4,0
6,2010,2010-11-21,10,23.279,MIN,,GNB,L 3-31,*,0,0,,0,0.0,4,0
7,2011,2011-09-11,1,24.208,MIN,@,SDG,L 17-24,,0,0,,0,0.0,3,0
8,2011,2011-09-18,2,24.215,MIN,,TAM,L 20-24,,,,,,,,
9,2011,2011-09-25,3,24.222,MIN,,DET,L 23-26,*,0,0,,0,0.0,3,0
10,2011,2011-10-02,4,24.229,MIN,@,KAN,L 17-22,,0,0,,0,0.0,4,1
11,2011,2011-10-09,5,24.236,MIN,,ARI,W 34-10,*,0,0,,0,0.0,3,2
12,2011,2011-10-16,6,24.243,MIN,@,CHI,L 10-39,*,0,0,,0,0.0,2,0
13,2012,2012-09-09,1,25.207,MIN,,JAX,W 26-23,*,0,0,,0,1.0,4,1
14,2012,2012-09-16,2,25.214,MIN,@,IND,L 20-23,*,0,0,,0,0.0,5,1
15,2012,2012-09-23,3,25.221,MIN,,SFO,W 24-13,*,0,0,,0,0.0,3,1
16,2012,2012-09-30,4,25.228,MIN,@,DET,W 20-13,*,0,0,,0,0.0,1,0
17,2012,2012-10-07,5,25.235,MIN,,TEN,W 30-7,*,0,0,,0,0.0,3,1
18,2012,2012-10-14,6,25.242,MIN,@,WAS,L 26-38,*,0,0,,0,0.0,4,2
19,2012,2012-10-21,7,25.249,MIN,,ARI,W 21-14,*,0,0,,0,0.0,2,0
20,2012,2012-10-25,8,25.253,MIN,,TAM,L 17-36,*,0,0,,0,0.0,1,2
21,2012,2012-12-23,15,25.312,MIN,@,HOU,W 23-6,*,0,0,,0,0.0,1,0
22,2012,2012-12-30,16,25.319,MIN,,GNB,W 37-34,*,0,0,,0,0.0,3,0
23,2013,2013-09-08,1,26.205,MIN,@,DET,L 24-34,*,0,0,,0,0.0,5,0
24,2013,2013-09-15,2,26.212,MIN,@,CHI,L 30-31,*,0,0,,0,0.0,3,0
25,2013,2013-09-22,3,26.219,MIN,,CLE,L 27-31,*,,,,,,,
26,2013,2013-10-13,5,26.240,MIN,,CAR,L 10-35,*,0,0,,0,0.0,5,1
27,2013,2013-10-21,6,26.248,MIN,@,NYG,L 7-23,*,0,0,,0,0.0,2,0
28,2013,2013-10-27,7,26.254,MIN,,GNB,L 31-44,*,0,0,,0,0.0,4,0
29,2013,2013-11-17,10,26.275,MIN,@,SEA,L 20-41,*,0,0,,0,0.0,1,1
30,2013,2013-11-24,11,26.282,MIN,@,GNB,T 26-26,*,0,0,,0,0.0,7,1
31,2013,2013-12-01,12,26.289,MIN,,CHI,W 23-20,*,0,0,,0,0.0,3,1
32,2013,2013-12-08,13,26.296,MIN,@,BAL,L 26-29,*,0,0,,0,0.0,5,1
33,2013,2013-12-22,15,26.310,MIN,@,CIN,L 14-42,,0,0,,0,0.0,4,1
34,2013,2013-12-29,16,26.317,MIN,,DET,W 14-13,*,0,0,,0,0.0,2,0
35,2014,2014-09-14,2,27.211,SFO,,CHI,L 20-28,,,,,,,,
36,2014,2014-09-21,3,27.218,SFO,@,ARI,L 14-23,,0,0,,0,0.0,1,0
37,2014,2014-09-28,4,27.225,SFO,,PHI,W 26-21,,0,0,,0,0.0,2,0
38,2014,2014-10-05,5,27.232,SFO,,KAN,W 22-17,,0,0,,0,0.0,1,0
39,2014,2014-10-13,6,27.240,SFO,@,STL,W 31-17,,1,2,2.00,0,0.0,1,0
40,2014,2014-10-19,7,27.246,SFO,@,DEN,L 17-42,,0,0,,0,0.0,1,0
