ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1976,1976-09-12,1,22.112,SEA,,STL,L 24-30,12,37,3.08,0,0,0,,0,6,119,19.83,0
2,1976,1976-09-19,2,22.119,SEA,@,WAS,L 7-31,1,7,7.00,0,0,0,,0,0,0,,0
3,1976,1976-09-26,3,22.126,SEA,,SFO,L 21-37,0,0,,0,0,0,,0,4,79,19.75,0
4,1976,1976-10-03,4,22.133,SEA,,DAL,L 13-28,0,0,,0,0,0,,0,1,24,24.00,0
5,1976,1976-10-10,5,22.140,SEA,@,GNB,L 20-27,0,0,,0,0,0,,0,4,58,14.50,0
6,1976,1976-10-31,8,22.161,DET,,GNB,W 27-6,2,27,13.50,0,0,0,,0,0,0,,0
7,1976,1976-11-07,9,22.168,DET,@,MIN,L 23-31,,,,,,,,,,,,
8,1976,1976-11-14,10,22.175,DET,@,NOR,L 16-17,,,,,,,,,,,,
9,1976,1976-11-21,11,22.182,DET,,CHI,W 14-10,,,,,,,,,,,,
10,1976,1976-11-25,12,22.186,DET,,BUF,W 27-14,,,,,,,,,,,,
11,1976,1976-12-05,13,22.196,DET,@,NYG,L 10-24,,,,,,,,,,,,
12,1976,1976-12-11,14,22.202,DET,,RAM,L 17-20,,,,,,,,,,,,
13,1977,1977-09-18,1,23.118,DET,@,CHI,L 20-30,,,,,,,,,,,,
14,1977,1977-09-25,2,23.125,DET,,NOR,W 23-19,,,,,,,,,,,,
15,1977,1977-10-02,3,23.132,DET,,PHI,W 17-13,,,,,,,,,,,,
16,1977,1977-10-09,4,23.139,DET,@,MIN,L 7-14,0,0,,0,0,0,,0,1,5,5.00,0
17,1977,1977-10-16,5,23.146,DET,,GNB,W 10-6,,,,,,,,,,,,
18,1977,1977-10-23,6,23.153,DET,@,SFO,L 7-28,0,0,,0,0,0,,0,2,42,21.00,0
19,1977,1977-10-30,7,23.160,DET,@,DAL,L 0-37,,,,,,,,,,,,
20,1977,1977-11-06,8,23.167,DET,,SDG,W 20-0,,,,,,,,,,,,
21,1977,1977-11-13,9,23.174,DET,@,ATL,L 6-17,,,,,,,,,,,,
22,1977,1977-11-20,10,23.181,DET,,TAM,W 16-7,2,3,1.50,0,0,0,,0,0,0,,0
23,1977,1977-11-24,11,23.185,DET,,CHI,L 14-31,,,,,,,,,,,,
24,1977,1977-12-04,12,23.195,DET,@,GNB,L 9-10,,,,,,,,,,,,
25,1977,1977-12-11,13,23.202,DET,@,BAL,W 13-10,0,0,,0,0,0,,0,2,26,13.00,0
26,1977,1977-12-17,14,23.208,DET,,MIN,L 21-30,1,1,1.00,0,1,6,6.00,0,1,13,13.00,0
27,1978,1978-09-03,1,24.103,DET,,GNB,L 7-13,,,,,,,,,,,,
28,1978,1978-09-09,2,24.109,DET,@,TAM,W 15-7,2,5,2.50,0,0,0,,0,0,0,,0
29,1978,1978-09-17,3,24.117,DET,,CHI,L 0-19,,,,,,,,,,,,
30,1978,1978-09-24,4,24.124,DET,@,SEA,L 16-28,,,,,,,,,,,,
31,1978,1978-10-01,5,24.131,DET,@,GNB,L 14-35,,,,,,,,,,,,
32,1978,1978-10-08,6,24.138,DET,,WAS,L 19-21,,,,,,,,,,,,
