ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-11-26,11,25.151,DAL,@,PHI,L 13-35,0,0,,0,0,0,1,5,0,0,0,,0
2,1962,1962-12-02,12,26.157,DAL,,CLE,W 45-21,0,0,,0,0,0,1,12,0,0,0,,0
3,1962,1962-12-16,14,26.171,DAL,@,NYG,L 31-41,0,0,,0,0,0,1,21,0,0,0,,0
4,1963,1963-10-13,5,27.107,DAL,,DET,W 17-14,0,0,,0,0,0,2,3,0,0,0,,0
5,1963,1963-12-15,14,27.170,DAL,@,STL,W 28-24,1,2,2.00,0,0,0,0,0,0,0,0,,0
6,1964,1964-10-04,4,28.098,DAL,@,CLE,L 6-27,0,0,,0,0,0,1,6,0,0,0,,0
7,1964,1964-10-25,7,28.119,DAL,@,STL,W 31-13,0,0,,0,0,0,1,21,0,0,0,,0
8,1964,1964-11-29,12,28.154,DAL,,GNB,L 21-45,0,0,,0,0,0,0,0,0,1,37,37.00,0
9,1966,1966-12-04,12,30.159,DAL,,STL,W 31-17,1,30,30.00,0,0,0,0,0,0,0,0,,0
10,1967,1967-09-17,1,31.081,DAL,@,CLE,W 21-14,0,0,,0,1,6,1,28,1,0,0,,0
11,1968,1968-09-15,1,32.079,DAL,,DET,W 59-13,0,0,,0,1,6,2,39,1,0,0,,0
12,1968,1968-09-29,3,32.093,DAL,@,PHI,W 45-13,0,0,,0,0,0,2,58,0,0,0,,0
13,1968,1968-10-06,4,32.100,DAL,@,STL,W 27-10,0,0,,0,0,0,1,13,0,0,0,,0
14,1968,1968-11-03,8,32.128,DAL,@,NOR,W 17-3,0,0,,0,0,0,1,5,0,0,0,,0
15,1969,1969-11-16,9,33.141,DAL,@,WAS,W 41-28,0,0,,0,0,0,1,28,0,0,0,,0
16,1969,1969-11-23,10,33.148,DAL,@,RAM,L 23-24,0,0,,0,0,0,1,9,0,0,0,,0
17,1970,1970-09-20,1,34.084,DAL,@,PHI,W 17-7,0,0,,0,0,0,1,17,0,0,0,,0
18,1970,1970-09-27,2,34.091,DAL,,NYG,W 28-10,,,,,,,,,,,,,
19,1970,1970-10-04,3,34.098,DAL,@,STL,L 7-20,0,0,,0,0,0,1,1,0,0,0,,0
20,1970,1970-10-11,4,34.105,DAL,,ATL,W 13-0,,,,,,,,,,,,,
21,1970,1970-10-18,5,34.112,DAL,@,MIN,L 13-54,,,,,,,,,,,,,
22,1970,1970-10-25,6,34.119,DAL,@,KAN,W 27-16,,,,,,,,,,,,,
23,1970,1970-11-01,7,34.126,DAL,,PHI,W 21-17,,,,,,,,,,,,,
24,1970,1970-11-08,8,34.133,DAL,@,NYG,L 20-23,,,,,,,,,,,,,
25,1970,1970-11-16,9,34.141,DAL,,STL,L 0-38,,,,,,,,,,,,,
26,1970,1970-11-22,10,34.147,DAL,@,WAS,W 45-21,,,,,,,,,,,,,
27,1970,1970-11-26,11,34.151,DAL,,GNB,W 16-3,,,,,,,,,,,,,
28,1970,1970-12-06,12,34.161,DAL,,WAS,W 34-0,,,,,,,,,,,,,
29,1970,1970-12-12,13,34.167,DAL,@,CLE,W 6-2,,,,,,,,,,,,,
30,1970,1970-12-20,14,34.175,DAL,,HOU,W 52-10,,,,,,,,,,,,,
31,1971,1971-09-19,1,35.083,DAL,@,BUF,W 49-37,0,0,,0,0,0,1,53,0,0,0,,0
32,1971,1971-09-26,2,35.090,DAL,@,PHI,W 42-7,0,0,,0,0,0,1,14,0,0,0,,0
33,1971,1971-10-03,3,35.097,DAL,,WAS,L 16-20,,,,,,,,,,,,,
34,1971,1971-10-11,4,35.105,DAL,,NYG,W 20-13,,,,,,,,,,,,,
35,1971,1971-10-17,5,35.111,DAL,@,NOR,L 14-24,,,,,,,,,,,,,
36,1971,1971-10-24,6,35.118,DAL,,NWE,W 44-21,0,0,,0,0,0,1,18,0,0,0,,0
37,1971,1971-10-31,7,35.125,DAL,@,CHI,L 19-23,,,,,,,,,,,,,
38,1971,1971-11-07,8,35.132,DAL,@,STL,W 16-13,,,,,,,,,,,,,
39,1971,1971-11-14,9,35.139,DAL,,PHI,W 20-7,,,,,,,,,,,,,
40,1971,1971-11-21,10,35.146,DAL,@,WAS,W 13-0,,,,,,,,,,,,,
41,1971,1971-11-25,11,35.150,DAL,,RAM,W 28-21,0,0,,0,0,0,1,12,0,0,0,,0
42,1971,1971-12-04,12,35.159,DAL,,NYJ,W 52-10,,,,,,,,,,,,,
43,1971,1971-12-12,13,35.167,DAL,@,NYG,W 42-14,0,0,,0,0,0,1,25,0,0,0,,0
44,1971,1971-12-18,14,35.173,DAL,,STL,W 31-12,,,,,,,,,,,,,
45,1972,1972-09-17,1,36.081,DAL,,PHI,W 28-6,,,,,,,,,,,,,
46,1972,1972-09-24,2,36.088,DAL,@,NYG,W 23-14,0,0,,0,0,0,1,7,0,0,0,,0
47,1972,1972-10-01,3,36.095,DAL,@,GNB,L 13-16,,,,,,,,,,,,,
48,1972,1972-10-08,4,36.102,DAL,,PIT,W 17-13,,,,,,,,,,,,,
49,1972,1972-10-15,5,36.109,DAL,@,BAL,W 21-0,,,,,,,,,,,,,
50,1972,1972-10-22,6,36.116,DAL,@,WAS,L 20-24,,,,,,,,,,,,,
51,1972,1972-10-30,7,36.124,DAL,,DET,W 28-24,,,,,,,,,,,,,
52,1972,1972-11-05,8,36.130,DAL,@,SDG,W 34-28,,,,,,,,,,,,,
53,1972,1972-11-12,9,36.137,DAL,,STL,W 33-24,,,,,,,,,,,,,
54,1972,1972-11-19,10,36.144,DAL,@,PHI,W 28-7,,,,,,,,,,,,,
55,1972,1972-11-23,11,36.148,DAL,,SFO,L 10-31,,,,,,,,,,,,,
56,1972,1972-12-03,12,36.158,DAL,@,STL,W 27-6,,,,,,,,,,,,,
57,1972,1972-12-09,13,36.164,DAL,,WAS,W 34-24,,,,,,,,,,,,,
58,1973,1973-09-30,3,37.094,DAL,,STL,W 45-10,,,,,,,,,,,,,
