ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1973,1973-10-21,6,22.150,CIN,,KAN,W 14-6,,,,,,,,,,,,,,,,,,
2,1973,1973-11-11,9,22.171,CIN,@,BUF,W 16-13,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0.0,0,0,0
3,1973,1973-11-18,10,22.178,CIN,,NYJ,W 20-14,,,,,,,,,,,,,,,,,,
4,1973,1973-11-25,11,22.185,CIN,,STL,W 42-24,,,,,,,,,,,,,,,,,,
5,1973,1973-12-02,12,22.192,CIN,,MIN,W 27-0,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0.0,0,0,0
6,1973,1973-12-09,13,22.199,CIN,,CLE,W 34-17,,,,,,,,,,,,,,,,,,
7,1973,1973-12-16,14,22.206,CIN,@,HOU,W 27-24,,,,,,,,,,,,,,,,,,
8,1974,1974-09-15,1,23.114,CIN,,CLE,W 33-7,0,0,,0,0,0,,0,1,-6,-6.00,0,0,0,0.0,0,0,0
9,1974,1974-09-22,2,23.121,CIN,,SDG,L 17-20,,,,,,,,,,,,,,,,,,
10,1974,1974-10-06,4,23.135,CIN,,WAS,W 28-17,,,,,,,,,,,,,,,,,,
11,1974,1974-10-13,5,23.142,CIN,@,CLE,W 34-24,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0.0,0,0,0
12,1974,1974-10-20,6,23.149,CIN,@,OAK,L 27-30,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0,0.0,0,0,0
13,1974,1974-10-27,7,23.156,CIN,,HOU,L 21-34,,,,,,,,,,,,,,,,,,
14,1974,1974-11-03,8,23.163,CIN,@,BAL,W 24-14,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0.0,0,0,0
15,1974,1974-11-10,9,23.170,CIN,,PIT,W 17-10,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,0,0,0
16,1974,1974-11-17,10,23.177,CIN,@,HOU,L 3-20,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0.0,0,0,0
17,1974,1974-11-24,11,23.184,CIN,,KAN,W 33-6,0,0,,0,0,0,,0,2,5,2.50,0,0,0,0.0,0,0,0
18,1974,1974-12-02,12,23.192,CIN,@,MIA,L 3-24,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0.0,0,0,0
19,1974,1974-12-08,13,23.198,CIN,,DET,L 19-23,0,0,,0,1,17,17.00,0,1,1,1.00,0,0,0,0.0,0,0,0
20,1974,1974-12-14,14,23.204,CIN,@,PIT,L 3-27,,,,,,,,,,,,,,,,,,
21,1975,1975-09-21,1,24.120,CIN,,CLE,W 24-17,,,,,,,,,,,,,,,,,,
22,1975,1975-09-28,2,24.127,CIN,@,NOR,W 21-0,0,0,,0,0,0,,0,1,31,31.00,0,0,0,0.0,0,0,0
23,1975,1975-10-05,3,24.134,CIN,@,HOU,W 21-19,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0.0,1,4,0
24,1975,1975-10-12,4,24.141,CIN,,NWE,W 27-10,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0.0,0,0,0
25,1975,1975-10-19,5,24.148,CIN,,OAK,W 14-10,0,0,,0,0,0,,0,3,38,12.67,0,0,0,0.0,0,0,0
26,1975,1975-10-26,6,24.155,CIN,@,ATL,W 21-14,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0.0,0,0,0
27,1975,1975-11-02,7,24.162,CIN,,PIT,L 24-30,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0.0,0,0,0
28,1975,1975-11-09,8,24.169,CIN,@,DEN,W 17-16,0,0,,0,0,0,,0,3,10,3.33,0,0,0,0.0,0,0,0
29,1975,1975-11-17,9,24.177,CIN,,BUF,W 33-24,,,,,,,,,,,,,,,,,,
30,1975,1975-11-23,10,24.183,CIN,@,CLE,L 23-35,0,0,,0,0,0,,0,2,5,2.50,0,0,0,0.0,0,0,0
31,1975,1975-11-30,11,24.190,CIN,,HOU,W 23-19,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0.0,0,0,0
32,1975,1975-12-07,12,24.197,CIN,@,PHI,W 31-0,0,0,,0,0,0,,0,4,18,4.50,0,0,0,0.0,1,40,0
33,1975,1975-12-13,13,24.203,CIN,@,PIT,L 14-35,0,0,,0,0,0,,0,1,-2,-2.00,0,0,0,0.0,0,0,0
34,1975,1975-12-21,14,24.211,CIN,,SDG,W 47-17,0,0,,0,0,0,,0,2,2,1.00,0,0,0,0.0,0,0,0
35,1976,1976-09-12,1,25.111,SEA,,STL,L 24-30,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,0,0,0
36,1976,1976-09-19,2,25.118,SEA,@,WAS,L 7-31,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
37,1976,1976-09-26,3,25.125,SEA,,SFO,L 21-37,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0.0,0,0,0
38,1976,1976-10-03,4,25.132,SEA,,DAL,L 13-28,0,0,,0,2,46,23.00,0,0,0,,0,0,0,0.0,0,0,0
39,1976,1976-10-10,5,25.139,SEA,@,GNB,L 20-27,1,8,8.00,0,1,15,15.00,0,2,19,9.50,0,0,0,0.0,0,0,0
40,1976,1976-10-17,6,25.146,SEA,@,TAM,W 13-10,0,0,,0,2,39,19.50,0,5,50,10.00,0,0,0,0.0,0,0,0
41,1976,1976-10-24,7,25.153,SEA,,DET,L 14-41,0,0,,0,1,3,3.00,0,0,0,,0,0,0,0.0,0,0,0
42,1976,1976-11-21,11,25.181,SEA,,NOR,L 27-51,0,0,,0,3,98,32.67,0,2,12,6.00,0,0,0,0.0,0,0,0
43,1976,1976-11-28,12,25.188,SEA,@,NYG,L 16-28,0,0,,0,0,0,,0,3,6,2.00,0,0,0,0.0,0,0,0
44,1976,1976-12-05,13,25.195,SEA,,CHI,L 7-34,0,0,,0,0,0,,0,2,27,13.50,0,0,0,0.0,0,0,0
45,1976,1976-12-12,14,25.202,SEA,@,PHI,L 10-27,0,0,,0,1,29,29.00,0,1,10,10.00,0,0,0,0.0,0,0,0
46,1977,1977-09-18,1,26.117,BAL,@,SEA,W 29-14,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,24,0
47,1977,1977-09-25,2,26.124,BAL,@,NYJ,W 20-12,,,,,,,,,,,,,,,,,,
48,1977,1977-10-02,3,26.131,BAL,,BUF,W 17-14,,,,,,,,,,,,,,,,,,
49,1977,1977-10-09,4,26.138,BAL,,MIA,W 45-28,,,,,,,,,,,,,,,,,,
50,1977,1977-10-16,5,26.145,BAL,@,KAN,W 17-6,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0.0,2,46,0
51,1977,1977-10-23,6,26.152,BAL,@,NWE,L 3-17,,,,,,,,,,,,,,,,,,
52,1977,1977-10-30,7,26.159,BAL,,PIT,W 31-21,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,26,0
53,1977,1977-11-07,8,26.167,BAL,,WAS,W 10-3,,,,,,,,,,,,,,,,,,
