ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1971,1971-09-19,1,23.328,PIT,@,CHI,L 15-17,,,,
2,1971,1971-09-26,2,23.335,PIT,,CIN,W 21-10,,,,
3,1971,1971-10-03,3,23.342,PIT,,SDG,W 21-17,,,,
4,1971,1971-10-10,4,23.349,PIT,@,CLE,L 17-27,,,,
5,1971,1971-10-18,5,23.357,PIT,@,KAN,L 16-38,,,,
6,1971,1971-10-24,6,23.363,PIT,,HOU,W 23-16,,,,
7,1971,1971-10-31,7,24.005,PIT,@,BAL,L 21-34,1,12,12.00,0
8,1971,1971-11-07,8,24.012,PIT,,CLE,W 26-9,,,,
9,1971,1971-11-14,9,24.019,PIT,@,MIA,L 21-24,,,,
10,1971,1971-11-21,10,24.026,PIT,,NYG,W 17-13,,,,
11,1971,1971-11-28,11,24.033,PIT,,DEN,L 10-22,,,,
12,1971,1971-12-05,12,24.040,PIT,@,HOU,L 3-29,,,,
13,1971,1971-12-12,13,24.047,PIT,@,CIN,W 21-13,,,,
14,1971,1971-12-19,14,24.054,PIT,,RAM,L 14-23,,,,
15,1972,1972-09-17,1,24.327,PIT,,OAK,W 34-28,,,,
16,1972,1972-09-24,2,24.334,PIT,@,CIN,L 10-15,,,,
17,1972,1972-10-01,3,24.341,PIT,@,STL,W 25-19,,,,
18,1972,1972-10-08,4,24.348,PIT,@,DAL,L 13-17,,,,
19,1972,1972-10-15,5,24.355,PIT,,HOU,W 24-7,,,,
20,1972,1972-10-22,6,24.362,PIT,,NWE,W 33-3,,,,
21,1972,1972-10-29,7,25.003,PIT,@,BUF,W 38-21,,,,
22,1972,1972-11-05,8,25.010,PIT,,CIN,W 40-17,,,,
23,1972,1972-11-12,9,25.017,PIT,,KAN,W 16-7,,,,
24,1972,1972-11-19,10,25.024,PIT,@,CLE,L 24-26,,,,
25,1972,1972-11-26,11,25.031,PIT,,MIN,W 23-10,,,,
