ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,25.158,NYJ,,BUF,W 48-28,,,,,,,0.0%,,,,,,,,
2,2012,2012-09-16,2,25.165,NYJ,@,PIT,L 10-27,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0.0,0,0
3,2012,2012-09-23,3,25.172,NYJ,@,MIA,W 23-20,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
4,2012,2012-09-30,4,25.179,NYJ,,SFO,L 0-34,,,,,,,0.0%,,,,,,,,
5,2012,2012-10-08,5,25.187,NYJ,,HOU,L 17-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
6,2012,2012-10-14,6,25.193,NYJ,,IND,W 35-9,,,,,,,0.0%,,,,,,,,
7,2012,2012-10-21,7,25.200,NYJ,@,NWE,L 26-29,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0.0,0,0
8,2012,2012-10-28,8,25.207,NYJ,,MIA,L 9-30,,1,0,0,,0,0.0%,0.00,1,14,14.00,0,0.0,0,0
9,2012,2012-11-11,9,25.221,NYJ,@,SEA,L 7-28,,,,,,,0.0%,,,,,,,,
10,2012,2012-11-18,10,25.228,NYJ,@,STL,W 27-13,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0.0,0,0
11,2012,2012-11-22,11,25.232,NYJ,,NWE,L 19-49,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
12,2012,2012-12-02,12,25.242,NYJ,,ARI,W 7-6,*,,,,,,0.0%,,,,,,,,
13,2012,2012-12-09,13,25.249,NYJ,@,JAX,W 17-10,*,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0.0,0,0
14,2012,2012-12-17,14,25.257,NYJ,@,TEN,L 10-14,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0.0,0,0
15,2012,2012-12-23,15,25.263,NYJ,,SDG,L 17-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
16,2012,2012-12-30,16,25.270,NYJ,@,BUF,L 9-28,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0.0,0,0
17,2013,2013-09-08,1,26.157,NYJ,,TAM,W 18-17,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
18,2013,2013-09-12,2,26.161,NYJ,@,NWE,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0
19,2013,2013-09-22,3,26.171,NYJ,,BUF,W 27-20,,,,,,,0.0%,,,,,,,,
20,2013,2013-09-29,4,26.178,NYJ,@,TEN,L 13-38,,,,,,,0.0%,,,,,,,,
21,2013,2013-10-07,5,26.186,NYJ,@,ATL,W 30-28,,,,,,,0.0%,,,,,,,,
22,2013,2013-10-13,6,26.192,NYJ,,PIT,L 6-19,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,1,0
23,2013,2013-10-20,7,26.199,NYJ,,NWE,W 30-27,,,,,,,0.0%,,,,,,,,
24,2013,2013-10-27,8,26.206,NYJ,@,CIN,L 9-49,,,,,,,0.0%,,,,,,,,
25,2013,2013-11-03,9,26.213,NYJ,,NOR,W 26-20,,,,,,,0.0%,,,,,,,,
26,2013,2013-11-17,10,26.227,NYJ,@,BUF,L 14-37,,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
27,2015,2015-12-13,13,28.253,BAL,,SEA,L 6-35,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
28,2015,2015-12-20,14,28.260,BAL,,KAN,L 14-34,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
29,2015,2015-12-27,15,28.267,BAL,,PIT,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
30,2015,2016-01-03,16,28.274,BAL,@,CIN,L 16-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
