ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-09-24,2,24.200,CLE,,STL,W 20-17,0,0,,0,1,2,2.00,0,0,0,0,0,0
2,1962,1962-09-23,2,25.199,CLE,,WAS,L 16-17,4,58,14.50,0,0,0,,0,0,0,0,0,0
3,1962,1962-09-30,3,25.206,CLE,@,PHI,L 7-35,2,28,14.00,0,0,0,,0,0,0,0,0,0
4,1962,1962-10-07,4,25.213,CLE,,DAL,W 19-10,2,11,5.50,0,0,0,,0,0,0,0,0,0
5,1962,1962-10-21,6,25.227,CLE,@,STL,W 34-7,4,73,18.25,1,0,0,,0,1,6,0,0,0
6,1962,1962-11-25,11,25.262,CLE,,PIT,W 35-14,3,30,10.00,0,0,0,,0,0,0,0,0,0
7,1962,1962-12-02,12,25.269,CLE,@,DAL,L 21-45,4,60,15.00,1,0,0,,0,1,6,0,0,0
8,1962,1962-12-09,13,25.276,CLE,@,NYG,L 13-17,2,20,10.00,0,0,0,,0,0,0,0,0,0
9,1962,1962-12-15,14,25.282,CLE,@,SFO,W 13-10,1,10,10.00,0,0,0,,0,0,0,0,0,0
10,1963,1963-09-15,1,26.191,CLE,,WAS,W 37-14,4,81,20.25,0,0,0,,0,0,0,0,0,0
11,1963,1963-09-22,2,26.198,CLE,@,DAL,W 41-24,1,13,13.00,0,0,0,,0,0,0,0,0,0
12,1963,1963-09-29,3,26.205,CLE,,RAM,W 20-6,3,62,20.67,0,0,0,,0,0,0,0,0,0
13,1963,1963-10-05,4,26.211,CLE,,PIT,W 35-23,1,6,6.00,0,0,0,,0,0,0,0,0,0
14,1963,1963-10-13,5,26.219,CLE,@,NYG,W 35-24,3,35,11.67,0,0,0,,0,0,0,0,0,0
15,1963,1963-10-20,6,26.226,CLE,,PHI,W 37-7,5,98,19.60,0,0,0,,0,0,0,0,0,0
16,1963,1963-11-17,10,26.254,CLE,,STL,L 14-20,5,66,13.20,0,0,0,,0,0,0,0,0,0
17,1963,1963-11-24,11,26.261,CLE,,DAL,W 27-17,4,52,13.00,0,0,0,,0,0,0,0,0,0
18,1963,1963-12-08,13,26.275,CLE,@,DET,L 10-38,2,9,4.50,0,0,0,,0,0,0,0,0,0
19,1963,1963-12-15,14,26.282,CLE,@,WAS,W 27-20,1,32,32.00,0,0,0,,0,0,0,0,0,0
20,1964,1964-09-13,1,27.189,CLE,@,WAS,W 27-13,4,27,6.75,0,0,0,,0,0,0,0,0,0
21,1964,1964-10-18,6,27.224,CLE,@,DAL,W 20-16,1,12,12.00,0,0,0,,0,0,0,0,0,0
22,1964,1964-10-25,7,27.231,CLE,,NYG,W 42-20,4,80,20.00,1,0,0,,0,1,6,0,0,0
23,1964,1964-11-01,8,27.238,CLE,@,PIT,W 30-17,4,67,16.75,0,0,0,,0,0,0,0,0,0
24,1964,1964-11-08,9,27.245,CLE,,WAS,W 34-24,1,9,9.00,0,0,0,,0,0,0,0,0,0
25,1964,1964-11-15,10,27.252,CLE,,DET,W 37-21,1,5,5.00,0,0,0,,0,0,0,0,0,0
26,1964,1964-11-29,12,27.266,CLE,,PHI,W 38-24,5,61,12.20,2,0,0,,0,2,12,0,0,0
27,1964,1964-12-06,13,27.273,CLE,@,STL,L 19-28,4,60,15.00,0,0,0,,0,0,0,0,0,0
28,1964,1964-12-12,14,27.279,CLE,@,NYG,W 52-20,1,17,17.00,0,0,0,,0,0,0,0,0,0
29,1965,1965-09-26,2,28.202,CLE,,STL,L 13-49,4,56,14.00,0,0,0,,0,0,0,0,0,0
30,1965,1965-10-09,4,28.215,CLE,,PIT,W 24-19,1,10,10.00,0,0,0,,0,0,0,0,0,0
31,1965,1965-10-31,7,28.237,CLE,,MIN,L 17-27,1,15,15.00,0,0,0,,0,0,0,0,0,0
32,1965,1965-11-28,11,28.265,CLE,@,PIT,W 42-21,1,25,25.00,1,0,0,,0,1,6,0,0,0
33,1965,1965-12-05,12,28.272,CLE,,WAS,W 24-16,1,17,17.00,0,0,0,,0,0,0,0,0,0
34,1965,1965-12-19,14,28.286,CLE,@,STL,W 27-24,5,51,10.20,0,0,0,,0,0,0,0,0,0
35,1966,1966-09-11,1,29.187,CLE,@,WAS,W 38-14,0,0,,0,0,0,,0,0,0,1,0,0
36,1967,1967-10-15,5,30.221,CLE,,STL,W 20-16,0,0,,0,0,0,,0,0,0,1,5,0
37,1967,1967-11-26,11,30.263,CLE,,WAS,W 42-37,0,0,,0,0,0,,0,1,6,1,70,1
38,1970,1970-09-20,1,33.196,NOR,,ATL,L 3-14,,,,,,,,,,,,,
39,1970,1970-09-27,2,33.203,NOR,@,MIN,L 0-26,,,,,,,,,,,,,
40,1970,1970-10-04,3,33.210,NOR,,NYG,W 14-10,,,,,,,,,,,,,
41,1970,1970-10-11,4,33.217,NOR,@,STL,L 17-24,,,,,,,,,,,,,
42,1970,1970-10-18,5,33.224,NOR,@,SFO,T 20-20,,,,,,,,,,,,,
43,1970,1970-10-25,6,33.231,NOR,@,ATL,L 14-32,,,,,,,,,,,,,
44,1970,1970-11-01,7,33.238,NOR,,RAM,L 17-30,,,,,,,,,,,,,
45,1970,1970-11-08,8,33.245,NOR,,DET,W 19-17,,,,,,,,,,,,,
46,1970,1970-11-15,9,33.252,NOR,@,MIA,L 10-21,,,,,,,,,,,,,
