ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,22.081,JAX,@,BUF,W 13-10,,1,1,100.0,2,2,100.0,0,7,0.0,,
2,2004,2004-09-19,2,22.088,JAX,,DEN,W 7-6,,1,1,100.0,,,,0,1,,,
3,2004,2004-09-26,3,22.095,JAX,@,TEN,W 15-12,,1,1,100.0,,,,0,1,,,
4,2004,2004-10-03,4,22.102,JAX,,IND,L 17-24,,,,,3,4,75.0,0,9,0.0,,
5,2004,2004-10-10,5,22.109,JAX,@,SDG,L 21-34,,3,3,100.0,,,,0,3,,,
6,2004,2004-10-17,6,22.116,JAX,,KAN,W 22-16,,2,2,100.0,,1,0.0,0,2,0.0,,
7,2004,2004-10-24,7,22.123,JAX,@,IND,W 27-24,,1,1,100.0,4,4,100.0,0,13,0.0,,
8,2004,2004-10-31,8,22.130,JAX,@,HOU,L 6-20,,,,,2,3,66.7,0,6,0.0,,
9,2004,2004-11-14,9,22.144,JAX,,DET,W 23-17,,2,2,100.0,1,1,100.0,0,5,0.0,,
10,2004,2004-11-21,10,22.151,JAX,,TEN,L 15-18,,1,1,100.0,2,3,66.7,0,7,0.0,,
11,2004,2004-11-28,11,22.158,JAX,@,MIN,L 16-27,,1,1,100.0,3,3,100.0,0,10,0.0,,
12,2004,2004-12-05,12,22.165,JAX,,PIT,L 16-17,,1,1,100.0,3,5,60.0,0,10,0.0,,
13,2004,2004-12-12,13,22.172,JAX,,CHI,W 22-3,,2,2,100.0,2,2,100.0,0,8,0.0,,
14,2004,2004-12-19,14,22.179,JAX,@,GNB,W 28-25,,4,4,100.0,,,,0,4,,,
15,2004,2004-12-26,15,22.186,JAX,,HOU,L 0-21,,,,,,1,0.0,0,0,0.0,,
16,2004,2005-01-02,16,22.193,JAX,@,OAK,W 13-6,,1,1,100.0,2,2,100.0,0,7,0.0,,
17,2005,2005-09-11,1,23.080,JAX,,SEA,W 26-14,,2,2,100.0,4,5,80.0,0,14,0.0,,
18,2005,2005-09-18,2,23.087,JAX,@,IND,L 3-10,,,,,1,2,50.0,0,3,0.0,,
19,2005,2005-09-25,3,23.094,JAX,@,NYJ,W 26-20,,2,2,100.0,2,2,100.0,0,8,0.0,,
20,2005,2005-10-02,4,23.101,JAX,,DEN,L 7-20,,1,1,100.0,,,,0,1,,,
21,2005,2005-10-09,5,23.108,JAX,,CIN,W 23-20,,2,2,100.0,3,3,100.0,0,11,0.0,,
22,2005,2005-10-16,6,23.115,JAX,@,PIT,W 23-17,,2,2,100.0,1,1,100.0,0,5,0.0,,
23,2005,2005-10-30,7,23.129,JAX,@,STL,L 21-24,,3,3,100.0,,2,0.0,0,3,0.0,,
24,2005,2005-11-06,8,23.136,JAX,,HOU,W 21-14,,3,3,100.0,,,,0,3,,,
25,2005,2005-11-13,9,23.143,JAX,,BAL,W 30-3,,3,3,100.0,3,3,100.0,0,12,0.0,,
26,2005,2005-11-20,10,23.150,JAX,@,TEN,W 31-28,,4,4,100.0,1,1,100.0,0,7,0.0,,
27,2005,2005-11-27,11,23.157,JAX,@,ARI,W 24-17,,3,3,100.0,1,2,50.0,0,6,0.0,,
28,2005,2005-12-04,12,23.164,JAX,@,CLE,W 20-14,,2,2,100.0,2,2,100.0,0,8,0.0,,
29,2005,2005-12-11,13,23.171,JAX,,IND,L 18-26,,1,1,100.0,1,1,100.0,0,4,0.0,,
30,2005,2005-12-18,14,23.178,JAX,,SFO,W 10-9,,1,1,100.0,1,2,50.0,0,4,0.0,,
31,2005,2005-12-24,15,23.184,JAX,@,HOU,W 38-20,,5,5,100.0,1,2,50.0,0,8,0.0,,
32,2005,2006-01-01,16,23.192,JAX,,TEN,W 40-13,,4,5,80.0,2,2,100.0,0,10,0.0,,
33,2006,2006-09-10,1,24.079,JAX,,DAL,W 24-17,,3,3,100.0,1,2,50.0,0,6,0.0,,
34,2006,2006-09-18,2,24.087,JAX,,PIT,W 9-0,,,,,3,3,100.0,0,9,0.0,,
35,2006,2006-09-24,3,24.093,JAX,@,IND,L 14-21,,2,2,100.0,,2,0.0,0,2,0.0,,
36,2006,2006-10-01,4,24.100,JAX,@,WAS,L 30-36,,3,3,100.0,3,3,100.0,0,12,0.0,,
37,2006,2006-10-08,5,24.107,JAX,,NYJ,W 41-0,,5,5,100.0,2,2,100.0,0,11,0.0,,
38,2006,2006-10-22,6,24.121,JAX,@,HOU,L 7-27,,1,1,100.0,,,,0,1,,,
39,2006,2006-10-29,7,24.128,JAX,@,PHI,W 13-6,,1,1,100.0,2,2,100.0,0,7,0.0,,
40,2006,2006-11-05,8,24.135,JAX,,TEN,W 37-7,,4,4,100.0,3,3,100.0,0,13,0.0,,
41,2006,2006-11-12,9,24.142,JAX,,HOU,L 10-13,,1,1,100.0,1,1,100.0,0,4,0.0,,
42,2006,2006-11-20,10,24.150,JAX,,NYG,W 26-10,,2,2,100.0,4,4,100.0,0,14,0.0,,
43,2006,2006-11-26,11,24.156,JAX,@,BUF,L 24-27,,3,3,100.0,1,2,50.0,0,6,0.0,,
44,2006,2006-12-03,12,24.163,JAX,@,MIA,W 24-10,,3,3,100.0,1,1,100.0,0,6,0.0,,
45,2006,2006-12-10,13,24.170,JAX,,IND,W 44-17,,5,5,100.0,3,4,75.0,0,14,0.0,,
46,2006,2006-12-17,14,24.177,JAX,@,TEN,L 17-24,,2,2,100.0,1,1,100.0,0,5,0.0,,
47,2006,2006-12-24,15,24.184,JAX,,NWE,L 21-24,,3,3,100.0,,1,0.0,0,3,0.0,,
48,2006,2006-12-31,16,24.191,JAX,@,KAN,L 30-35,,3,3,100.0,1,1,100.0,0,6,0.0,,
49,2007,2007-09-09,1,25.078,JAX,,TEN,L 10-13,,1,1,100.0,1,1,100.0,0,4,0.0,,
50,2007,2007-11-18,10,25.148,JAX,,SDG,W 24-17,,3,3,100.0,1,1,100.0,0,6,0.0,,
51,2007,2007-11-25,11,25.155,JAX,,BUF,W 36-14,,3,3,100.0,5,5,100.0,0,18,0.0,,
52,2007,2007-12-02,12,25.162,JAX,@,IND,L 25-28,,2,2,100.0,1,2,50.0,0,5,0.0,,
53,2007,2007-12-09,13,25.169,JAX,,CAR,W 37-6,,4,4,100.0,3,3,100.0,0,13,0.0,,
54,2007,2007-12-16,14,25.176,JAX,@,PIT,W 29-22,,2,3,66.7,1,1,100.0,0,5,0.0,,
55,2007,2007-12-23,15,25.183,JAX,,OAK,W 49-11,,7,7,100.0,,,,0,7,,,
56,2007,2007-12-30,16,25.190,JAX,@,HOU,L 28-42,,4,4,100.0,,,,0,4,,,
57,2008,2008-09-07,1,26.076,JAX,@,TEN,L 10-17,,1,1,100.0,1,2,50.0,0,4,0.0,0,0
58,2008,2008-09-14,2,26.083,JAX,,BUF,L 16-20,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
59,2008,2008-09-21,3,26.090,JAX,@,IND,W 23-21,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
60,2008,2008-09-28,4,26.097,JAX,,HOU,W 30-27,,3,3,100.0,3,3,100.0,0,12,0.0,0,0
61,2008,2008-10-05,5,26.104,JAX,,PIT,L 21-26,,3,3,100.0,,,,0,3,0.0,0,0
62,2008,2008-10-12,6,26.111,JAX,@,DEN,W 24-17,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
63,2008,2008-10-26,7,26.125,JAX,,CLE,L 17-23,,2,2,100.0,1,2,50.0,0,5,0.0,0,0
64,2008,2008-11-02,8,26.132,JAX,@,CIN,L 19-21,,1,1,100.0,2,2,100.0,0,7,0.0,0,1
65,2008,2008-11-09,9,26.139,JAX,@,DET,W 38-14,,5,5,100.0,1,1,100.0,0,8,0.0,0,0
66,2008,2008-11-16,10,26.146,JAX,,TEN,L 14-24,,2,2,100.0,,,,0,2,0.0,0,0
67,2008,2008-11-23,11,26.153,JAX,,MIN,L 12-30,,1,1,100.0,1,3,33.3,0,4,0.0,0,0
68,2008,2008-12-01,12,26.161,JAX,@,HOU,L 17-30,,2,2,100.0,1,2,50.0,0,5,0.0,0,0
69,2008,2008-12-07,13,26.167,JAX,@,CHI,L 10-23,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
70,2008,2008-12-14,14,26.174,JAX,,GNB,W 20-16,,2,2,100.0,,1,0.0,0,2,0.0,0,0
71,2008,2008-12-18,15,26.178,JAX,,IND,L 24-31,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
72,2008,2008-12-28,16,26.188,JAX,@,BAL,L 7-27,,1,1,100.0,,,,0,1,0.0,0,0
73,2009,2009-09-13,1,27.082,JAX,@,IND,L 12-14,,,,,2,3,66.7,0,6,0.0,0,1
74,2009,2009-09-20,2,27.089,JAX,,ARI,L 17-31,,2,2,100.0,1,2,50.0,0,5,0.0,0,0
75,2009,2009-09-27,3,27.096,JAX,@,HOU,W 31-24,,4,4,100.0,1,1,100.0,0,7,0.0,0,1
76,2009,2009-10-04,4,27.103,JAX,,TEN,W 37-17,,4,4,100.0,3,4,75.0,0,13,0.0,0,0
77,2009,2009-10-11,5,27.110,JAX,@,SEA,L 0-41,,,,,,,,,,,,
78,2009,2009-10-18,6,27.117,JAX,,STL,W 23-20,,2,2,100.0,1,2,50.0,0,5,0.0,0,0
79,2009,2009-11-01,7,27.131,JAX,@,TEN,L 13-30,,1,2,50.0,,,,0,1,0.0,0,0
80,2009,2009-11-08,8,27.138,JAX,,KAN,W 24-21,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
81,2009,2009-11-15,9,27.145,JAX,@,NYJ,W 24-22,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
82,2009,2009-11-22,10,27.152,JAX,,BUF,W 18-15,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
83,2009,2009-11-29,11,27.159,JAX,@,SFO,L 3-20,,,,,1,3,33.3,0,3,0.0,0,0
84,2009,2009-12-06,12,27.166,JAX,,HOU,W 23-18,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
85,2009,2009-12-13,13,27.173,JAX,,MIA,L 10-14,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
86,2009,2009-12-17,14,27.177,JAX,,IND,L 31-35,,4,4,100.0,1,2,50.0,0,7,0.0,0,0
87,2009,2009-12-27,15,27.187,JAX,@,NWE,L 7-35,,1,1,100.0,,,,0,1,0.0,0,0
88,2009,2010-01-03,16,27.194,JAX,@,CLE,L 17-23,,2,2,100.0,1,2,50.0,0,5,0.0,0,0
