ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1993,1993-09-05,1,21.355,KAN,@,TAM,W 27-3,,,,,,,0.0%,
2,1993,1993-09-12,2,21.362,KAN,@,HOU,L 0-30,,,,,,,0.0%,
3,1993,1993-09-20,3,22.005,KAN,,DEN,W 15-7,,,,,,,0.0%,
4,1993,1993-10-03,4,22.018,KAN,,RAI,W 24-9,,,,,,,0.0%,
5,1993,1993-10-10,5,22.025,KAN,,CIN,W 17-15,,,,,,,0.0%,
6,1993,1993-10-17,6,22.032,KAN,@,SDG,W 17-14,,,,,,,0.0%,
7,1993,1993-10-31,7,22.046,KAN,@,MIA,L 10-30,,,,,,,0.0%,
8,1993,1993-11-08,8,22.054,KAN,,GNB,W 23-16,,,,,,,0.0%,
9,1993,1993-11-14,9,22.060,KAN,@,RAI,W 31-20,,,,,,,0.0%,
10,1993,1993-11-21,10,22.067,KAN,,CHI,L 17-19,,,,,,,0.0%,
11,1993,1993-11-28,11,22.074,KAN,,BUF,W 23-7,,,,,,,0.0%,
12,1993,1993-12-05,12,22.081,KAN,@,SEA,W 31-16,,,,,,,0.0%,
13,1993,1993-12-12,13,22.088,KAN,@,DEN,L 21-27,,,,,,,0.0%,
14,1993,1993-12-19,14,22.095,KAN,,SDG,W 28-24,,,,,,,0.0%,
15,1993,1993-12-26,15,22.102,KAN,@,MIN,L 10-30,,,,,,,0.0%,
16,1993,1994-01-02,16,22.109,KAN,,SEA,W 34-24,,,,,,,0.0%,
17,1994,1994-09-04,1,22.354,KAN,@,NOR,W 30-17,,,,,,,0.0%,
18,1994,1994-09-11,2,22.361,KAN,,SFO,W 24-17,,,,,,,0.0%,
19,1994,1994-09-18,3,23.003,KAN,@,ATL,W 30-10,,,,,,,0.0%,
20,1994,1994-09-25,4,23.010,KAN,,RAM,L 0-16,,,,,,,0.0%,
21,1994,1994-10-09,5,23.024,KAN,@,SDG,L 6-20,,,,,,,0.0%,
22,1994,1994-10-17,6,23.032,KAN,@,DEN,W 31-28,,,,,,,0.0%,
23,1994,1994-10-23,7,23.038,KAN,,SEA,W 38-23,,,,,,,0.0%,
24,1994,1994-10-30,8,23.045,KAN,@,BUF,L 10-44,,,,,,,0.0%,
25,1994,1994-11-06,9,23.052,KAN,,RAI,W 13-3,,,,,,,0.0%,
26,1994,1994-11-13,10,23.059,KAN,,SDG,L 13-14,,,,,,,0.0%,
27,1994,1994-11-20,11,23.066,KAN,,CLE,W 20-13,,,,,,,0.0%,
28,1994,1994-11-27,12,23.073,KAN,@,SEA,L 9-10,,,,,,,0.0%,
29,1994,1994-12-04,13,23.080,KAN,,DEN,L 17-20,,,,,,,0.0%,
30,1994,1994-12-12,14,23.088,KAN,@,MIA,L 28-45,,,,,,,0.0%,
31,1994,1994-12-18,15,23.094,KAN,,HOU,W 31-9,,,,,,,0.0%,
32,1994,1994-12-24,16,23.100,KAN,@,RAI,W 19-9,,,,,,,0.0%,
33,1995,1995-09-03,1,23.353,KAN,@,SEA,W 34-10,,,,,,,0.0%,
34,1995,1995-09-10,2,23.360,KAN,,NYG,W 20-17,,,,,,,0.0%,
35,1995,1995-09-17,3,24.002,KAN,,OAK,W 23-17,,,,,,,0.0%,
36,1995,1995-09-24,4,24.009,KAN,@,CLE,L 17-35,,,,,,,0.0%,
37,1995,1995-10-01,5,24.016,KAN,@,ARI,W 24-3,,,,,,,0.0%,
38,1995,1995-10-09,6,24.024,KAN,,SDG,W 29-23,,,,,,,0.0%,
39,1995,1995-10-15,7,24.030,KAN,,NWE,W 31-26,,,,,,,0.0%,
40,1995,1995-10-22,8,24.037,KAN,@,DEN,W 21-7,,,,,,,0.0%,
41,1995,1995-11-05,9,24.051,KAN,,WAS,W 24-3,,,,,,,0.0%,
42,1995,1995-11-12,10,24.058,KAN,@,SDG,W 22-7,,,,,,,0.0%,
43,1995,1995-11-19,11,24.065,KAN,,HOU,W 20-13,,,,,,,0.0%,
44,1995,1995-11-23,12,24.069,KAN,@,DAL,L 12-24,,,,,,,0.0%,
45,1995,1995-12-03,13,24.079,KAN,@,OAK,W 29-23,,,,,,,0.0%,
46,1995,1995-12-11,14,24.087,KAN,@,MIA,L 6-13,,,,,,,0.0%,
