ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1994,1994-09-04,1,21.298,RAM,,ARI,W 14-12,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,,,,
2,1994,1994-09-11,2,21.305,RAM,@,ATL,L 13-31,,5,2,37,18.50,1,40.0%,7.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
3,1994,1994-09-18,3,21.312,RAM,,SFO,L 19-34,,7,2,24,12.00,0,28.6%,3.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
4,1994,1994-09-25,4,21.319,RAM,@,KAN,W 16-0,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
5,1994,1994-10-02,5,21.326,RAM,,ATL,L 5-8,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
6,1994,1994-10-09,6,21.333,RAM,@,GNB,L 17-24,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
7,1994,1994-10-16,7,21.340,RAM,,NYG,W 17-10,,3,1,19,19.00,1,33.3%,6.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
8,1994,1994-10-23,8,21.347,RAM,@,NOR,L 34-37,,4,3,44,14.67,1,75.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
9,1994,1994-11-06,9,21.361,RAM,,DEN,W 27-21,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
10,1994,1994-11-13,10,22.003,RAM,,RAI,L 17-20,,9,4,48,12.00,0,44.4%,5.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
11,1994,1994-11-20,11,22.010,RAM,@,SFO,L 27-31,,6,2,18,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
12,1994,1994-11-27,12,22.017,RAM,@,SDG,L 17-31,,3,1,13,13.00,0,33.3%,4.33,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
13,1995,1995-09-03,1,22.297,STL,@,GNB,W 17-14,,8,4,55,13.75,1,50.0%,6.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
14,1995,1995-09-10,2,22.304,STL,,NOR,W 17-13,,8,3,50,16.67,1,37.5%,6.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
15,1995,1995-09-17,3,22.311,STL,@,CAR,W 31-10,,6,5,100,20.00,0,83.3%,16.67,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
16,1995,1995-09-24,4,22.318,STL,,CHI,W 34-28,,7,6,83,13.83,0,85.7%,11.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
17,1995,1995-10-01,5,22.325,STL,@,IND,L 18-21,,11,8,181,22.63,2,72.7%,16.45,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
18,1995,1995-10-12,6,22.336,STL,,ATL,W 21-19,,13,10,191,19.10,2,76.9%,14.69,0,0,,0,0,0,,0,0,0,,,,,,0,52,,0,2,12,0.0,,
19,1995,1995-10-22,7,22.346,STL,,SFO,L 10-44,,15,9,173,19.22,0,60.0%,11.53,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
