ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1987,1987-09-13,1,22.301,KAN,,SDG,W 20-13,0,0,,0,0,0,,0,0,0,,0
2,1987,1987-09-20,2,22.308,KAN,@,SEA,L 14-43,0,0,,0,0,0,,0,0,0,,0
3,1987,1987-10-25,6,22.343,KAN,@,SDG,L 21-42,0,0,,0,0,0,,0,1,11,11.00,0
4,1987,1987-11-01,7,22.350,KAN,@,CHI,L 28-31,0,0,,0,0,0,,0,0,0,,0
5,1987,1987-11-08,8,22.357,KAN,,PIT,L 16-17,0,0,,0,0,0,,0,0,0,,0
6,1987,1987-11-15,9,22.364,KAN,,NYJ,L 9-16,1,8,8.00,0,0,0,,0,0,0,,0
7,1987,1987-11-22,10,23.006,KAN,,GNB,L 3-23,0,0,,0,0,0,,0,0,0,,0
8,1987,1987-11-26,11,23.010,KAN,@,DET,W 27-20,0,0,,0,0,0,,0,0,0,,0
9,1987,1987-12-06,12,23.020,KAN,@,CIN,L 27-30,0,0,,0,1,18,18.00,0,0,0,,0
10,1987,1987-12-13,13,23.027,KAN,,RAI,W 16-10,0,0,,0,0,0,,0,0,0,,0
11,1987,1987-12-19,14,23.033,KAN,@,DEN,L 17-20,2,13,6.50,0,0,0,,0,0,0,,0
12,1987,1987-12-27,15,23.041,KAN,,SEA,W 41-20,0,0,,0,0,0,,0,0,0,,0
13,1988,1988-09-04,1,23.293,KAN,,CLE,L 3-6,0,0,,0,,,,,,,,
14,1988,1988-09-11,2,23.300,KAN,@,SEA,L 10-31,1,-3,-3.00,0,0,0,,0,0,0,,0
15,1988,1988-09-18,3,23.307,KAN,,DEN,W 20-13,0,0,,0,,,,,,,,
