ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-09-24,2,31.067,SFO,,CHI,L 20-32,4,14,3.50,1
2,1950,1950-10-01,3,31.074,SFO,,RAM,L 14-35,2,-2,-1.00,0
3,1950,1950-10-08,4,31.081,SFO,@,DET,L 7-24,1,0,0.00,0
4,1950,1950-10-22,6,31.095,SFO,,DET,W 28-27,1,8,8.00,0
5,1950,1950-12-10,12,31.144,SFO,,GNB,W 30-14,4,3,0.75,0
6,1951,1951-11-04,6,32.108,SFO,@,RAM,L 16-23,1,0,0.00,0
7,1951,1951-11-11,7,32.115,SFO,,NYY,W 19-14,6,31,5.17,0
8,1951,1951-11-18,8,32.122,SFO,,CRD,L 21-27,8,32,4.00,0
9,1951,1951-11-25,9,32.129,SFO,@,NYY,T 10-10,1,2,2.00,0
10,1952,1952-11-23,9,33.127,SFO,@,RAM,L 9-35,2,8,4.00,0
